Accession,Organism_Name,Isolate,Species,Genus,Length,Nuc_Completeness,Country,Host,Collection_Date
JQ916917.1,Bat picornavirus,BtPV/BB89-24/Rhi_bla/BGR/2008,Shanbavirus A,Shanbavirus,1009,partial,Bulgaria,Rhinolophus blasii,2008
JQ916918.1,Bat picornavirus,BtPV/BB89-95/Rhi_eur/BGR/2008,Shanbavirus A,Shanbavirus,1026,partial,Bulgaria,Rhinolophus euryale,2008
JQ916919.1,Bat picornavirus,BtPV/NM98-80/Myo_bec/GER/2008,Shanbavirus A,Shanbavirus,821,partial,Germany,Myotis bechsteinii,2008
JQ916920.1,Bat picornavirus,BtPV/BR89-2/Rhi_eur/BGR/2008,Shanbavirus A,Shanbavirus,1003,partial,Bulgaria,Rhinolophus euryale,2008
JQ916921.1,Bat picornavirus,BtPV/BR89-5/Rhi_eur/BGR/2008,Shanbavirus A,Shanbavirus,744,partial,Bulgaria,Rhinolophus euryale,2008
JQ916922.1,Bat picornavirus,BtPV/SA58-16/Myo_das/GER/2008,Shanbavirus A,Shanbavirus,958,partial,Germany,Myotis dasycneme,2008
JQ916923.1,Bat picornavirus,BtPV/Rcet88-34/Min_sch/ROU/2008,Shanbavirus A,Shanbavirus,983,partial,Romania,Miniopterus schreibersii,2008
JQ916924.1,Bat picornavirus,BtPV/BR89-21/Min_sch/BGR/2008,Shanbavirus A,Shanbavirus,977,partial,Bulgaria,Miniopterus schreibersii,2008
JQ916925.1,Bat picornavirus,BtPV/BR89-24/Min_sch/BGR/2008,Shanbavirus A,Shanbavirus,952,partial,Bulgaria,Miniopterus schreibersii,2008
JQ916926.1,Bat picornavirus,BtPV/BR89-30/Min_sch/BGR/2008,Shanbavirus A,Shanbavirus,977,partial,Bulgaria,Miniopterus schreibersii,2008
JQ916927.1,Bat picornavirus,BtPV/BR89-52/Min_sch/BGR/2008,Shanbavirus A,Shanbavirus,974,partial,Bulgaria,Miniopterus schreibersii,2008
JQ916928.1,Bat picornavirus,BtPV/BR89-62/Min_sch/BGR/2008,Shanbavirus A,Shanbavirus,951,partial,Bulgaria,Miniopterus schreibersii,2008
JQ916929.1,Bat picornavirus,BtPV/Rcet88-73/Nyc_noc/ROU/2008,Shanbavirus A,Shanbavirus,877,partial,Romania,Nyctalus noctula,2008
JQ916930.1,Bat picornavirus,BtPV/Rcet88-84/Min_sch/ROU/2008,Shanbavirus A,Shanbavirus,744,partial,Romania,Miniopterus schreibersii,2008
JQ916931.1,Bat picornavirus,BtPV/N78-55/Myo_myo/GER/2008,Shanbavirus A,Shanbavirus,415,partial,Germany,Myotis myotis,2008
JQ916932.1,Bat picornavirus,BtPV/N78-1/Myo_myo/GER/2008,Shanbavirus A,Shanbavirus,421,partial,Germany,Myotis myotis,2008
JQ916933.1,Bat picornavirus,BtPV/N78-2/Myo_myo/GER/2008,Shanbavirus A,Shanbavirus,421,partial,Germany,Myotis myotis,2008
JQ916934.1,Bat picornavirus,BtPV/N78-6/Myo_myo/GER/2008,Shanbavirus A,Shanbavirus,421,partial,Germany,Myotis myotis,2008
JQ916935.1,Bat picornavirus,BtPV/Rcet88-19/Myo_myo/ROU/2008,Shanbavirus A,Shanbavirus,996,partial,Romania,Myotis myotis,2008
JQ916936.1,Bat picornavirus,BtPV/Rcet88-21/Myo_myo/ROU/2008,Shanbavirus A,Shanbavirus,992,partial,Romania,Myotis myotis,2008
JQ916937.1,Bat picornavirus,BtPV/Rcet88-62/Myo_oxy/ROU/2008,Shanbavirus A,Shanbavirus,993,partial,Romania,Myotis oxygnathus,2008
JQ916938.1,Bat picornavirus,BtPV/BR89-38/Min_sch/BGR/2008,Shanbavirus A,Shanbavirus,983,partial,Bulgaria,Miniopterus schreibersii,2008
JQ916939.1,Bat picornavirus,BtPV/BR89-41a/Min_sch/BGR/2008,Shanbavirus A,Shanbavirus,343,partial,Bulgaria,Miniopterus schreibersii,2008
JQ916940.1,Bat picornavirus,BtPV/BR89-23a/Min_sch/BGR/2008,Shanbavirus A,Shanbavirus,343,partial,Bulgaria,Miniopterus schreibersii,2008
JQ916941.1,Bat picornavirus,BtPV/BR89-24a/Min_sch/BGR/2008,Shanbavirus A,Shanbavirus,343,partial,Bulgaria,Miniopterus schreibersii,2008
JQ916942.1,Bat picornavirus,BtPV/BV89-29/Rhi_fer/BGR/2008,Shanbavirus A,Shanbavirus,424,partial,Bulgaria,Rhinolophus ferrumequinum,2008
JQ916943.1,Bat picornavirus,BtPV/BM89-5/Rhi_eur/BGR/2008,Shanbavirus A,Shanbavirus,421,partial,Bulgaria,Rhinolophus euryale,2008
JQ916944.1,Bat picornavirus,BtPV/BM89-26/Rhi_eur/BGR/2008,Shanbavirus A,Shanbavirus,421,partial,Bulgaria,Rhinolophus euryale,2008
KJ641684.1,Bat picornavirus,BtRf-PicoV-2/YN2012,Shanbavirus A,Shanbavirus,5636,partial,China,Rhinolophus ferrumequinum,Dec-10
KJ641687.1,Bat picornavirus,BtMf-PicoV/FJ2012,Shanbavirus A,Shanbavirus,7435,partial,China,Miniopterus fuliginosus,Nov-12
KJ641688.1,Bat picornavirus,BtRlep-PicoV/FJ2012,Shanbavirus A,Shanbavirus,5661,partial,China,Rhinolophus lepidus,Nov-12
KJ641689.1,Bat picornavirus,BtMa-PicoV/FJ2012,Shanbavirus A,Shanbavirus,6623,partial,China,Myotis altarium,Nov-12
KJ641690.1,Bat picornavirus,BtMf-PicoV-1/GD2012,Shanbavirus A,Shanbavirus,6879,partial,China,Miniopterus fuliginosus,Dec-12
KJ641692.1,Bat picornavirus,BtRa-PicoV/JS2013,Shanbavirus A,Shanbavirus,5652,partial,China,Rhinolophus affinis,Apr-13
KJ641693.1,Bat picornavirus,BtRh-PicoV/SC2013,Shanbavirus A,Shanbavirus,7345,partial,China,Rhinolophus hipposideros,Mar-13
KJ641694.1,Bat picornavirus,BtRs-PicoV/YN2010,Shanbavirus A,Shanbavirus,7830,partial,China,Rhinolophus sinicus,Dec-10
KJ641695.1,Bat picornavirus,BtRs-PicoV/GD2012,Shanbavirus A,Shanbavirus,2564,partial,China,Rhinolophus sinicus,Dec-12
KJ641696.1,Bat picornavirus,BtVs-PicoV/SC2013,Shanbavirus A,Shanbavirus,7331,partial,China,Vespertilio sinensis,Mar-13
KJ641699.1,Bat picornavirus,BtMf-PicoV-2/SAX2011,Shanbavirus A,Shanbavirus,7145,partial,China,Miniopterus fuliginosus,Sep-11
KP054274.1,Bat picornavirus,,Shanbavirus A,Shanbavirus,6855,partial,Hungary,Miniopterus schreibersii,2013
MN602325.1,Bat picornavirus,,Shanbavirus A,Shanbavirus,8208,complete,Italy,Pipistrellus pipistrellus,2017
MT648452.1,Bat picornavirus,16BF109,Shanbavirus A,Shanbavirus,1380,partial,South Korea,Miniopterus schreibersii,2016
MW259061.1,Bat picornavirus,DesRot/Peru/HUA4_F_DrPicoV,Shanbavirus A,Shanbavirus,758,partial,Peru,Desmodus rotundus,2016
MW259062.1,Bat picornavirus,DesRot/Peru/AYA12_F_DrPicoV,Shanbavirus A,Shanbavirus,429,partial,Peru,Desmodus rotundus,2016
MW259063.1,Bat picornavirus,DesRot/Peru/API141_F_DrPicoV,Shanbavirus A,Shanbavirus,429,partial,Peru,Desmodus rotundus,2016
MW259064.1,Bat picornavirus,DesRot/Peru/LMA5_F_DrPicoV,Shanbavirus A,Shanbavirus,833,partial,Peru,Desmodus rotundus,2016
MZ218061.1,Bat picornavirus,BtPV/13585-58/M.dau/DK/2014,Shanbavirus A,Shanbavirus,9300,partial,Denmark,Myotis daubentonii,Oct-14
NC_043071.1,Bat picornavirus,BtMr-PicoV/JX2010,Shanbavirus A,Shanbavirus,7555,complete,China,Myotis ricketti,Oct-10
NC_076039.1,Bat picornavirus,BtRf-PicoV-1/YN2012,Shanbavirus A,Shanbavirus,6624,complete,China,Rhinolophus ferrumequinum,Dec-10
NC_076040.1,Bat picornavirus,BtNv-PicoV/SC2013,Shanbavirus A,Shanbavirus,7048,complete,China,Nyctalus velutinus,Mar-13
ON375332.1,Bat picornavirus,BtPp-PicoV/F-HS1/SWE/2020,Shanbavirus A,Shanbavirus,7033,partial,Sweden,Pipistrellus pygmaeus,2020-06-11
ON375333.1,Bat picornavirus,BtPp-PicoV/F-HS2/SWE/2020,Shanbavirus A,Shanbavirus,5752,partial,Sweden,Pipistrellus pygmaeus,2020-06-11
OQ363777.1,Bat picornavirus,GD/L8.18/2020,Shanbavirus A,Shanbavirus,7743,complete,China,Rhinolophus sinicus,Nov-20
OR951221.1,Bat picornavirus,HI2018,Shanbavirus A,Shanbavirus,4081,partial,China,Pipistrellus abramus,2018
OR951224.1,Bat picornavirus,YN2020,Shanbavirus A,Shanbavirus,6124,partial,China,Hipposideros pomona,2020
OR951227.1,Bat picornavirus,GX2016,Shanbavirus A,Shanbavirus,6795,partial,China,Rhinolophus pusillus,2016
OR951297.1,Bat picornavirus,GD2016_228_5814,Shanbavirus A,Shanbavirus,6461,partial,China,Miniopterus pusillus,2016
OR951302.1,Bat picornavirus,GD2016_230_14489,Shanbavirus A,Shanbavirus,1845,partial,China,Miniopterus pusillus,2016
OR951337.1,Bat picornavirus,YN2017,Shanbavirus A,Shanbavirus,7164,partial,China,Rousettus leschenaultii,2017
OR951350.1,Bat picornavirus,YN2016,Shanbavirus A,Shanbavirus,7376,partial,China,Chaerephon plicatus,2016
