Accession,Organism_Name,Isolate,Species,Genus,Length,Nuc_Completeness,Country,Host,Collection_Date
OR951208.1,Aichivirus F,SC2018,Aichivirus F,Kobuvirus,1498,partial,China,Myotis chinensis,2018
OR951211.1,Bat kobuvirus,GX2018,Bat kobuvirus,Kobuvirus,6913,partial,China,Scotophilus kuhlii,2018
OR951219.1,Bat kobuvirus,HI2018,Bat kobuvirus,Kobuvirus,7351,partial,China,Scotophilus kuhlii,2018
OR951222.1,Bat kobuvirus,YN2020,Bat kobuvirus,Kobuvirus,4275,partial,China,Rhinolophus affinis,2020
OR951225.1,Aichivirus F,YN2020,Aichivirus F,Kobuvirus,1721,partial,China,Myotis chinensis,2020
OR951235.1,Aichivirus F,GD2017_085_7919,Aichivirus F,Kobuvirus,1768,partial,China,Rhinolophus sinicus,2017
OR951245.1,Bat kobuvirus,HI2019,Bat kobuvirus,Kobuvirus,7700,partial,China,Rhinolophus affinis,2019
OR951250.1,Bat kobuvirus,GD2017,Bat kobuvirus,Kobuvirus,5513,partial,China,Scotophilus kuhlii,2017
OR951253.1,Bat kobuvirus,GD2018_174_30389,Bat kobuvirus,Kobuvirus,7680,partial,China,Scotophilus kuhlii,2018
OR951256.1,Bat kobuvirus,GD2018_174_126198,Bat kobuvirus,Kobuvirus,7512,partial,China,Scotophilus kuhlii,2018
OR951257.1,Bat kobuvirus,GD2018,Bat kobuvirus,Kobuvirus,4202,partial,China,Scotophilus kuhlii,2018
OR951260.1,Bat kobuvirus,GD2018_176_172338,Bat kobuvirus,Kobuvirus,7871,partial,China,Scotophilus kuhlii,2018
OR951262.1,Bat kobuvirus,GD2018,Bat kobuvirus,Kobuvirus,7499,partial,China,Scotophilus kuhlii,2018
OR951267.1,Bat kobuvirus,GX2017,Bat kobuvirus,Kobuvirus,7519,partial,China,Scotophilus kuhlii,2017
OR951277.1,Aichivirus F,GD2017_207_36806,Aichivirus F,Kobuvirus,2079,partial,China,Myotis ricketti,2017
OR951280.1,Aichivirus F,GD2017_210_473,Aichivirus F,Kobuvirus,7542,partial,China,Myotis ricketti,2017
OR951282.1,Aichivirus F,GD2017_210_5247,Aichivirus F,Kobuvirus,7755,partial,China,Myotis ricketti,2017
OR951288.1,Aichivirus F,GD2019,Aichivirus F,Kobuvirus,2141,partial,China,Myotis ricketti,2019
OR951330.1,Aichivirus F,JX2020,Aichivirus F,Kobuvirus,6115,partial,China,Myotis adversus,2020
OR951344.1,Aichivirus F,GD2017_279_5575,Aichivirus F,Kobuvirus,6156,partial,China,Myotis chinensis,2017
OR951345.1,Aichivirus F,Pool-280,Aichivirus F,Kobuvirus,1468,partial,China,Myotis chinensis,2016
OR951348.1,Aichivirus F,GD2016,Aichivirus F,Kobuvirus,6289,partial,China,Myotis fimbriatus,2016
