,OQ818337,HPA,KR703607,KT452637,KT452658,KT452685,KT452714,KT452730,KT452735,KT452742
OQ818337,,53.151,61.464,52.426,44.954,54.550,85.170,60.785,50.025,51.270
HPA,53.151,,52.581,61.035,45.908,59.724,53.074,51.480,47.989,48.532
KR703607,61.464,52.581,,51.845,47.592,52.591,60.349,58.659,50.039,52.533
KT452637,52.426,61.035,51.845,,44.567,62.723,50.287,52.033,47.781,48.481
KT452658,44.954,45.908,47.592,44.567,,44.133,47.050,47.891,44.812,44.838
KT452685,54.550,59.724,52.591,62.723,44.133,,51.656,52.474,47.533,49.638
KT452714,85.170,53.074,60.349,50.287,47.050,51.656,,60.174,49.591,52.365
KT452730,60.785,51.480,58.659,52.033,47.891,52.474,60.174,,48.519,51.082
KT452735,50.025,47.989,50.039,47.781,44.812,47.533,49.591,48.519,,53.820
KT452742,51.270,48.532,52.533,48.481,44.838,49.638,52.365,51.082,53.820,
