molecule,from,to,gene,type
Sapovirus,1,749,NS1/NS2,full
Sapovirus,750,2067,Helicase,full
Sapovirus,2068,2923,NS4,full
Sapovirus,2924,3266,Vpg,full
Sapovirus,3267,5359,Pro-Pol,full
Sapovirus,5360,7020,VP1 ,full
Sapovirus,7087,7795,VP2,full
Bat picornavirus,617,940,L,full
Bat picornavirus,941,1141,VP4,full
Bat picornavirus,1142,1897,VP2,full
Bat picornavirus,1898,2590,VP3,full
Bat picornavirus,2591,3562,VP1,full
Bat picornavirus,3563,4308,2A,full
Bat picornavirus,4309,4647,2B,full
Bat picornavirus,4648,5643,2C,full
Bat picornavirus,5644,6045,3A,full
Bat picornavirus,6046,6117,3B,full
Bat picornavirus,6118,6666,3C,full
Bat picornavirus,6667,8121,3D,full
Hepatovirus,806,877,VP4,full
Hepatovirus,878,1543,VP2,full
Hepatovirus,1544,2290,VP3,full
Hepatovirus,2291,3221,VP1,full
Hepatovirus,3222,3910,2A,full
Hepatovirus,3911,4239,2B,full
Hepatovirus,4240,5295,2C,full
Hepatovirus,5296,5547,3A,full
Hepatovirus,5551,5622,3B,full
Hepatovirus,5623,6291,3C,full
Hepatovirus,6292,7761,3D,full
Kobuvirus,763,1330,L,full
Kobuvirus,1331,2495,VP0,full
Kobuvirus,2496,3164,VP3,full
Kobuvirus,3165,3926,VP1,full
Kobuvirus,3927,4334,2A,full
Kobuvirus,4335,4829,2B,full
Kobuvirus,4830,5834,2C,full
Kobuvirus,5835,6119,3A,full
Kobuvirus,6120,6200,3B,full
Kobuvirus,6201,6770,3C,full
Kobuvirus,6771,8174,3D,full
Kunsagivirus,630,1545,VP0,full
Kunsagivirus,1546,2250,VP3,full
Kunsagivirus,2251,3013,VP1,full
Kunsagivirus,3014,3605,2A,full
Kunsagivirus,3606,3923,2B,full
Kunsagivirus,3924,5159,2C,full
Kunsagivirus,5160,5579,3A,full
Kunsagivirus,5580,5651,3B,full
Kunsagivirus,5652,6236,3C,full
Kunsagivirus,6237,7792,3D,full
Mischivirus,1319,1537,L,full
Mischivirus,1538,2576,VP0,full
Mischivirus,2577,3432,VP3,full
Mischivirus,3433,4268,VP1,full
Mischivirus,4269,4434,2A,full
Mischivirus,4435,4976,2B,full
Mischivirus,4977,6063,2C,full
Mischivirus,6064,6490,3A,full
Mischivirus,6491,6642,3B,full
Mischivirus,6643,7368,3C,full
Mischivirus,7369,8613,3D,full
Sapelovirus,517,914,L,full
Sapelovirus,915,1073,VP4,full
Sapelovirus,1074,1797,VP2,full
Sapelovirus,1798,2523,VP3,full
Sapelovirus,2524,3448,VP1,full
Sapelovirus,3449,4252,2A,full
Sapelovirus,4253,4616,2B,full
Sapelovirus,4617,5654,2C,full
Sapelovirus,5655,5997,3A,full
Sapelovirus,5998,6069,3B,full
Sapelovirus,6070,6615,3C,full
Sapelovirus,6616,8007,3D,full
Teschovirus,603,877,L,full
Teschovirus,878,1099,VP4,full
Teschovirus,1100,2009,VP2,full
Teschovirus,2010,2748,VP3,full
Teschovirus,2749,3600,VP1,full
Teschovirus,3608,3664,2A,full
Teschovirus,3665,4163,2B,full
Teschovirus,4164,5139,2C,full
Teschovirus,5140,5468,3A,full
Teschovirus,5469,5547,3B,full
Teschovirus,5548,6185,3C,full
Teschovirus,6186,7562,3D,full
Bat picornavirus left,629,960,L,partial
Bat picornavirus left,961,1164,VP4,partial
Bat picornavirus left,1165,1930,VP2,partial
Bat picornavirus left,1931,2626,VP3,partial
Bat picornavirus left,2627,2834,VP1,partial
Bat picornavirus mid,2779,3633,VP1,partial
Bat picornavirus mid,3634,4367,2A,partial
Bat picornavirus mid,4368,4710,2B,partial
Bat picornavirus mid,4711,5424,2C,partial
Kobuvirus mid,2489,3157,VP3,partial
Kobuvirus mid,3158,3919,VP1,partial
Kobuvirus mid,3920,4327,2A,partial
Kobuvirus mid,4328,4822,2B,partial
Kobuvirus mid,4823,5326,2C,partial
Sapovirus mid,2692,2965,NS4,partial
Sapovirus mid,2966,3299,Vpg,partial
Sapovirus mid,3300,4848,Pro-Pol,partial
Sapovirus right,6667,7022,VP1,partial
Sapovirus right,7086,7842,VP2,partial
Teschovirus all,4561,5131,2C,partial
Teschovirus all,5132,5463,3A,partial
Teschovirus all,5464,5541,3B,partial
Teschovirus all,5542,6169,3C,partial
Teschovirus all,6170,7591,3D,partial
Bat picornavirus right,5530,5713,2C,partial
Bat picornavirus right,5714,6144,3A,partial
Bat picornavirus right,6145,6165,3B,partial
