CenterPos,JQ814851,NC_043072,KP100644
100,-1,-1,-1
120,-1,-1,-1
140,-1,-1,-1
160,-1,-1,-1
180,-1,-1,-1
200,0,35,65
220,-1,-1,-1
240,-1,-1,-1
260,-1,-1,-1
280,-1,-1,-1
300,-1,-1,-1
320,-1,-1,-1
340,-1,-1,-1
360,4,26,70
380,-1,-1,-1
400,-1,-1,-1
420,1,51,48
440,1,53,46
460,1,58,41
480,0,51,49
500,31,45,24
520,39,28,33
540,27,13,60
560,38,12,50
580,36,14,50
600,40,10,50
620,86,2,12
640,-1,-1,-1
660,91,0,9
680,96,1,3
700,-1,-1,-1
720,-1,-1,-1
740,-1,-1,-1
760,-1,-1,-1
780,-1,-1,-1
800,-1,-1,-1
820,-1,-1,-1
840,-1,-1,-1
860,-1,-1,-1
880,-1,-1,-1
900,-1,-1,-1
920,-1,-1,-1
940,-1,-1,-1
960,-1,-1,-1
980,-1,-1,-1
1000,9,0,91
1020,8,0,92
1040,9,0,91
1060,14,1,85
1080,7,0,93
1100,11,0,89
1120,10,1,89
1140,9,1,90
1160,8,0,92
1180,9,1,90
1200,-1,-1,-1
1220,68,1,31
1240,65,0,35
1260,61,0,39
1280,52,0,48
1300,48,0,52
1320,47,2,51
1340,49,1,50
1360,39,0,61
1380,16,25,59
1400,3,23,74
1420,0,83,17
1440,0,80,20
1460,2,24,74
1480,1,19,80
1500,1,13,86
1520,0,14,86
1540,0,2,98
1560,4,12,84
1580,5,7,88
1600,13,14,73
1620,6,31,63
1640,20,51,29
1660,12,50,38
1680,7,49,44
1700,4,46,50
1720,8,39,53
1740,6,50,44
1760,3,24,73
1780,1,20,79
1800,2,17,81
1820,0,4,96
1840,0,1,99
1860,1,0,99
1880,0,0,100
1900,0,0,100
1920,0,0,100
1940,0,0,100
1960,0,0,100
1980,1,0,99
2000,0,0,100
2020,0,1,99
2040,0,0,100
2060,0,0,100
2080,4,2,94
2100,23,16,61
2120,14,14,72
2140,12,9,79
2160,13,5,82
2180,3,6,91
