pointer,OQ363754,OQ363755,OQ363758,OQ363759,OQ363761
520,7,4,1,20,26
540,7,9,2,7,15
560,4,7,10,4,13
580,21,3,10,1,2
600,5,8,3,0,2
620,3,10,0,0,0
640,7,12,1,2,0
660,18,18,16,0,0
680,13,51,6,0,0
700,16,35,19,0,0
720,10,38,20,1,0
740,6,22,26,0,0
760,23,33,9,1,1
780,39,7,15,2,1
800,22,3,39,0,3
820,25,3,46,1,3
840,24,0,52,0,0
860,30,6,28,0,2
880,45,0,29,0,3
900,39,0,22,5,1
920,40,0,15,2,7
940,61,0,11,1,1
960,65,0,8,0,0
980,33,11,11,0,0
1000,61,8,7,0,0
1020,56,2,17,0,0
1040,17,6,39,1,0
1060,23,19,28,0,0
1080,13,17,43,0,0
1100,11,25,36,0,0
1120,20,8,16,0,0
1140,9,9,30,0,0
1160,8,3,42,1,0
1180,11,1,36,1,0
1200,8,8,30,0,0
1220,7,10,20,1,0
1240,31,13,2,4,0
1260,18,9,1,7,3
1280,21,4,6,9,0
1300,34,35,18,0,0
1320,36,15,48,0,0
1340,19,8,53,0,0
1360,10,5,75,1,0
1380,8,0,37,4,6
1400,15,6,19,3,4
1420,6,5,9,3,9
1440,3,6,10,4,9
1460,6,4,9,1,9
1480,4,2,2,3,7
1500,2,0,5,3,5
1520,9,3,0,1,7
1540,25,1,0,1,11
1560,42,4,0,0,4
1580,59,8,0,0,2
1600,74,4,0,0,1
1620,98,1,0,0,0
1640,83,9,0,0,0
1660,96,4,0,0,0
1680,91,6,0,0,0
1700,81,14,0,0,0
1720,70,4,2,0,0
1740,75,8,1,0,0
1760,-1,-1,-1,-1,-1
1780,0,0,2,52,14
1800,0,1,1,31,8
1820,0,13,1,7,0
1840,1,16,3,2,0
1860,1,5,2,0,0
1880,4,4,2,0,0
1900,18,28,8,0,0
1920,8,12,8,0,0
1940,4,3,3,0,0
1960,33,5,0,0,0
1980,92,0,0,0,0
2000,94,2,0,0,0
2020,90,5,0,0,0
2040,91,5,0,0,0
2060,93,7,0,0,0
2080,90,7,0,0,0
2100,79,6,0,1,0
2120,83,1,1,0,0
2140,84,8,0,0,0
2160,59,11,0,0,0
2180,25,31,0,0,0
2200,36,27,1,0,0
2220,36,16,0,0,1
2240,30,7,4,0,1
2260,13,8,1,1,2
2280,10,1,2,0,15
2300,9,2,1,0,15
2320,10,14,1,0,7
2340,12,32,0,0,2
2360,27,24,0,1,2
2380,4,39,0,0,6
2400,0,24,1,0,2
2420,8,28,4,0,1
2440,4,30,1,0,0
2460,12,26,2,0,0
2480,33,23,15,0,0
2500,26,28,6,0,0
2520,15,12,16,0,0
2540,8,5,32,0,0
2560,7,0,48,0,0
2580,9,0,33,0,0
2600,13,0,28,0,0
2620,8,4,20,1,0
2640,3,18,18,2,0
2660,2,13,31,1,0
2680,0,14,14,2,0
2700,0,17,30,2,2
2720,0,11,34,0,0
2740,1,9,27,2,1
2760,1,6,21,4,2
2780,0,7,18,1,3
2800,2,16,6,3,1
2820,2,3,18,2,0
2840,1,3,19,1,1
2860,3,4,9,7,3
2880,6,19,20,0,1
2900,2,19,2,0,0
2920,4,51,2,1,0
2940,9,46,1,1,0
2960,19,27,0,0,0
2980,18,45,1,0,0
3000,9,34,2,0,1
3020,15,41,0,0,0
3040,9,68,0,0,0
3060,7,79,0,0,0
3080,20,29,0,1,0
3100,21,29,6,1,0
3120,37,26,2,0,0
3140,51,22,4,0,0
3160,36,51,4,0,0
3180,26,58,9,0,0
3200,16,55,26,0,0
3220,4,31,62,0,0
3240,11,14,74,0,0
3260,24,1,69,0,0
3280,22,1,74,0,0
3300,20,3,70,0,0
3320,4,1,91,0,0
3340,2,1,96,0,0
3360,5,0,91,0,0
3380,6,0,93,0,0
3400,12,0,87,0,0
3420,39,0,51,0,0
3440,44,1,48,0,0
