CenterPos,OQ818329,OQ818321,NC_033820,NC_076039,NC_076040
120,0,0,88,0,2
140,0,0,96,0,1
160,0,0,94,0,0
180,0,0,99,0,0
200,0,0,100,0,0
220,0,0,100,0,0
240,0,0,100,0,0
260,0,0,100,0,0
280,0,0,100,0,0
300,0,0,100,0,0
320,0,0,100,0,0
340,0,6,83,0,0
360,0,0,87,0,0
380,0,0,93,0,1
400,0,0,95,0,0
420,0,0,95,0,0
440,0,0,100,0,0
460,0,0,100,0,0
480,0,0,100,0,0
500,0,0,100,0,0
520,0,2,98,0,0
540,0,0,100,0,0
560,0,1,98,0,0
580,0,0,97,0,0
600,0,3,97,0,0
620,0,3,96,0,0
640,0,8,81,0,0
660,0,5,93,0,0
680,0,0,95,0,0
700,0,1,98,0,0
720,0,1,93,0,0
740,0,2,91,0,0
760,0,3,93,0,0
780,0,3,92,0,0
800,2,1,84,0,0
820,0,0,82,0,0
840,2,2,43,0,0
860,3,2,49,0,0
880,5,1,42,0,0
900,7,0,75,0,0
920,0,0,95,0,0
940,7,0,88,0,0
960,1,0,83,0,0
980,1,0,97,0,0
1000,0,0,99,0,0
1020,0,0,95,0,0
1040,0,0,100,0,0
1060,0,0,99,0,0
1080,0,0,100,0,0
1100,0,0,97,0,0
1120,0,0,98,0,0
1140,0,0,93,0,0
1160,0,0,99,0,0
1180,0,0,98,0,0
1200,0,0,99,0,0
1220,0,0,100,0,0
1240,0,0,100,0,0
1260,0,0,100,0,0
1280,0,0,100,0,0
1300,0,0,100,0,0
1320,0,0,100,0,0
1340,0,0,100,0,0
1360,0,0,100,0,0
1380,0,0,100,0,0
1400,0,0,100,0,0
1420,0,0,100,0,0
1440,0,0,100,0,0
1460,1,0,99,0,0
1480,0,0,100,0,0
1500,2,0,98,0,0
1520,4,0,96,0,0
1540,8,0,92,0,0
1560,0,0,100,0,0
1580,0,0,100,0,0
1600,0,0,100,0,0
1620,1,0,97,0,0
1640,0,0,99,0,0
1660,0,0,100,0,0
1680,0,0,100,0,0
1700,0,0,100,0,0
1720,0,0,100,0,0
1740,0,0,100,0,0
1760,0,0,100,0,0
1780,0,0,100,0,0
1800,0,0,100,0,0
1820,0,0,100,0,0
1840,0,0,100,0,0
1860,0,0,100,0,0
1880,0,0,100,0,0
1900,0,0,100,0,0
1920,0,0,100,0,0
1940,0,0,100,0,0
1960,2,0,95,0,0
1980,0,0,99,0,0
2000,0,0,97,0,0
2020,2,0,90,0,0
2040,0,0,92,0,0
2060,0,0,94,0,0
2080,0,0,99,0,0
2100,0,0,100,0,0
2120,0,0,99,0,0
2140,0,0,99,0,0
2160,0,0,100,0,0
2180,0,0,100,0,0
2200,0,0,100,0,0
2220,0,0,100,0,0
2240,0,0,100,0,0
2260,0,0,100,0,0
2280,0,0,100,0,0
2300,1,0,99,0,0
2320,0,0,100,0,0
2340,0,0,99,0,0
2360,14,0,82,0,0
2380,1,0,99,0,0
2400,0,0,100,0,0
2420,1,0,98,0,0
2440,0,0,99,0,0
2460,0,0,99,0,0
2480,0,0,99,0,0
2500,0,0,100,0,0
2520,0,0,100,0,0
2540,0,0,100,0,0
2560,0,0,100,0,0
2580,0,0,100,0,0
2600,0,1,99,0,0
2620,0,0,100,0,0
2640,0,0,100,0,0
2660,0,0,100,0,0
2680,0,0,100,0,0
2700,1,0,93,0,0
2720,0,0,94,0,0
2740,0,0,98,0,0
2760,0,0,100,0,0
2780,0,0,100,0,0
2800,0,0,99,0,0
2820,0,0,100,0,0
2840,0,0,100,0,0
2860,0,0,97,0,0
2880,0,0,100,0,0
2900,0,0,97,0,0
2920,0,0,95,0,0
2940,0,0,99,0,0
2960,0,0,83,0,0
2980,0,1,66,0,0
3000,0,2,53,0,0
3020,1,4,58,0,0
3040,4,0,77,0,0
3060,0,0,87,0,0
3080,0,2,91,0,0
3100,0,1,92,0,0
3120,0,2,94,0,0
3140,0,0,99,0,0
3160,0,2,97,0,0
3180,0,2,97,0,0
3200,0,1,97,0,0
3220,0,0,96,0,0
3240,0,0,90,0,0
3260,0,0,100,0,0
3280,0,0,99,0,0
3300,0,0,99,0,0
3320,0,0,99,0,0
3340,0,0,96,0,0
3360,0,0,100,0,0
3380,0,0,99,0,0
3400,0,0,99,0,0
3420,0,0,95,0,0
3440,0,0,99,0,0
3460,0,0,92,0,0
3480,0,0,95,0,0
3500,0,0,93,0,0
3520,1,0,84,0,0
3540,0,0,96,0,0
3560,0,0,94,0,0
3580,0,0,88,0,0
3600,1,0,65,0,0
3620,0,0,79,0,0
3640,1,0,74,0,0
3660,1,0,92,0,0
3680,0,0,90,0,0
3700,0,0,96,0,0
3720,0,0,99,0,0
3740,0,0,79,0,0
3760,0,0,82,0,0
3780,0,0,76,0,0
3800,0,0,81,0,0
3820,0,0,85,0,0
3840,0,2,86,0,0
