FileName: D:\full\kunsagivirus.fasta
Window: 200 bp, Step: 20 bp, GapStrip: On, Reps: 100, Kimura (2-parameter), T/t: 2.0, Neighbor-Joining
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Query","OQ818317"
"Ref","MN602325","MN602325"
"Ref","NC_043071","NC_043071"
"Ref","NC_033818","NC_033818"


"CenterPos","MN602325","NC_043071","NC_033818"
"100","-1","-1","-1"
"120","-1","-1","-1"
"140","-1","-1","-1"
"160","-1","-1","-1"
"180","-1","-1","-1"
"200","-1","-1","-1"
"220","-1","-1","-1"
"240","-1","-1","-1"
"260","-1","-1","-1"
"280","-1","-1","-1"
"300","-1","-1","-1"
"320","-1","-1","-1"
"340","-1","-1","-1"
"360","-1","-1","-1"
"380","-1","-1","-1"
"400","-1","-1","-1"
"420","-1","-1","-1"
"440","-1","-1","-1"
"460","-1","-1","-1"
"480","-1","-1","-1"
"500","-1","-1","-1"
"520","7","6","87"
"540","7","9","84"
"560","13","12","75"
"580","0","6","94"
"600","0","0","100"
"620","0","0","100"
"640","0","0","100"
"660","0","0","100"
"680","0","0","100"
"700","0","0","100"
"720","0","0","100"
"740","0","0","100"
"760","0","0","100"
"780","0","0","100"
"800","0","0","100"
"820","0","0","100"
"840","0","0","100"
"860","0","0","100"
"880","0","0","100"
"900","0","0","100"
"920","0","0","100"
"940","0","0","100"
"960","0","0","100"
"980","0","0","100"
"1000","0","0","100"
"1020","0","0","100"
"1040","0","0","100"
"1060","0","0","100"
"1080","0","0","100"
"1100","0","0","100"
"1120","0","0","100"
"1140","0","0","100"
"1160","0","0","100"
"1180","0","0","100"
"1200","0","0","100"
"1220","0","0","100"
"1240","0","0","100"
"1260","0","0","100"
"1280","0","0","100"
"1300","0","0","100"
"1320","0","0","100"
"1340","0","0","100"
"1360","0","0","100"
"1380","0","0","100"
"1400","0","0","100"
"1420","0","0","100"
"1440","0","0","100"
"1460","0","0","100"
"1480","0","0","100"
