CenterPos,OQ818335,OQ818336,NC_028366,NC_038316,NC_038313,OQ363754,OQ363755,OQ363758,OQ363759,OQ363761
540,7,0,9,5,0,0,0,0,0,0
560,0,0,20,5,0,0,0,0,0,0
580,0,0,11,18,0,0,0,0,0,0
600,0,0,4,25,0,0,0,0,0,0
620,0,0,1,44,0,0,0,0,0,0
640,0,0,25,47,0,0,0,0,0,0
660,0,0,64,29,0,0,0,0,0,0
680,0,0,77,17,0,0,0,0,0,0
700,0,0,91,5,3,0,0,0,0,0
720,0,0,98,0,1,0,0,0,0,0
740,0,0,92,0,6,0,0,0,0,0
760,0,0,97,0,3,0,0,0,0,0
780,0,0,71,0,23,0,0,0,0,0
800,0,0,85,0,10,0,0,0,0,0
820,0,0,81,0,13,0,0,0,0,0
840,0,0,69,2,14,0,0,0,0,0
860,0,0,53,14,17,0,0,0,0,0
880,0,0,48,20,16,0,0,0,0,0
900,0,0,53,23,1,0,0,0,0,0
920,0,0,66,13,7,0,0,0,0,0
940,0,0,71,3,10,0,0,0,0,0
960,0,0,86,4,2,0,0,0,0,0
980,0,0,95,0,1,0,0,0,0,0
1000,0,0,78,1,3,0,0,0,0,0
1020,0,0,81,4,0,0,0,0,0,0
1040,0,0,77,1,0,0,0,0,0,0
1060,0,0,64,1,0,0,0,0,0,0
1080,0,0,91,1,0,0,0,0,0,0
1100,0,1,70,0,1,0,0,0,0,0
1120,0,0,85,0,0,0,0,0,0,0
1140,0,0,52,3,1,0,0,0,0,0
1160,0,0,31,6,0,0,0,0,0,0
1180,0,0,36,9,0,0,0,0,0,0
1200,1,0,51,10,0,0,0,0,0,0
1220,2,0,91,1,0,0,0,0,0,0
1240,1,0,90,2,0,0,0,0,0,0
1260,0,0,100,0,0,0,0,0,0,0
1280,0,0,99,0,0,0,0,0,0,0
1300,0,0,99,0,0,0,0,0,0,0
1320,0,0,98,0,0,0,0,0,0,0
1340,0,0,97,0,0,0,0,0,0,0
1360,0,0,100,0,0,0,0,0,0,0
1380,0,0,100,0,0,0,0,0,0,0
