molecule,start,end,gene,virus
OQ818316,7817,7982,3'UTR,Mischivirus
OQ818317,7187,7329,3'UTR,Kunsagivirus
OQ818318,7073,7085,3'UTR,Teschovirus
OQ818320,7611,7685,3'UTR,Sapelovirus
OQ818321,7657,7751,3'UTR,Sapelovirus
OQ818322,8049,8320,3'UTR,Kobuvirus
OQ818323,7208,7294,3'UTR,Teschovirus
OQ818324,7224,7228,3'UTR,Teschovirus
OQ818326,6093,6332,3'UTR,Nepovirus
OQ818327,3528,3600,3'UTR,Nepovirus
OQ818328,7511,7614,3'UTR,Picornavirus
OQ818329,7612,7714,3'UTR,Sapelovirus
OQ818316,1,1135,5'UTR,Mischivirus
OQ818317,1,529,5'UTR,Kunsagivirus
OQ818318,1,559,5'UTR,Teschovirus
OQ818319,1,368,5'UTR,Sapovirus
OQ818320,1,167,5'UTR,Sapelovirus
OQ818321,1,414,5'UTR,Sapelovirus
OQ818322,1,743,5'UTR,Kobuvirus
OQ818323,1,541,5'UTR,Teschovirus
OQ818324,1,569,5'UTR,Teschovirus
OQ818325,1,517,5'UTR,Picornavirus
OQ818326,1,599,5'UTR,Nepovirus
OQ818327,1,215,5'UTR,Nepovirus
OQ818328,1,532,5'UTR,Picornavirus
OQ818329,1,669,5'UTR,Sapelovirus
OQ818326,600,6092,Polyprotein,Nepovirus
OQ818327,216,3527,Polyprotein,Nepovirus
OQ818316,1136,7816,Polyprotein,Mischivirus
OQ818317,530,7186,Polyprotein,Kunsagivirus
OQ818318,560,7072,Polyprotein,Teschovirus
OQ818319,369,5792,Polyprotein,Sapovirus
OQ818320,168,7610,Polyprotein,Sapelovirus
OQ818321,415,7656,Polyprotein,Sapelovirus
OQ818322,744,8048,Polyprotein,Kobuvirus
OQ818323,542,7207,Polyprotein,Teschovirus
OQ818324,570,7223,Polyprotein,Teschovirus
OQ818325,518,7280,Polyprotein,Picornavirus
OQ818328,533,7510,Polyprotein,Picornavirus
OQ818329,670,7611,Polyprotein,Sapelovirus
