gene,molecule,start,end,length
5'UTR,OQ818337,1,705,705
hypothetical protein CDS,OQ818331,4312,5043,732
hypothetical protein CDS,OQ818333,98,1255,1158
non-structural polyprotein CDS,OQ818335,6,5654,5649
polyprotein CDS,OQ818330,62,3001,2940
polyprotein CDS,OQ818340,<1,>3232,>3232
polyprotein CDS,OQ818341,<1,>3380,>3380
polyprotein CDS,OQ818342,<1,>1177,>1177
polyprotein CDS,OQ818343,<1,>1127,>1127
polyprotein CDS,OQ818344,<1,>2134,>2134
polyprotein CDS,OQ818345,<1,>1043,>1043
polyprotein CDS,OQ818347,<1,>2171,>2171
polyprotein CDS,OQ818348,<1,>2611,>2611
putative polyprotein CDS,OQ818331,<1,4298,>4298
putative polyprotein CDS,OQ818332,<1,>2370,>2370
putative polyprotein CDS,OQ818333,1364,>2880,>1517
putative polyprotein CDS,OQ818334,<1,>1656,>1656
putative polyprotein CDS,OQ818336,<1,5956,>5956
putative polyprotein CDS,OQ818337,706,>5785,>5080
putative polyprotein CDS,OQ818338,<1,>1807,>1807
similar to polyprotein,OQ818346,<1,1004,>1004
similar to putative polyprotein,OQ818339,1092,2936,1845
similar to putative polyprotein,OQ818339,<1,861,>861
similar to putative polyprotein,OQ818339,2967,3632,666
similar to structural polyprotein,OQ818335,5727,>5787,>61
