molecule,start,end,gene,virus
OQ818316,3842,3916,2A peptide,Mischivirus
OQ818316,3917,4372,2B peptide,Mischivirus
OQ818316,4373,5485,2C peptide,Mischivirus
OQ818316,7817,7982,3'UTR,Mischivirus
OQ818316,5501,5653,3A peptide,Mischivirus
OQ818316,5693,5881,3B peptide,Mischivirus
OQ818316,5891,6424,3C peptide,Mischivirus
OQ818316,6434,7795,3D peptide,Mischivirus
OQ818316,1,1135,5'UTR,Mischivirus
OQ818316,1136,1312,L peptide,Mischivirus
OQ818316,2975,3814,VP1 peptide,Mischivirus
OQ818316,1535,2281,VP2 peptide,Mischivirus
OQ818316,2318,2971,VP3 peptide,Mischivirus
OQ818316,1313,1534,VP4 peptide,Mischivirus
OQ818322,3807,4214,2A peptide,Kobuvirus
OQ818322,4215,4709,2B peptide,Kobuvirus
OQ818322,4710,5714,2C peptide,Kobuvirus
OQ818322,8049,8320,3'UTR,Kobuvirus
OQ818322,5715,5993,3A peptide,Kobuvirus
OQ818322,5994,6071,3B peptide,Kobuvirus
OQ818322,6072,6641,3C peptide,Kobuvirus
OQ818322,6642,8045,3D peptide,Kobuvirus
OQ818322,1,743,5'UTR,Kobuvirus
OQ818322,744,1298,L peptide,Kobuvirus
OQ818322,1299,2411,VP0 peptide,Kobuvirus
OQ818322,3081,3806,VP1 peptide,Kobuvirus
OQ818322,2412,3080,VP3 peptide,Kobuvirus
OQ818325,3308,3949,2A peptide,Picornavirus
OQ818328,3242,3883,2A peptide,Picornavirus
OQ818325,3950,4273,2B peptide,Picornavirus
OQ818328,3884,4207,2B peptide,Picornavirus
OQ818325,4274,5266,2C peptide,Picornavirus
OQ818328,4208,5200,2C peptide,Picornavirus
OQ818328,7511,7614,3'UTR,Picornavirus
OQ818325,5267,5569,3A peptide,Picornavirus
OQ818328,5201,5503,3A peptide,Picornavirus
OQ818325,5570,5638,3B peptide,Picornavirus
OQ818328,5504,5572,3B peptide,Picornavirus
OQ818325,5639,6187,3C peptide,Picornavirus
OQ818328,5573,6121,3C peptide,Picornavirus
OQ818325,6188,7280,3D peptide,Picornavirus
OQ818328,6122,7507,3D peptide,Picornavirus
OQ818325,1,517,5'UTR,Picornavirus
OQ818328,1,532,5'UTR,Picornavirus
OQ818325,518,763,L peptide,Picornavirus
OQ818328,533,697,L peptide,Picornavirus
OQ818325,2366,3298,VP1 peptide,Picornavirus
OQ818328,2300,3232,VP1 peptide,Picornavirus
OQ818328,2300,3232,VP1 peptide,Picornavirus
OQ818325,965,1684,VP2 peptide,Picornavirus
OQ818328,899,1618,VP2 peptide,Picornavirus
OQ818328,899,1618,VP2 peptide,Picornavirus
OQ818325,1685,2365,VP3 peptide,Picornavirus
OQ818328,1619,2299,VP3 peptide,Picornavirus
OQ818328,1619,2299,VP3 peptide,Picornavirus
OQ818325,770,964,VP4 peptide,Picornavirus
OQ818328,704,898,VP4 peptide,Picornavirus
OQ818328,704,898,VP4 peptide,Picornavirus
OQ818320,3195,3935,2A peptide,Sapelovirus
OQ818321,3211,3990,2A peptide,Sapelovirus
OQ818329,3319,3954,2A peptide,Sapelovirus
OQ818320,3936,4280,2B peptide,Sapelovirus
OQ818321,3991,4332,2B peptide,Sapelovirus
OQ818329,3955,4296,2B peptide,Sapelovirus
OQ818320,4281,5303,2C peptide,Sapelovirus
OQ818321,4333,5349,2C peptide,Sapelovirus
OQ818329,4297,5304,2C peptide,Sapelovirus
OQ818320,7611,7685,3'UTR,Sapelovirus
OQ818321,7657,7751,3'UTR,Sapelovirus
OQ818329,7612,7714,3'UTR,Sapelovirus
OQ818320,5304,5609,3A peptide,Sapelovirus
OQ818321,5350,5655,3A peptide,Sapelovirus
OQ818329,5305,5610,3A peptide,Sapelovirus
