pointer,NC_028366,NC_038316,NC_038313
100,-1,-1,-1
120,99,1,0
140,97,3,0
160,99,1,0
180,99,0,1
200,75,22,3
220,61,37,2
240,41,53,6
260,47,41,12
280,63,22,15
300,47,31,22
320,28,44,28
340,56,28,16
360,44,33,23
380,66,26,8
400,74,12,14
420,81,4,15
440,97,0,3
460,97,1,2
480,99,0,1
500,99,0,1
520,98,0,2
540,97,1,2
560,100,0,0
580,99,0,1
600,100,0,0
620,98,0,2
640,97,1,2
660,98,0,2
680,98,1,1
700,98,1,1
720,100,0,0
740,99,1,0
760,94,0,6
780,92,1,7
800,93,0,7
820,99,0,1
840,93,3,4
860,96,3,1
880,92,1,7
900,100,0,0
920,100,0,0
940,100,0,0
960,97,3,0
980,91,9,0
1000,65,29,6
1020,68,12,20
1040,77,9,14
1060,76,1,23
1080,74,1,25
1100,46,7,47
1120,21,39,40
1140,26,42,32
1160,37,37,26
1180,43,27,30
1200,28,50,22
1220,41,30,29
1240,35,40,25
1260,22,52,26
1280,3,75,22
1300,10,68,22
1320,14,47,39
1340,51,31,18
1360,37,26,37
1380,47,24,29
1400,71,14,15
1420,43,44,13
1440,84,13,3
1460,81,18,1
1480,84,13,3
1500,78,22,0
1520,82,14,4
1540,61,33,6
1560,76,19,5
1580,88,10,2
1600,71,20,9
1620,85,7,8
1640,49,26,25
1660,56,8,36
1680,40,11,49
1700,31,1,68
1720,46,3,51
1740,38,5,57
1760,2,1,97
1780,12,7,81
1800,31,1,68
1820,30,0,70
1840,20,0,80
1860,31,0,69
1880,42,1,57
1900,45,1,54
1920,20,3,77
1940,28,1,71
1960,34,1,65
1980,53,2,45
2000,34,1,65
2020,34,3,63
2040,35,8,57
2060,12,8,80
2080,17,5,78
2100,18,11,71
2120,26,21,53
2140,29,22,49
2160,50,18,32
2180,20,28,52
2200,41,28,31
2220,42,15,43
2240,62,13,25
2260,88,1,11
2280,87,1,12
2300,97,0,3
2320,96,0,4
2340,96,1,3
2360,100,0,0
2380,100,0,0
2400,100,0,0
2420,99,1,0
2440,99,1,0
2460,97,2,1
2480,98,2,0
2500,99,1,0
2520,99,1,0
2540,100,0,0
2560,100,0,0
2580,100,0,0
2600,98,2,0
2620,97,2,1
2640,98,1,1
2660,98,2,0
2680,91,9,0
2700,91,9,0
2720,99,1,0
2740,98,0,2
2760,89,5,6
2780,94,4,2
2800,94,4,2
2820,96,3,1
2840,92,4,4
2860,92,3,5
2880,98,2,0
2900,91,7,2
2920,94,6,0
2940,77,23,0
2960,85,14,1
2980,84,11,5
3000,63,31,6
3020,84,15,1
3040,93,7,0
3060,78,16,6
3080,75,7,18
3100,66,5,29
3120,18,2,80
3140,19,10,71
3160,43,18,39
3180,56,6,38
3200,48,20,32
3220,26,37,37
3240,49,17,34
3260,64,17,19
3280,59,34,7
3300,64,32,4
3320,83,17,0
3340,98,2,0
3360,88,12,0
3380,96,4,0
3400,99,1,0
3420,100,0,0
3440,99,1,0
3460,100,0,0
3480,100,0,0
3500,99,0,1
3520,100,0,0
3540,100,0,0
3560,100,0,0
3580,100,0,0
3600,100,0,0
3620,100,0,0
3640,98,0,2
3660,99,0,1
3680,100,0,0
3700,100,0,0
3720,100,0,0
3740,100,0,0
3760,100,0,0
3780,100,0,0
3800,99,1,0
3820,100,0,0
3840,99,1,0
3860,93,7,0
3880,91,9,0
3900,41,59,0
3920,43,57,0
3940,28,72,0
3960,33,67,0
3980,30,70,0
4000,60,37,3
4020,84,5,11
4040,89,5,6
4060,86,6,8
4080,94,5,1
4100,95,5,0
4120,93,7,0
4140,96,4,0
4160,96,3,1
4180,99,1,0
4200,96,4,0
4220,92,8,0
4240,76,20,4
4260,89,9,2
4280,93,7,0
4300,95,3,2
4320,91,7,2
4340,95,4,1
4360,98,1,1
4380,95,2,3
4400,93,1,6
4420,97,0,3
4440,99,0,1
4460,98,2,0
4480,98,1,1
4500,97,1,2
4520,96,1,3
4540,85,2,13
4560,89,0,11
4580,80,6,14
4600,69,4,27
4620,80,1,19
4640,66,0,34
4660,68,3,29
4680,57,8,35
4700,61,8,31
4720,91,1,8
4740,94,2,4
4760,100,0,0
4780,94,2,4
4800,95,2,3
4820,95,1,4
4840,93,1,6
4860,94,1,5
4880,84,3,13
4900,90,0,10
4920,82,1,17
4940,79,2,19
4960,68,7,25
4980,97,0,3
5000,100,0,0
5020,100,0,0
5040,100,0,0
5060,100,0,0
5080,100,0,0
5100,100,0,0
5120,100,0,0
5140,100,0,0
5160,100,0,0
5180,100,0,0
5200,100,0,0
5220,100,0,0
5240,99,0,1
5260,99,0,1
5280,100,0,0
5300,99,0,1
5320,98,0,2
5340,93,1,6
5360,96,2,2
5380,86,9,5
5400,88,7,5
5420,56,24,20
5440,75,15,10
5460,70,14,16
5480,77,10,13
5500,52,9,39
5520,48,21,31
5540,37,37,26
5560,25,35,40
5580,21,15,64
5600,19,38,43
5620,24,32,44
5640,12,25,63
5660,27,19,54
5680,33,30,37
5700,45,27,28
5720,75,9,16
5740,76,7,17
5760,80,3,17
5780,89,4,7
5800,86,2,12
5820,100,0,0
5840,99,1,0
5860,100,0,0
5880,100,0,0
5900,98,2,0
5920,88,12,0
5940,78,22,0
5960,72,28,0
5980,92,8,0
6000,98,2,0
6020,100,0,0
6040,99,1,0
6060,99,1,0
6080,100,0,0
6100,100,0,0
6120,99,0,1
6140,100,0,0
6160,99,1,0
