pointer,HM002617,KX759623
371,29,69.6969697
372,30,70.70707071
373,30,69.6969697
374,30,68.68686869
375,30,67.67676768
376,31,67.67676768
377,32,67.67676768
378,32,67.67676768
379,33,67.67676768
380,33,67.67676768
381,32,66.66666667
382,32,66.66666667
383,33,65.65656566
384,33,65.65656566
385,33,66
386,34,66
387,34,66
388,34,67
389,34,68
390,35,67
391,34,66
392,33,66
393,33,66
394,33,66
395,33,67
396,34,68
397,35,68
398,35,68
399,36,68
400,36,68
401,37,69
402,37,69
403,36,68
404,37,69
405,38,69
406,38,69
407,38,70
408,38,70
409,38,70
410,37,70
411,37,70
412,38,70
413,38,70
414,39,71
415,40,71
416,41,72
417,42,72
418,43,72
419,44,73
420,44,72
421,45,73
422,45,72
423,46,73
424,47,72
425,47,71
426,47,71
427,48,71
428,47,70
429,46,70
430,47,70
431,46,69
432,46,68
433,46,68
434,47,69
435,47,68
436,48,68
437,49,69
438,49,69
439,49,68
440,50,69
441,50,70
442,51,70
443,52,70
444,51,70
445,51,70
446,52,71
447,52,71
448,53,71
449,54,72
450,53,72
451,52,71
452,52,72
453,52,72
454,52,72
455,53,72
456,54,73
457,55,74
458,55,74
459,55,75
460,56,75
461,55,75
462,54,74
463,54,74
464,55,73
465,55,73
466,54,72
467,55,73
468,56,73
469,56,72
470,57,71
471,56,70
472,55,69
473,55,69
474,56,70
475,55,71
476,55,70
477,55,70
478,56,69
479,56,69
480,57,70
481,58,71
482,58,71
483,58,72
484,59,73
485,59,73
486,59,73
487,60,73
488,61,73
489,62,73
490,62,74
491,62,75
492,63,75
493,63,75
494,64,75
495,64,74
496,64,74
497,63,73
498,63,72
499,62,72
500,63,72
501,62,72
502,62,72
503,62,73
504,62,73
505,62,73
506,62,73
507,63,73
508,63,72
509,63,73
510,63,72
511,63,72
512,63,72
513,64,72
514,64,72
515,63,71
516,63,71
517,63,71
518,62,71
519,62,71
520,63,72
521,63,72
522,63,72
523,62,72
524,62,73
525,63,74
526,64,74
527,63,74
528,64,74
529,65,74
530,64,73
531,64,74
532,63,74
533,62,74
534,61,74
535,60,74
536,60,74
537,60,74
538,61,73
539,62,74
540,62,74
541,62,73
542,62,72
543,61,72
544,61,72
545,61,72
546,60,71
547,60,71
548,59,70
549,58,70
550,58,69
551,59,70
552,59,69
553,60,70
554,60,70
555,60,70
556,59,70
557,59,70
558,58,70
559,58,70
560,58,70
561,59,70
562,59,70
563,59,70
564,59,71
565,58,70
566,58,70
567,58,70
568,57,69
569,58,70
570,57,70
571,57,71
572,57,72
573,57,73
574,57,73
575,57,73
576,57,74
577,56,74
578,56,75
579,55,74
580,54,74
581,53,74
582,52,73
583,51,73
584,50,73
585,50,72
586,49,72
587,49,71
588,48,70
589,47,69
590,47,69
591,48,69
592,47,69
593,47,70
594,46,69
595,46,69
596,45,69
597,45,70
598,46,71
599,47,71
600,47,70
601,47,69
602,46,69
603,46,69
604,45,69
605,45,69
606,46,69
607,45,69
608,45,70
609,44,69
610,45,70
611,45,70
612,44,70
613,43,70
614,42,69
615,42,69
616,41,68
617,40,68
618,41,67
619,41,66
620,40,65
621,40,65
622,41,66
623,41,66
624,40,66
625,39,66
626,39,66
627,39,66
628,38,67
629,37,66
630,37,67
631,37,66
632,37,67
633,37,66
634,38,66
635,38,67
636,37,66
637,36,66
638,35,66
639,34,66
640,33,66
641,32,67
642,31,67
643,31,66
644,31,66
645,31,65
646,31,66
647,30,65
648,30,66
649,30,66
650,30,67
651,29,66
652,29,67
653,29,67
654,28,67
655,27,67
656,27,67
657,26,67
658,26,67
659,25,67
660,25,67
661,24,66.66666667
662,24,67.34693878
663,24,66.32653061
664,24,66.32653061
665,24,67.34693878
666,24,67.34693878
667,23,67.34693878
668,23,68.36734694
669,22,67.34693878
670,23,67.34693878
671,23,66.32653061
672,23,66.32653061
673,23,66.32653061
674,22,66.32653061
675,22,66.32653061
676,22,66.32653061
677,22,66.32653061
678,21,65.30612245
679,21,65.30612245
680,21,64.28571429
681,21,63.26530612
682,21,64.28571429
683,21,64.28571429
684,21,63.26530612
685,21,64.28571429
686,21,64.28571429
687,20,65.30612245
688,20,66.32653061
689,21,67.34693878
690,20,67.34693878
691,19,67.34693878
692,19,67.34693878
693,19,67.34693878
694,20,68.36734694
695,20,69.3877551
696,20,68.36734694
697,20,68.36734694
698,19,68.36734694
699,18,67.34693878
700,18,68.36734694
701,18,69.3877551
702,18,69.3877551
703,18,69.3877551
704,18,69.3877551
705,17,68.36734694
706,16,68.36734694
707,17,68.36734694
