pointer,HM002617,KX759623
1141,37,62
1142,37,63
1143,36,63
1144,37,63
1145,37,64
1146,38,64
1147,37,64
1148,37,65
1149,37,65
1150,36,65
1151,37,65
1152,37,65
1153,36,65
1154,37,66
1155,38,67
1156,37,67
1157,37,68
1158,38,68
1159,38,67
1160,37,68
1161,36,67
1162,36,66
1163,35,66
1164,34,65
1165,34,64
1166,34,65
1167,35,66
1168,35,66
1169,35,66
1170,36,67
1171,36,67
1172,36,68
1173,37,68
1174,37,68
1175,37,68
1176,37,68
1177,38,67
1178,38,68
1179,38,69
1180,38,68
1181,38,67
1182,38,66
1183,38,65
1184,39,65
1185,39,65.65656566
1186,39,65.30612245
1187,39,65.97938144
1188,38,65.625
1189,38,65.26315789
1190,37,64.89361702
1191,37,65.59139785
1192,37,66.30434783
1193,36,67.03296703
1194,35,66.66666667
1195,35,66.29213483
1196,34,67.04545455
1197,35,68.18181818
1198,36,67.04545455
1199,35,67.04545455
1200,34,67.04545455
1201,34,65.90909091
1202,35,67.04545455
1203,35,68.18181818
1204,34,67.04545455
1205,34,65.90909091
1206,34,65.90909091
1207,35,65.90909091
1208,36,65.90909091
1209,36,65.90909091
1210,35,64.77272727
1211,34,64.77272727
1212,34,64.77272727
1213,33,63.63636364
1214,33,63.63636364
1215,33,63.63636364
1216,33,64.77272727
1217,34,65.90909091
1218,35,65.90909091
1219,34,64.77272727
1220,34,65.90909091
1221,35,65.90909091
1222,35,64.77272727
1223,35,64.77272727
1224,36,64.77272727
1225,35,64.77272727
1226,35,64.77272727
1227,35,64.77272727
1228,35,63.63636364
1229,35,64.77272727
1230,36,64.77272727
1231,36,64.77272727
1232,36,65.90909091
1233,37,67.04545455
1234,37,67.04545455
1235,38,65.90909091
1236,37,65.90909091
1237,37,64.77272727
1238,38,64.77272727
1239,38,64.77272727
1240,37,65.90909091
1241,37,67.04545455
1242,37,67.04545455
1243,37,67.04545455
1244,36,65.90909091
1245,37,64.77272727
1246,36,63.63636364
1247,37,62.5
1248,38,61.36363636
1249,37,60.22727273
1250,38,60.22727273
1251,37,60.22727273
1252,37,60.22727273
1253,37,60.22727273
1254,37,60.22727273
1255,36,60.22727273
1256,37,61.36363636
1257,37,61.36363636
1258,37,61.36363636
1259,38,62.5
1260,38,62.5
1261,39,62.5
1262,39,62.5
1263,39,62.5
1264,39,62.5
1265,40,63.63636364
1266,41,63.63636364
1267,40,63.63636364
1268,40,64.77272727
1269,40,65.90909091
1270,40,65.90909091
1271,40,64.77272727
1272,41,64.77272727
1273,40,63.63636364
1274,41,63.63636364
1275,42,64.77272727
1276,42,64.77272727
1277,41,64.77272727
