#Skyline assuming 50.0 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
1461.740	2.267e+03	8.668e+02	5.932e+03
1491.048	3.098e+03	1.576e+03	6.089e+03
1520.356	5.438e+03	2.830e+03	1.045e+04
1549.664	9.347e+03	5.136e+03	1.701e+04
1578.972	1.795e+04	9.924e+03	3.246e+04
1608.281	2.699e+04	2.229e+04	3.269e+04
1637.589	2.699e+04	2.231e+04	3.265e+04
1666.897	3.043e+04	1.873e+04	4.944e+04
1696.205	2.687e+04	2.194e+04	3.290e+04
1725.514	4.173e+04	2.388e+04	7.292e+04
1754.822	2.779e+04	2.225e+04	3.471e+04
1784.130	4.126e+04	2.358e+04	7.221e+04
1813.438	4.748e+04	2.795e+04	8.065e+04
1842.747	5.750e+04	3.057e+04	1.082e+05
1872.055	7.353e+04	4.053e+04	1.334e+05
1901.363	8.579e+04	5.099e+04	1.443e+05
1930.671	7.846e+04	3.859e+04	1.595e+05
1959.979	1.230e+05	7.351e+04	2.057e+05
1989.288	1.005e+05	6.323e+04	1.598e+05
2018.596	2.777e+04	2.218e+04	3.477e+04
