Accession,Organism_Name,Isolate,Species,Genus,Country,source,Host,Collection_Date,novel
AB455793.2,Sapovirus Hu/Kushiro5/2007/JP,Hu/Kushiro5/2007/JP,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,2007,0
AB522390.3,Sapovirus Hu/D1714-B/2008/JPN,,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,2008,0
AB522397.2,Sapovirus D1737-A/Jun2008/JPN,,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,2008,0
AB614356.1,Sapovirus Hu/GI.2/BR-DF01/BRA/2009,Hu/GI.2/BR-DF01/BRA/2009,Sapporo virus,Sapovirus,Brazil,Homo sapiens,0,2009,0
AB623037.2,Sapovirus Hu/OH08021/2008/JP,,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,2008,0
AB630068.3,Sapovirus Hu/20082029/2008/JP,,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,2008,0
AB689845.2,Sapovirus Hu/Kumamoto129/Jun2010/JPN,,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,2010,0
AB689846.2,Sapovirus Hu/Kumamoto130/Jul2010/JPN,,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,2010,0
AY237419.2,Sapovirus Mc2,,Sapporo virus,Sapovirus,Thailand,Homo sapiens,0,2004,0
AY237422.3,Sapovirus Mc114,,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,2004,0
AY237423.2,Sapovirus N21,,Sapporo virus,Sapovirus,Thailand,Homo sapiens,0,2004,0
AY646853.2,Sapovirus NongKhai-50/Thailand,,Sapporo virus,Sapovirus,Thailand,Homo sapiens,0,2004,0
AY646854.2,Sapovirus Chanthaburi-74/Thailand,,Sapporo virus,Sapovirus,Thailand,Homo sapiens,0,2004,0
AY646855.2,Sapovirus SaKaeo-15/Thailand,,Sapporo virus,Sapovirus,Thailand,Homo sapiens,0,2004,0
AY646856.2,Nongkhai virus,,Sapporo virus,Sapovirus,Thailand,Sus scrofa,0,2004,0
AY974192.2,Sapovirus Po/OH-JJ681/2000/US,Po/OH-JJ681/2000/US,Sapporo virus,Sapovirus,USA,Sus scrofa,0,2000,0
DQ058829.1,Ehime virus,Ehime1107,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2005,0
FJ387164.1,Sapovirus pig/sav1/2008/CHN,Ch-sw-sav1,Sapporo virus,Sapovirus,China,Sus scrofa,0,2008,0
JN899072.1,Bat sapovirus TLC34/HK,,Bat sapovirus TLC34/HK,Sapovirus,Hong Kong,Chiroptera,1,2012,0
JN899074.1,Bat sapovirus TLC39/HK,,Bat sapovirus TLC39/HK,Sapovirus,Hong Kong,Chiroptera,1,2012,0
JX678943.1,Porcine enteric sapovirus,,Sapporo virus,Sapovirus,China,Sus scrofa,0,2009,0
JX993277.1,Sapovirus Hu/G1/BE-HPI01/DE/2012,BE-HPI01,Sapporo virus,Sapovirus,Germany,Homo sapiens,0,2012,0
KF204570.1,Sapovirus pig/Gansu/CH430/2012/CHN,CH430,Sapporo virus,Sapovirus,China,Sus scrofa,0,2012,0
KJ508818.1,Sapovirus pig/GVI/OH-JJ674/2000/US,,Sapporo virus,Sapovirus,USA,Sus scrofa,0,2000,0
KP067444.1,Sapovirus GII,,Sapporo virus,Sapovirus,Philippines,Homo sapiens,0,2012,0
KP298674.1,Sapovirus Hu/GI.1/Seoul/ROK62/2013/KOR,,Sapporo virus,Sapovirus,South Korea,Homo sapiens,0,2013,0
KT327081.1,Sapovirus Hu/G1/Zhejiang1/China/2014,Hu/G1/Zhejiang1/China/2014,Sapporo virus,Sapovirus,China,Homo sapiens,0,2014,0
KT922087.1,Porcine sapovirus,,Sapporo virus,Sapovirus,USA,Sus scrofa,0,1979,0
KT922088.1,Porcine sapovirus,,Sapporo virus,Sapovirus,USA,Sus scrofa,0,2010,0
