pointer,HM002617,KX759618.1,KX759621.1,KX759622.1,NC_033776.1,KX759623.1
1200,6,0,0,0,0,55
1220,1,0,0,0,0,61
1240,3,0,0,0,0,72
1260,2,0,0,0,0,36
1280,3,0,0,0,0,38
1300,8,0,0,0,0,37
1320,9,0,0,0,0,46
1340,13,0,0,0,0,54
1360,39,0,0,0,0,25
1380,21,0,0,0,0,20
1400,31,0,0,0,0,39
1420,21,0,0,0,0,40
1440,17,0,0,0,0,52
1460,35,0,0,0,0,64
1480,21,0,0,0,0,78
1500,20,0,0,0,0,70
1520,53,0,0,0,0,44
1540,65,0,0,0,0,28
1560,77,0,0,0,0,12
1580,69,0,0,0,0,18
1600,78,0,0,0,0,13
1620,80,0,0,0,0,8
1640,82,0,0,0,0,1
1660,82,0,0,0,0,1
1680,72,0,0,0,0,2
1700,80,0,0,0,0,2
1720,61,0,0,0,0,7
1740,48,0,0,0,0,4
1760,42,0,0,0,0,23
1780,60,0,0,0,0,24
1800,33,0,0,0,0,48
1820,13,0,0,0,0,29
1840,6,0,0,0,0,21
1860,2,0,0,0,0,10
1880,12,0,0,0,0,10
1900,12,0,0,0,0,1
1920,12,0,0,0,0,3
1940,20,0,0,0,0,16
1960,27,0,0,0,0,6
1980,18,0,0,0,0,5
2000,15,0,0,0,0,0
2020,19,0,0,0,0,5
2040,4,0,0,0,0,3
2060,12,0,0,0,0,7
2080,9,0,0,0,0,10
2100,5,0,0,0,0,25
2120,12,0,0,0,0,21
2140,11,0,0,0,0,9
2160,2,0,0,0,0,20
2180,1,0,0,0,0,48
2200,1,0,0,0,0,60
2220,1,0,0,0,0,74
2240,2,0,0,0,0,75
2260,3,0,0,0,0,73
2280,1,0,0,0,0,96
2300,1,0,0,0,0,96
2320,0,0,0,0,0,95
2340,1,0,0,0,0,95
2360,9,0,0,0,0,91
2380,21,0,0,0,0,74
2400,44,0,0,0,0,53
2420,43,0,0,0,0,44
2440,40,0,0,0,0,41
2460,31,0,0,0,0,58
2480,56,0,0,0,0,31
2500,46,0,0,0,0,35
2520,43,0,0,0,0,41
2540,25,0,0,0,0,63
2560,8,0,0,0,0,77
2580,8,0,0,0,0,79
2600,11,0,0,0,0,86
2620,3,0,0,0,0,95
2640,5,0,0,0,0,94
2660,40,0,0,0,0,59
2680,64,0,0,0,0,36
2700,42,0,0,0,0,58
2720,31,0,0,0,0,68
2740,76,0,0,0,0,24
2760,68,0,0,0,0,32
2780,69,0,0,0,0,29
2800,46,0,0,0,0,54
2820,47,0,0,0,0,46
2840,24,0,0,0,0,66
2860,12,0,0,0,0,57
2880,9,0,0,0,0,78
2900,9,0,0,0,0,55
2920,20,0,0,0,0,61
2940,15,0,0,0,0,64
2960,9,0,0,0,0,77
2980,6,0,0,0,0,91
3000,11,0,0,0,0,78
3020,3,0,0,0,0,95
3040,11,0,0,0,0,88
3060,0,0,0,0,0,97
3080,4,0,0,0,0,87
3100,2,0,0,0,0,98
3120,2,0,0,0,0,92
3140,1,0,0,0,0,90
3160,5,0,0,0,0,76
3180,17,0,0,0,0,61
3200,57,0,0,0,0,20
3220,44,0,0,0,0,22
3240,28,0,0,0,0,23
3260,31,0,0,0,0,26
3280,43,0,0,0,0,27
3300,59,0,0,0,0,9
3320,59,0,0,0,0,16
3340,58,0,0,0,0,19
3360,67,0,0,0,0,14
3380,82,0,0,0,0,4
3400,83,0,0,0,0,9
3420,87,0,0,0,0,10
3440,82,0,0,0,0,15
3460,84,0,0,0,0,15
3480,64,0,0,0,0,32
3500,69,0,0,0,0,29
3520,58,0,0,0,0,36
3540,72,0,0,0,0,24
3560,75,0,0,0,0,24
3580,26,0,0,0,0,65
3600,55,0,0,0,0,30
3620,25,0,0,0,0,62
3640,35,0,0,0,0,56
3660,35,0,0,0,0,58
3680,58,0,0,0,0,37
3700,38,0,0,0,0,51
3720,38,0,0,0,0,54
3740,45,0,0,0,0,50
3760,33,0,0,0,0,56
3780,50,0,0,0,0,30
3800,39,0,0,0,0,26
3820,32,0,0,0,0,18
3840,58,0,0,0,0,15
3860,42,0,0,0,0,28
3880,35,0,0,0,0,27
3900,38,0,0,0,0,6
3920,51,0,0,0,0,3
3940,36,0,0,0,0,16
3960,52,0,0,0,0,8
3980,24,0,0,0,0,24
4000,45,0,0,0,0,9
4020,63,0,0,0,0,15
4040,55,0,0,0,0,35
4060,71,0,0,0,0,28
4080,62,0,0,0,0,21
4100,62,0,0,0,0,11
4120,77,0,0,0,0,12
4140,73,0,0,0,0,26
4160,83,0,0,0,0,17
4180,86,0,0,0,0,12
4200,80,0,0,0,0,13
4220,52,0,0,0,0,30
4240,56,0,0,0,0,10
4260,44,0,0,0,0,19
4280,44,0,0,0,0,21
4300,33,0,0,0,0,14
4320,7,0,0,0,0,9
4340,1,0,0,0,0,11
4360,0,0,0,0,0,3
4380,0,0,0,0,0,2
4400,0,0,0,0,0,7
4420,0,0,0,0,0,2
4440,0,0,0,0,0,24
4460,2,0,0,0,0,7
4480,6,0,0,0,0,11
4500,14,0,0,0,0,20
4520,19,0,0,0,0,62
4540,23,0,0,0,0,55
4560,29,0,0,0,0,62
4580,37,0,0,0,0,60
4600,49,0,0,0,0,49
4620,48,0,0,0,0,44
4640,49,0,0,0,0,38
4660,11,0,0,0,0,70
4680,15,0,0,0,0,73
4700,29,0,0,0,0,51
4720,19,0,0,0,0,21
4740,40,0,0,0,0,20
4760,40,0,0,0,0,6
4780,34,0,0,0,0,7
4800,10,0,0,0,0,0
4820,3,0,0,0,0,5
4840,12,0,0,0,0,15
4860,27,0,0,0,0,8
4880,33,0,0,0,0,4
4900,26,0,0,0,0,2
4920,16,0,0,0,0,18
4940,14,0,0,0,0,20
4960,12,0,0,0,0,48
4980,8,0,0,0,0,37
5000,19,0,0,0,0,43
5020,52,0,0,0,0,26
5040,18,0,0,0,0,8
5060,6,0,0,0,0,34
5080,16,0,0,0,0,35
5100,10,0,0,0,0,50
5120,3,0,0,0,0,64
5140,11,0,0,0,0,52
5160,7,0,0,0,0,18
5180,4,0,0,0,0,24
5200,1,0,0,0,0,42
5220,0,0,0,0,0,55
5240,0,0,0,0,0,69
5260,0,0,0,0,0,50
5280,0,0,0,0,0,62
5300,1,0,0,1,0,65
5320,0,0,0,0,0,55
5340,0,0,0,0,0,77
5360,0,0,0,0,0,93
5380,0,0,0,0,0,94
5400,0,0,0,0,0,88
5420,0,0,0,0,0,85
5440,0,0,0,0,0,73
5460,0,0,0,0,0,76
5480,2,0,0,0,0,55
5500,3,0,0,0,0,44
5520,12,0,0,0,0,33
5540,10,0,0,0,0,13
5560,2,0,0,0,0,1
5580,14,0,0,0,0,2
5600,34,0,0,0,0,0
5620,34,0,0,0,0,3
5640,58,0,0,0,0,3
5660,80,0,0,0,0,4
5680,63,0,0,0,0,29
5700,76,0,0,0,0,22
5720,25,0,0,0,0,71
5740,35,0,0,0,0,61
5760,12,0,0,0,0,85
5780,0,0,0,0,0,100
5800,0,0,0,0,0,94
5820,0,0,0,0,0,96
5840,0,0,0,0,0,100
5860,2,0,0,0,0,96
5880,1,0,0,0,0,90
5900,1,0,0,0,0,81
5920,0,0,0,0,0,90
5940,1,0,0,0,0,88
5960,4,0,0,0,0,86
5980,2,0,0,0,0,96
6000,0,0,0,0,0,99
6020,1,0,0,0,0,99
6040,3,0,0,0,0,96
6060,6,0,0,0,0,83
6080,7,0,0,0,0,81
6100,4,0,0,0,0,78
6120,6,0,0,0,0,67
6140,3,0,0,0,0,86
6160,5,0,0,0,0,76
6180,18,0,0,0,0,33
6200,27,0,0,0,0,25
6220,21,0,0,0,0,46
6240,12,0,0,0,0,61
6260,13,0,0,0,0,76
6280,1,0,0,0,0,89
6300,3,0,0,0,0,94
6320,1,0,0,0,0,96
6340,0,0,0,0,0,82
6360,0,0,0,0,0,99
6380,0,0,0,0,0,97
6400,0,0,0,0,0,92
6420,0,0,0,0,0,95
6440,0,0,0,0,0,98
6460,0,0,0,0,0,94
6480,0,0,0,0,0,94
6500,0,0,0,0,0,87
6520,0,0,0,0,0,93
6540,0,0,0,0,0,100
6560,0,0,0,0,0,100
6580,0,0,0,0,0,100
6600,0,0,0,0,0,98
6620,0,0,0,0,0,99
6640,0,0,0,0,0,100
6660,0,0,0,0,0,100
6680,0,0,0,0,0,100
6700,2,0,0,0,0,97
6720,1,0,0,0,0,97
6740,5,0,0,0,0,79
6760,4,0,0,0,0,52
6780,2,0,0,0,0,74
6800,4,0,0,0,0,77
6820,8,0,0,0,0,61
6840,9,0,0,0,0,50
6860,29,0,0,0,0,40
6880,11,0,0,0,0,67
6900,11,0,0,0,1,45
6920,29,0,0,0,0,48
6940,38,0,0,0,0,52
6960,35,0,0,0,0,57
6980,67,0,0,0,0,19
7000,65,0,0,0,0,22
7020,67,0,0,0,0,24
7040,71,0,0,0,0,19
7060,44,0,0,0,0,24
7080,42,0,0,0,0,12
7100,23,0,0,0,0,55
7120,25,0,0,0,0,20
7140,54,0,0,0,0,14
7160,53,0,0,0,0,22
7180,42,0,0,0,0,39
7200,13,0,0,0,0,77
7220,34,0,0,0,0,62
7240,38,0,0,0,0,37
7260,17,0,0,0,0,63
7280,15,0,0,0,0,74
7300,22,0,0,0,0,56
7320,29,0,0,0,0,68
7340,12,0,0,0,0,85
7360,14,0,0,0,0,81
7380,34,0,0,0,0,59
7400,47,0,0,0,0,30
7420,12,0,0,0,0,30
7440,18,0,0,0,0,42
7460,15,0,0,0,0,36
7480,16,0,0,0,0,55
7500,16,0,0,0,0,63
7520,7,0,0,0,0,36
7540,7,0,0,0,0,61
7560,11,0,0,0,0,56
7580,1,0,0,0,0,60
7600,3,0,0,0,0,64
7620,0,0,0,0,0,88
7640,0,0,0,0,0,85
7660,0,0,0,0,0,91
7680,0,0,0,0,0,85
7700,0,0,0,0,0,96
7720,0,0,0,0,0,100
7740,0,0,0,0,0,99
7760,0,0,0,0,0,100
7780,0,0,0,0,0,100
7800,0,0,0,0,0,100
7820,0,0,0,0,0,99
