pointer,JQ814851,KP054273,KP100644,KY512802,MF352410
100,-1,-1,-1,-1,-1
120,-1,-1,-1,-1,-1
140,-1,-1,-1,-1,-1
160,-1,-1,-1,-1,-1
180,-1,-1,-1,-1,-1
200,-1,-1,-1,-1,-1
220,-1,-1,-1,-1,-1
240,-1,-1,-1,-1,-1
260,-1,-1,-1,-1,-1
280,-1,-1,-1,-1,-1
300,-1,-1,-1,-1,-1
320,-1,-1,-1,-1,-1
340,-1,-1,-1,-1,-1
360,-1,-1,-1,-1,-1
380,-1,-1,-1,-1,-1
400,-1,-1,-1,-1,-1
420,0,1,42,23,17
440,0,2,36,21,19
460,0,0,33,18,24
480,0,1,23,20,26
500,1,1,23,8,35
520,2,0,30,14,31
540,3,0,44,14,23
560,8,0,27,26,22
580,1,2,9,14,57
600,0,0,21,13,45
620,0,1,16,2,41
640,2,0,21,5,39
660,2,1,22,3,32
680,1,0,16,2,50
700,-1,-1,-1,-1,-1
720,-1,-1,-1,-1,-1
740,-1,-1,-1,-1,-1
760,-1,-1,-1,-1,-1
780,-1,-1,-1,-1,-1
800,-1,-1,-1,-1,-1
820,-1,-1,-1,-1,-1
840,-1,-1,-1,-1,-1
860,-1,-1,-1,-1,-1
880,-1,-1,-1,-1,-1
900,-1,-1,-1,-1,-1
920,-1,-1,-1,-1,-1
940,-1,-1,-1,-1,-1
960,-1,-1,-1,-1,-1
980,-1,-1,-1,-1,-1
1000,1,5,0,0,6
1020,2,2,0,0,9
1040,0,3,0,0,4
1060,3,9,0,4,17
1080,7,14,0,1,17
1100,5,15,2,3,14
1120,4,11,1,2,9
1140,3,4,5,1,7
1160,3,4,10,1,9
1180,3,4,4,0,8
1200,15,5,9,0,3
1220,-1,-1,-1,-1,-1
1240,-1,-1,-1,-1,-1
1260,-1,-1,-1,-1,-1
1280,-1,-1,-1,-1,-1
1300,-1,-1,-1,-1,-1
1320,-1,-1,-1,-1,-1
1340,-1,-1,-1,-1,-1
1360,-1,-1,-1,-1,-1
1380,-1,-1,-1,-1,-1
1400,-1,-1,-1,-1,-1
1420,-1,-1,-1,-1,-1
1440,-1,-1,-1,-1,-1
1460,-1,-1,-1,-1,-1
1480,-1,-1,-1,-1,-1
1500,2,6,10,0,48
1520,1,9,9,0,57
1540,0,7,0,0,64
1560,0,12,1,1,56
1580,1,11,0,0,59
1600,0,4,1,0,60
1620,0,9,0,0,61
1640,2,7,0,0,66
1660,4,14,0,0,45
1680,12,12,0,0,42
1700,24,23,0,0,16
1720,31,28,0,0,18
1740,27,7,1,0,3
1760,32,3,0,0,3
1780,17,1,0,0,7
1800,18,2,0,2,4
1820,22,4,0,4,1
1840,18,0,2,6,1
1860,12,0,1,8,1
1880,3,0,6,23,6
1900,0,0,11,11,9
1920,0,0,15,26,4
1940,0,0,25,6,43
1960,0,0,56,12,8
1980,0,0,58,19,1
2000,0,0,55,9,8
2020,0,0,69,7,5
2040,0,0,83,5,0
2060,0,0,96,2,0
2080,0,0,90,4,0
2100,0,0,57,29,0
2120,0,0,30,64,0
2140,6,0,10,64,1
2160,17,0,5,32,4
2180,8,0,3,30,14
2200,13,0,4,11,24
2220,3,1,4,40,17
2240,8,0,19,32,21
2260,4,0,50,20,11
2280,3,0,38,24,18
2300,5,0,32,9,34
2320,14,0,40,7,11
2340,4,0,44,13,20
2360,2,0,39,15,23
2380,2,0,45,41,4
2400,0,0,30,56,7
2420,1,0,39,26,9
2440,0,0,15,23,52
2460,1,0,0,17,73
2480,0,2,0,17,69
2500,0,6,0,28,50
2520,3,4,4,0,54
2540,6,15,9,2,49
2560,23,28,5,4,22
2580,25,18,11,1,34
2600,69,9,6,1,8
2620,31,6,3,2,22
2640,41,9,5,2,9
2660,24,7,20,6,5
2680,2,2,23,23,5
2700,6,2,26,33,1
2720,3,1,43,34,1
2740,0,0,66,15,0
2760,0,0,41,16,2
2780,0,0,35,21,1
2800,0,0,30,24,2
2820,0,0,42,12,0
2840,0,0,19,6,0
2860,0,0,25,9,0
2880,0,0,8,0,0
2900,0,0,8,6,0
2920,0,0,7,9,2
2940,2,0,19,9,9
2960,4,2,10,2,16
2980,3,12,2,1,7
3000,9,1,1,1,10
3020,7,2,4,0,30
3040,14,2,10,1,46
3060,34,0,2,0,52
3080,30,0,6,4,47
3100,44,0,1,1,50
3120,37,1,1,0,54
3140,9,2,0,1,80
3160,7,0,0,12,70
3180,4,0,2,18,63
3200,8,1,1,14,58
3220,5,8,5,17,18
3240,13,5,3,32,14
3260,2,11,15,31,1
3280,0,3,14,49,3
3300,0,1,22,45,4
3320,0,1,28,48,6
3340,0,0,36,21,6
3360,0,0,44,13,5
3380,0,0,51,4,14
3400,0,0,37,10,17
3420,0,0,13,8,50
3440,0,0,16,4,45
3460,0,0,6,21,39
3480,1,0,8,34,23
3500,4,0,0,42,26
3520,10,1,2,50,7
3540,6,1,4,73,1
3560,5,0,1,60,4
3580,0,0,1,73,3
3600,0,2,37,37,6
3620,0,0,64,33,2
3640,0,0,54,25,21
3660,0,0,34,28,31
3680,0,0,53,5,24
3700,0,0,65,6,17
3720,0,0,68,4,16
3740,0,0,74,2,14
3760,0,0,88,1,9
3780,0,2,73,0,16
3800,0,1,33,1,18
3820,1,2,20,0,38
3840,2,5,37,0,8
3860,2,7,46,1,7
3880,0,4,53,0,12
3900,0,0,64,0,13
3920,0,1,39,1,42
3940,4,0,14,1,64
3960,0,0,7,23,65
3980,1,0,3,28,62
4000,0,0,7,34,47
4020,0,1,3,31,56
4040,0,3,1,49,33
4060,2,6,3,39,28
4080,1,3,0,46,29
4100,0,2,0,58,27
4120,12,11,0,50,3
4140,2,40,0,28,9
4160,15,55,2,5,1
4180,38,35,1,3,1
4200,18,6,1,13,1
4220,27,10,1,3,2
4240,12,25,1,14,2
4260,0,8,35,19,7
4280,0,2,32,43,1
4300,0,1,34,33,1
4320,0,1,35,27,3
4340,0,1,61,18,2
4360,0,0,65,19,0
4380,0,0,60,30,0
4400,0,0,69,17,2
4420,0,0,56,27,2
4440,0,0,67,23,3
4460,3,0,58,28,1
4480,1,0,77,9,3
4500,3,0,71,12,0
4520,0,0,85,6,3
4540,0,0,66,10,15
4560,0,0,55,25,14
