pointer,AB030941,AJ621358,KT692953,DQ143875,MK153132,MW582786
100,0,1,2,1,2,5
120,0,1,0,1,1,2
140,0,1,0,0,1,1
160,0,0,0,0,2,0
180,1,3,1,1,0,1
200,0,2,1,1,0,0
220,0,2,1,0,0,0
240,-1,-1,-1,-1,-1,-1
260,-1,-1,-1,-1,-1,-1
280,-1,-1,-1,-1,-1,-1
300,-1,-1,-1,-1,-1,-1
320,1,2,0,0,12,13
340,0,4,0,1,8,5
360,0,0,0,4,4,7
380,0,0,0,1,6,7
400,0,1,0,7,5,3
420,0,0,0,0,6,4
440,0,0,0,0,1,1
460,0,0,0,0,0,4
480,0,0,0,0,2,1
500,0,0,0,0,2,0
520,0,0,0,0,2,0
540,0,0,0,0,2,0
560,0,0,0,0,2,0
580,0,0,0,0,3,1
600,0,0,0,0,1,0
620,0,0,0,0,1,0
640,0,0,0,0,4,0
660,0,0,0,0,6,0
680,0,0,0,0,2,4
700,0,0,0,2,4,1
720,0,0,0,0,3,2
740,0,0,0,1,2,3
760,0,0,0,1,3,4
780,0,0,0,0,1,0
800,0,0,0,0,3,2
820,0,0,0,0,14,4
840,0,0,0,0,9,10
860,0,0,0,0,10,3
880,0,0,0,0,11,7
900,0,0,0,0,7,12
920,0,0,0,0,15,14
940,0,0,0,0,17,11
960,0,0,0,0,20,16
980,0,0,0,0,15,9
1000,0,0,0,0,8,11
1020,0,0,0,0,4,3
1040,0,0,0,0,0,1
1060,0,0,0,0,1,0
1080,0,0,0,0,1,1
1100,0,0,0,0,1,1
1120,0,0,0,0,1,0
1140,0,0,0,0,1,0
1160,0,0,0,0,0,1
1180,0,0,0,0,1,5
1200,0,0,0,0,3,2
1220,0,0,0,0,2,2
1240,0,0,0,0,3,3
1260,0,0,0,0,6,2
1280,0,0,0,0,7,4
1300,0,0,0,0,1,4
1320,0,0,0,0,3,5
1340,0,0,0,0,3,3
1360,0,0,0,0,1,2
1380,0,0,0,0,8,5
1400,0,0,0,0,4,5
1420,0,0,0,0,3,2
1440,0,0,0,0,3,2
1460,0,0,0,0,2,0
1480,0,0,0,0,2,0
1500,0,0,0,0,0,0
1520,0,0,0,0,1,1
1540,0,0,1,0,4,3
1560,0,0,0,0,0,2
1580,0,0,0,2,0,0
1600,1,0,0,0,1,0
1620,0,0,1,1,0,2
1640,0,0,1,0,0,0
1660,0,0,0,0,1,1
1680,0,0,1,0,0,2
1700,0,0,0,0,0,1
1720,0,0,0,0,1,0
1740,0,0,1,0,0,0
1760,0,0,0,0,1,0
1780,0,0,0,0,0,0
1800,0,0,0,0,0,0
1820,0,0,0,0,0,0
1840,0,0,0,0,0,0
1860,0,0,0,0,0,0
1880,0,0,0,0,0,0
1900,0,0,0,0,0,0
1920,0,0,0,2,0,0
1940,0,0,0,1,0,0
1960,0,0,0,0,0,0
1980,0,0,0,0,0,0
2000,0,0,0,0,3,1
2020,0,0,0,0,2,1
2040,0,0,0,0,1,5
2060,1,0,0,0,3,2
2080,0,0,0,0,4,1
2100,0,0,0,0,5,6
2120,0,0,0,0,5,7
2140,0,0,0,0,20,12
2160,0,0,0,0,4,2
2180,0,0,0,0,1,5
2200,0,0,0,5,0,1
2220,0,0,0,4,1,1
2240,0,0,0,8,4,4
2260,0,0,0,9,8,7
2280,0,0,0,6,5,5
2300,0,0,0,8,0,0
2320,0,0,0,15,0,0
2340,0,0,0,33,0,0
2360,0,0,0,52,0,0
2380,0,0,0,19,0,0
2400,0,0,0,40,0,0
2420,0,0,0,39,0,0
2440,0,0,0,34,0,0
2460,0,0,0,48,0,0
2480,0,0,0,20,0,0
2500,0,0,0,20,0,0
2520,0,0,0,18,0,0
2540,0,0,0,7,0,0
2560,0,0,0,1,0,0
2580,0,0,0,4,0,0
2600,0,0,0,0,0,0
2620,0,0,0,0,0,0
2640,0,0,0,6,0,0
2660,0,0,0,9,0,0
2680,0,0,0,14,0,0
2700,0,0,0,8,0,0
2720,0,0,0,2,0,0
2740,0,0,0,19,0,0
2760,0,0,0,19,0,0
2780,0,0,0,15,0,0
2800,0,0,0,18,0,0
2820,0,0,0,24,0,0
2840,0,0,0,4,0,0
2860,0,0,0,7,0,0
2880,0,0,0,13,0,0
2900,0,0,0,15,0,0
2920,4,0,3,11,0,0
2940,0,0,1,0,0,0
2960,0,0,0,0,0,0
2980,0,0,2,2,0,0
3000,0,0,0,1,0,0
3020,0,0,0,0,0,0
3040,0,0,0,0,0,0
3060,0,0,0,1,0,0
3080,0,0,0,0,0,0
3100,0,0,0,0,0,0
3120,0,0,0,0,0,0
3140,0,0,0,7,0,0
3160,0,0,0,11,0,0
3180,0,0,0,1,0,0
3200,0,0,0,4,0,0
3220,0,0,0,3,0,0
3240,0,0,0,2,0,0
3260,0,0,0,1,0,0
3280,0,0,0,0,0,0
3300,0,0,0,0,0,0
3320,0,0,0,0,0,0
3340,0,0,0,0,0,0
3360,0,0,0,0,0,0
3380,0,0,0,0,0,0
3400,0,0,0,0,0,0
3420,0,0,0,0,0,0
3440,0,0,0,0,0,0
3460,0,0,0,0,0,0
3480,0,0,0,0,0,0
3500,0,0,0,1,1,0
3520,0,0,0,1,0,0
3540,0,0,0,1,0,0
3560,1,0,0,12,0,0
3580,0,0,1,12,0,0
3600,0,0,4,14,0,0
3620,1,0,7,21,0,0
3640,5,0,7,10,0,0
3660,0,0,19,29,0,0
3680,2,0,20,9,0,1
3700,-1,-1,-1,-1,-1,-1
3720,-1,-1,-1,-1,-1,-1
3740,-1,-1,-1,-1,-1,-1
