#Skyline assuming 50.0 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
1368.214	5.017e+03	1.958e+03	1.286e+04
1402.450	7.619e+03	3.978e+03	1.459e+04
1436.686	1.271e+04	6.705e+03	2.411e+04
1470.922	1.973e+04	1.058e+04	3.678e+04
1505.157	3.038e+04	2.503e+04	3.688e+04
1539.393	3.056e+04	2.526e+04	3.698e+04
1573.629	3.061e+04	2.531e+04	3.702e+04
1607.865	3.167e+04	2.531e+04	3.962e+04
1642.101	4.547e+04	2.766e+04	7.476e+04
1676.336	6.526e+04	3.884e+04	1.096e+05
1710.572	7.741e+04	4.185e+04	1.432e+05
1744.808	9.591e+04	5.705e+04	1.613e+05
1779.044	1.212e+05	7.360e+04	1.997e+05
1813.280	1.550e+05	9.535e+04	2.521e+05
1847.516	1.976e+05	1.201e+05	3.251e+05
1881.751	2.443e+05	1.481e+05	4.029e+05
1915.987	3.220e+05	1.932e+05	5.366e+05
1950.223	4.402e+05	2.661e+05	7.283e+05
1984.459	3.107e+05	2.015e+05	4.788e+05
2018.695	3.227e+04	2.426e+04	4.293e+04
