pointer,AB030941,AJ621358,DQ143875,KT692953,MK153132,MW582786
49,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,1.3157894736842104,1.098901098901099,1.098901098901099
69,0.0,0.0,0.0,1.2987012987012987,1.098901098901099,1.098901098901099
70,0.0,0.0,0.0,1.282051282051282,1.098901098901099,1.098901098901099
71,0.0,0.0,0.0,1.2658227848101267,1.098901098901099,1.098901098901099
72,0.0,0.0,0.0,1.25,1.098901098901099,1.098901098901099
73,1.1235955056179776,1.1764705882352942,0.0,1.2345679012345678,2.197802197802198,2.197802197802198
74,1.1235955056179776,1.1764705882352942,0.0,1.2195121951219512,2.197802197802198,2.197802197802198
75,1.1235955056179776,1.1764705882352942,0.0,1.2048192771084338,2.197802197802198,2.197802197802198
76,1.1235955056179776,1.1764705882352942,0.0,1.1904761904761905,2.197802197802198,2.197802197802198
77,1.1235955056179776,1.1764705882352942,0.0,1.1904761904761905,3.296703296703297,3.296703296703297
78,2.247191011235955,2.3529411764705883,0.0,1.1904761904761905,4.395604395604396,4.395604395604396
79,2.247191011235955,2.3529411764705883,0.0,1.1904761904761905,4.395604395604396,4.395604395604396
80,2.247191011235955,2.3255813953488373,0.0,1.1764705882352942,4.395604395604396,4.395604395604396
81,2.272727272727273,2.3255813953488373,0.0,1.1627906976744187,4.444444444444445,4.444444444444445
82,2.272727272727273,2.2988505747126435,0.0,1.1494252873563218,4.444444444444445,4.444444444444445
83,3.4090909090909087,3.4482758620689653,0.0,1.1494252873563218,5.555555555555555,5.555555555555555
84,3.4090909090909087,3.4482758620689653,0.0,1.1494252873563218,5.555555555555555,5.555555555555555
85,3.4090909090909087,3.488372093023256,0.0,1.1494252873563218,5.617977528089887,5.617977528089887
