pointer,OQ818340,OQ818347,OQ818348,HM002617,KX759623,OP963671
1171,87.62886598,57.73195876,44.44444444,40.4040404,64.94845361,43.43434343
1172,87.62886598,57.73195876,44.44444444,40.4040404,63.91752577,43.43434343
1173,87.62886598,58.7628866,45.45454545,41.41414141,64.94845361,44.44444444
1174,87.62886598,59.79381443,46.46464646,41.41414141,64.94845361,45.45454545
1175,87.62886598,60.82474227,45.45454545,41.41414141,64.94845361,44.44444444
1176,87.62886598,61.8556701,46.46464646,42.42424242,64.94845361,45.45454545
1177,87.62886598,61.8556701,45.45454545,43.43434343,64.94845361,44.44444444
1178,87.62886598,62.88659794,46.46464646,44.44444444,64.94845361,45.45454545
1179,87.62886598,63.91752577,47.47474747,44.44444444,65.97938144,46.46464646
1180,87.62886598,64.94845361,48.48484848,45.45454545,67.01030928,47.47474747
1181,87.62886598,64.94845361,48.48484848,45.45454545,68.04123711,47.47474747
1182,88.65979381,64.94845361,49.49494949,45.45454545,69.07216495,47.47474747
1183,88.65979381,64.94845361,49.49494949,46.46464646,69.07216495,47.47474747
1184,89.69072165,65.97938144,50.50505051,47.47474747,70.10309278,48.48484848
1185,89.69072165,65.97938144,50.50505051,48.48484848,70.10309278,47.47474747
1186,89.69072165,65.97938144,51.51515152,49.49494949,70.10309278,48.48484848
1187,89.69072165,67.01030928,51.51515152,49.49494949,71.13402062,48.48484848
1188,89.69072165,67.01030928,50.50505051,49.49494949,71.13402062,47.47474747
1189,88.65979381,67.01030928,50.50505051,49.49494949,71.13402062,47.47474747
1190,87.62886598,67.01030928,50.50505051,48.48484848,70.10309278,47.47474747
1191,86.59793814,68.04123711,50.50505051,48.48484848,69.07216495,47.47474747
1192,86.59793814,68.04123711,49.49494949,48.48484848,68.04123711,46.46464646
1193,86.59793814,68.04123711,49.49494949,47.47474747,68.04123711,46.46464646
1194,86.59793814,69.07216495,50.50505051,48.48484848,69.07216495,47.47474747
1195,86.59793814,69.07216495,50.50505051,49.49494949,69.07216495,47.47474747
1196,86.59793814,69.07216495,49.49494949,49.49494949,69.07216495,46.46464646
1197,86.59793814,70.10309278,49.49494949,49.49494949,69.07216495,47.47474747
1198,86.59793814,71.13402062,50.50505051,50.50505051,70.10309278,48.48484848
1199,86.59793814,71.13402062,50.50505051,50.50505051,70.10309278,48.48484848
1200,86.59793814,71.13402062,50.50505051,51.51515152,70.10309278,48.48484848
1201,86.59793814,70.10309278,50.50505051,52.52525253,70.10309278,48.48484848
1202,87.62886598,70.10309278,51.51515152,52.52525253,71.13402062,49.49494949
1203,86.59793814,69.07216495,50.50505051,52.52525253,71.13402062,48.48484848
1204,86.59793814,69.07216495,50.50505051,52.52525253,71.13402062,48.48484848
1205,86.59793814,70.10309278,51.51515152,53.53535354,72.16494845,49.49494949
1206,85.56701031,70.10309278,50.50505051,53.53535354,72.16494845,48.48484848
1207,85.56701031,71.13402062,51.51515152,54.54545455,72.16494845,49.49494949
1208,85.56701031,72.16494845,52.52525253,55.55555556,73.19587629,50.50505051
1209,85.56701031,71.13402062,53.53535354,55.55555556,73.19587629,51.51515152
1210,85.56701031,71.13402062,53.53535354,55.55555556,72.16494845,51.51515152
1211,85.56701031,71.13402062,54.54545455,55.55555556,72.16494845,52.52525253
1212,85.56701031,71.13402062,53.53535354,55.55555556,72.16494845,51.51515152
1213,85.56701031,71.13402062,53.53535354,54.54545455,72.16494845,51.51515152
1214,85.56701031,70.10309278,53.53535354,54.54545455,72.16494845,51.51515152
1215,85.56701031,70.10309278,53.53535354,54.54545455,72.16494845,51.51515152
1216,85.56701031,69.07216495,52.52525253,54.54545455,72.16494845,50.50505051
1217,85.56701031,69.07216495,52.52525253,54.54545455,72.16494845,50.50505051
1218,85.56701031,68.04123711,52.52525253,54.54545455,72.16494845,50.50505051
1219,85.56701031,67.01030928,52.52525253,54.54545455,72.16494845,50.50505051
1220,85.56701031,67.01030928,52.52525253,55.55555556,72.16494845,50.50505051
1221,85.56701031,68.04123711,52.52525253,56.56565657,72.16494845,50.50505051
1222,85.56701031,69.07216495,53.53535354,57.57575758,73.19587629,51.51515152
1223,86.59793814,70.10309278,53.53535354,58.58585859,74.22680412,51.51515152
1224,86.59793814,70.10309278,54.54545455,58.58585859,75.25773196,52.52525253
