tree_name,full_name
1,NC_033820.1_Bat sapelovirus_Cameroon_Eidolon_helvum
2,OR951325.1_Pteropodidae_bat_sapelovirus_China_Eonycteris_spelaea
3,OR951332.1_Pteropodidae_bat_sapelovirus_China_Rousettus_leschenaultii
4,PP711911.1_Rousettus_bat_sapelovirus_Kenya_Rousettus aegypticus
5,PP711921.1_Eidolon_bat_sapelovirus_Kenya_Eidolon_helvum
6,PP711943.1_Eidolon_bat_sapelovirus_Kenya_Eidolon_helvum
7,OR951326.1_Pteropodidae_bat_sapelovirus_China_Eonycteris_spelaea
8,OR951327.1_Pteropodidae_bat_sapelovirus_China_Eonycteris_spelaea
9,OQ818320_E_dupreanum_sapelovirus_1_Madagascar_Eidolon_dupreanum
10,OQ818321_E_dupreanum_sapelovirus_2_Madagascar_Eidolon_dupreanum
11,OQ818329_R_madagascariensis_sapelovirus_1_Madagascar_Rousettus_madagascariensis
