pointer,OQ818317,OQ818318,OQ818321,OQ818337,OQ818319,OQ818322
100,1,15,23,11,0,0
120,0,12,20,15,2,1
140,4,16,19,17,4,0
160,2,8,13,29,4,0
180,4,7,51,24,1,0
200,0,0,72,19,2,0
220,2,5,72,12,2,0
240,0,0,94,4,0,0
260,0,0,100,0,0,0
280,0,0,99,0,0,0
300,0,0,98,1,1,0
320,0,0,99,0,0,0
340,0,0,99,0,0,0
360,0,0,94,0,2,1
380,0,0,91,0,2,0
400,0,0,97,0,0,0
420,0,0,97,0,0,0
440,0,3,90,0,1,0
460,0,5,75,0,1,0
480,0,6,63,0,0,0
500,0,1,38,11,0,2
520,1,1,65,2,0,3
540,0,1,46,2,0,3
560,1,7,45,1,0,0
580,0,3,37,13,0,0
600,1,0,36,5,0,1
620,1,0,16,46,0,0
640,0,0,24,64,0,0
660,0,0,25,63,0,0
680,0,0,40,51,0,0
700,0,0,46,49,0,0
720,0,0,32,46,0,0
740,0,0,67,22,1,0
760,0,0,68,22,3,0
780,0,0,91,8,0,0
800,0,0,90,9,0,0
820,0,0,89,11,0,0
840,0,0,96,3,0,0
860,2,0,95,2,0,0
880,0,7,85,1,1,0
900,1,2,89,4,0,0
920,0,3,94,0,0,0
940,2,2,90,0,0,0
960,0,1,96,0,0,0
980,8,1,69,0,0,0
1000,3,2,61,0,0,0
1020,3,1,74,0,0,0
1040,0,0,89,0,0,0
1060,0,0,88,0,0,0
1080,2,0,82,1,1,0
1100,0,0,54,26,0,0
1120,2,1,52,29,0,0
1140,2,3,15,62,0,0
1160,2,1,32,40,3,0
1180,0,2,35,43,0,0
1200,0,5,35,27,0,0
1220,3,0,37,13,0,0
1240,0,11,13,29,2,0
1260,0,6,15,26,3,0
1280,0,1,42,17,1,0
1300,0,0,49,12,6,0
1320,0,0,62,4,9,0
1340,0,0,76,0,15,0
1360,1,0,83,0,5,0
1380,0,0,81,1,5,0
1400,2,0,84,0,1,0
1420,0,0,85,3,0,0
1440,0,0,86,0,1,0
1460,1,0,85,0,1,0
1480,2,0,76,0,1,0
1500,0,0,69,0,1,0
1520,2,0,85,0,0,0
1540,1,3,81,0,0,0
1560,1,2,56,12,0,0
1580,4,1,54,11,0,0
1600,0,0,58,14,2,0
1620,0,0,93,1,0,1
1640,0,1,47,42,2,1
1660,0,0,27,63,0,0
1680,0,0,31,62,0,0
1700,0,0,43,55,0,0
1720,0,0,21,67,1,0
1740,0,0,28,48,4,2
1760,0,0,35,28,4,2
1780,0,0,31,37,2,1
1800,3,0,27,30,1,0
1820,0,0,10,43,1,0
1840,2,0,16,13,0,0
1860,1,1,22,13,0,0
1880,3,6,10,10,0,0
1900,0,56,20,3,0,0
1920,0,67,21,2,0,0
1940,2,67,20,2,0,0
1960,3,23,29,18,0,0
1980,1,13,56,6,0,0
2000,0,8,69,7,0,0
2020,0,15,64,5,0,0
2040,0,30,58,2,1,0
2060,0,24,56,2,1,0
2080,0,8,54,1,2,0
2100,0,1,61,3,2,0
2120,0,2,59,4,7,0
2140,0,0,93,0,0,0
2160,0,0,73,1,0,0
2180,0,0,93,0,0,0
2200,0,0,81,4,0,0
2220,0,0,80,4,0,0
2240,2,0,78,10,0,0
2260,2,0,72,16,0,0
2280,0,0,57,32,0,0
2300,5,0,28,26,0,0
2320,2,0,28,43,0,0
2340,2,0,3,73,1,0
2360,5,0,7,56,0,0
2380,9,0,0,42,2,0
2400,0,3,14,6,11,0
2420,0,5,8,28,7,0
2440,0,0,14,4,19,2
2460,0,0,28,1,6,4
2480,0,3,38,2,3,1
2500,0,5,45,1,1,0
2520,1,11,33,9,0,4
2540,0,8,34,6,2,2
2560,0,20,30,9,1,0
2580,0,10,14,25,0,0
2600,0,5,13,47,0,0
2620,0,2,51,15,0,0
2640,0,5,12,45,0,0
2660,0,6,11,43,0,0
2680,0,4,15,56,0,0
2700,0,1,14,68,0,0
2720,0,4,59,21,0,0
2740,0,4,45,26,0,0
2760,0,0,56,12,1,0
2780,0,1,80,2,2,0
2800,0,3,85,3,2,1
2820,1,0,80,3,0,2
2840,0,0,97,0,0,0
2860,0,0,95,2,0,0
2880,0,0,96,3,0,0
2900,0,0,98,1,0,0
2920,0,0,93,4,0,0
2940,0,0,95,0,0,0
2960,0,0,92,3,0,0
2980,0,0,76,7,0,3
3000,1,0,56,16,0,4
3020,0,0,76,12,0,1
3040,0,0,56,6,0,15
3060,1,0,62,7,0,11
3080,0,1,64,8,0,11
3100,0,0,58,18,0,17
3120,0,0,67,11,0,9
3140,0,0,73,15,0,3
3160,0,0,86,12,0,0
3180,0,0,72,24,0,0
3200,0,0,65,27,0,0
3220,0,0,59,30,0,0
3240,0,0,51,23,5,0
3260,0,0,68,13,0,0
3280,0,1,55,20,0,0
3300,0,0,44,23,3,0
3320,0,1,32,12,1,1
3340,0,1,14,11,6,0
3360,0,0,18,6,5,0
3380,0,5,24,1,6,2
3400,0,4,23,0,2,15
3420,0,5,11,0,3,13
3440,0,10,3,0,2,17
3460,0,5,1,1,0,24
3480,0,8,3,0,0,25
3500,0,3,3,1,1,49
3520,1,6,4,1,0,46
3540,0,2,5,2,0,21
3560,1,3,6,5,1,29
3580,6,23,8,0,0,5
3600,10,18,1,0,0,1
3620,10,30,9,1,1,1
3640,5,31,12,1,0,0
3660,8,13,15,5,4,0
3680,7,9,19,3,5,0
3700,20,3,14,1,1,0
3720,21,8,12,4,2,0
3740,12,11,23,6,0,0
3760,5,8,10,0,0,1
3780,1,2,6,0,2,3
3800,2,3,30,1,0,1
3820,0,0,29,6,2,0
3840,0,0,18,3,1,6
3860,0,2,37,2,5,6
3880,0,1,20,10,6,2
3900,0,0,15,8,8,0
3920,1,1,27,16,5,0
3940,0,3,54,7,7,0
3960,0,2,53,16,9,0
3980,0,0,69,10,1,0
4000,0,1,59,7,4,0
4020,0,0,61,10,2,0
4040,0,3,54,4,7,0
4060,0,11,56,7,1,0
4080,0,7,75,1,1,0
4100,0,2,80,2,0,0
4120,0,7,55,1,1,0
4140,1,4,40,2,1,0
4160,0,1,41,1,1,0
4180,0,4,43,2,1,0
4200,0,0,34,5,0,0
4220,0,0,62,1,5,0
4240,0,0,57,5,16,0
4260,0,0,71,3,3,0
4280,0,1,70,3,11,0
4300,0,0,82,0,5,0
4320,0,0,73,1,10,0
4340,0,1,73,3,1,0
4360,0,0,69,9,7,0
4380,0,1,64,3,10,0
4400,0,1,66,1,12,1
4420,0,0,77,2,0,4
4440,0,0,66,1,0,6
4460,0,1,51,1,0,2
4480,1,0,43,4,0,0
4500,4,0,41,7,0,0
4520,9,0,60,5,0,0
4540,21,0,66,0,0,0
4560,15,0,76,0,0,0
4580,9,0,86,0,0,0
4600,16,0,81,0,0,0
4620,6,0,93,0,0,0
4640,6,0,88,0,3,0
4660,1,0,89,0,4,0
4680,1,3,96,0,0,0
4700,1,1,89,0,0,0
4720,1,10,67,0,1,0
4740,0,11,45,0,0,1
4760,0,10,37,0,0,6
4780,0,18,12,2,1,7
4800,1,20,18,0,0,7
4820,0,3,26,4,0,7
4840,0,13,19,1,0,16
4860,0,10,13,0,0,25
4880,0,46,7,0,0,11
4900,0,43,23,0,0,14
4920,0,26,30,0,0,21
4940,0,24,21,0,0,9
4960,1,9,35,2,0,6
4980,0,1,55,0,0,1
5000,0,1,48,1,0,2
5020,0,0,64,6,0,0
5040,0,2,63,2,0,1
5060,0,0,63,26,0,0
5080,2,0,56,22,0,0
5100,0,0,59,14,0,4
5120,0,0,46,29,0,3
5140,0,0,58,27,0,1
5160,0,0,31,18,1,1
5180,0,3,29,28,0,1
5200,2,0,34,33,0,0
5220,0,0,38,33,0,0
5240,3,0,22,54,2,0
5260,4,0,78,6,0,0
5280,0,0,89,5,0,2
5300,0,0,95,4,0,1
5320,0,0,99,1,0,0
5340,1,0,92,3,0,2
5360,0,0,93,3,0,0
5380,2,0,85,3,0,0
5400,0,0,88,3,0,1
5420,4,0,71,5,0,5
5440,0,0,83,1,0,7
5460,1,0,69,2,0,2
5480,0,0,31,21,2,2
5500,0,0,69,9,3,0
5520,0,0,78,2,3,0
5540,0,0,95,1,0,0
5560,0,0,86,0,0,0
5580,0,0,83,4,0,0
5600,0,0,87,2,1,1
5620,0,0,93,2,0,0
5640,0,0,97,1,0,0
5660,0,0,99,0,0,0
5680,0,0,100,0,0,0
5700,0,0,98,2,0,0
5720,0,0,94,6,0,0
5740,0,0,90,9,0,0
5760,0,0,91,6,0,0
5780,0,0,100,0,0,0
5800,0,0,94,5,0,0
5820,0,0,95,4,0,0
5840,0,0,88,11,0,0
5860,0,1,92,4,1,0
5880,0,1,81,3,0,1
5900,0,0,96,0,0,1
5920,0,1,87,6,0,1
5940,0,0,95,1,0,0
5960,0,0,89,1,0,0
5980,0,0,92,0,0,2
6000,0,1,92,1,0,1
6020,0,0,91,1,0,1
6040,0,0,99,0,0,0
6060,0,1,95,0,0,0
6080,0,0,98,0,0,0
6100,0,0,98,1,0,0
6120,0,0,99,1,0,0
6140,0,0,98,0,0,0
6160,0,0,95,1,0,0
6180,0,0,96,0,0,0
6200,0,0,76,9,0,0
6220,0,0,77,14,0,0
6240,0,0,65,24,0,0
6260,0,2,42,11,1,0
6280,0,2,30,6,0,0
6300,0,3,31,11,0,0
6320,0,3,5,18,0,0
6340,0,9,3,15,0,1
6360,0,9,8,10,0,0
6380,0,15,8,11,0,0
6400,0,10,10,7,0,0
6420,0,19,11,9,0,0
6440,0,2,8,11,1,0
6460,0,0,9,13,2,0
6480,0,0,8,13,0,0
6500,0,0,18,26,0,0
6520,0,1,17,42,0,0
6540,0,2,42,32,1,0
6560,0,0,31,44,0,0
6580,1,0,24,33,2,0
6600,0,2,24,8,0,2
6620,1,1,34,1,0,0
6640,1,3,12,1,0,13
6660,3,1,23,1,0,11
6680,0,1,26,1,0,7
6700,1,1,19,1,0,4
6720,1,2,26,0,0,7
6740,0,1,8,0,0,5
6760,1,0,8,0,1,0
6780,5,2,13,0,0,0
6800,1,0,15,39,0,1
6820,3,0,22,34,0,0
6840,4,0,53,27,2,0
6860,0,0,69,14,3,0
6880,0,0,91,4,1,0
6900,0,0,87,10,0,0
6920,0,0,79,12,2,0
6940,0,0,99,0,0,0
6960,0,0,90,3,4,0
6980,0,0,99,0,0,0
7000,0,0,100,0,0,0
7020,0,0,96,0,2,1
7040,0,0,98,0,0,0
7060,0,0,96,0,2,0
7080,0,0,94,0,2,0
7100,0,2,83,0,7,1
7120,0,0,90,0,3,0
7140,0,2,64,0,6,0
