pointer,OQ818317,OQ818318,OQ818319,OQ818340,OQ818343,OQ818321,OQ818322,OQ818339,OQ818337,OQ818341,OQ818338
1120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1140,0,0,0,0,75,0,0,0,0,0,2
1160,0,0,0,0,80,3,1,0,0,0,1
1180,0,0,0,0,70,9,1,0,0,0,2
1200,0,0,0,0,72,18,1,0,0,0,0
1220,0,0,0,0,68,19,0,0,0,0,0
1240,0,0,0,0,58,26,0,0,0,0,0
1260,0,0,0,0,65,9,0,0,0,0,2
1280,0,0,0,0,77,0,0,0,0,0,2
1300,0,0,0,0,87,1,0,0,0,0,0
1320,0,0,0,0,88,1,0,0,0,0,0
1340,0,0,0,0,84,0,0,0,0,0,0
1360,0,0,0,0,94,1,0,0,0,0,0
1380,0,0,0,0,99,0,0,0,0,0,0
1400,0,0,0,0,91,2,0,0,0,0,0
1420,0,0,0,0,95,0,0,0,0,0,0
1440,0,0,0,0,95,1,0,0,0,0,1
1460,0,0,0,0,95,0,0,0,0,0,0
1480,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1500,0,0,0,0,89,0,0,0,0,0,0
1520,0,0,0,0,83,0,0,0,0,0,4
1540,0,0,0,0,81,1,0,0,0,0,1
1560,0,0,0,0,93,0,0,0,0,0,0
1580,0,0,0,0,94,0,0,0,0,0,0
1600,0,0,0,0,99,0,0,0,0,0,0
1620,0,0,0,0,100,0,0,0,0,0,0
1640,0,0,0,0,100,0,0,0,0,0,0
1660,0,0,0,0,99,0,0,0,0,0,0
1680,0,0,0,0,100,0,0,0,0,0,0
1700,0,0,0,0,100,0,0,0,0,0,0
1720,0,0,0,0,99,1,0,0,0,0,0
1740,0,0,0,0,98,2,0,0,0,0,0
1760,0,0,0,0,99,1,0,0,0,0,0
1780,0,0,0,0,100,0,0,0,0,0,0
1800,0,0,0,0,98,1,0,0,0,0,0
1820,0,0,0,0,99,0,0,0,0,0,0
1840,0,0,0,0,93,0,0,0,0,0,0
1860,0,0,0,0,94,1,0,0,0,0,0
1880,0,0,0,0,99,0,0,0,0,0,0
1900,0,0,0,0,99,0,0,0,0,0,0
1920,0,0,0,0,100,0,0,0,0,0,0
1940,0,0,0,0,100,0,0,0,0,0,0
1960,0,0,0,0,100,0,0,0,0,0,0
1980,0,0,0,0,99,0,0,0,0,0,0
2000,0,0,0,0,97,1,0,0,0,0,0
2020,0,0,0,0,99,0,0,0,0,0,0
2040,0,0,0,0,98,0,0,0,0,0,0
2060,0,0,0,0,97,0,0,0,0,0,0
2080,1,0,0,0,98,0,0,0,0,0,0
2100,0,0,0,0,87,0,0,0,0,0,0
2120,0,0,0,0,95,0,0,0,0,0,0
2140,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2160,0,0,0,0,96,0,1,0,0,0,0
2180,0,0,0,0,98,0,0,0,0,0,0
2200,0,0,0,0,100,0,0,0,0,0,0
2220,0,0,0,0,99,0,0,0,0,0,0
2240,0,0,0,0,100,0,0,0,0,0,0
2260,0,0,0,0,96,0,0,0,0,0,0
2280,0,0,0,0,97,0,0,0,0,0,0
2300,0,0,0,0,97,0,0,0,0,0,0
2320,0,0,0,0,97,0,0,0,0,0,0
2340,0,0,0,0,96,0,0,0,0,0,0
2360,0,0,0,0,94,2,0,0,0,0,0
2380,0,0,0,0,83,2,0,0,0,0,0
2400,0,0,0,0,88,3,0,0,0,0,0
2420,0,0,0,0,90,1,0,0,0,0,0
2440,0,0,0,0,82,1,0,0,0,0,0
2460,0,0,0,0,74,12,0,0,0,0,0
2480,0,0,0,0,99,0,0,0,0,0,0
2500,0,0,0,0,97,2,0,0,0,0,0
2520,0,0,0,0,95,2,0,0,0,0,0
2540,0,0,0,0,98,0,0,0,0,0,0
2560,0,0,0,0,100,0,0,0,0,0,0
2580,0,0,0,0,99,0,0,0,0,0,0
2600,0,0,0,0,99,1,0,0,0,0,0
2620,0,0,0,0,99,0,0,0,0,0,0
2640,0,0,0,0,100,0,0,0,0,0,0
2660,0,0,0,0,100,0,0,0,0,0,0
2680,0,0,0,0,98,1,0,0,0,0,0
2700,0,0,0,0,94,6,0,0,0,0,0
2720,0,0,0,0,89,9,0,0,0,0,0
2740,0,0,0,0,93,3,0,0,0,0,0
2760,0,0,0,0,84,10,0,0,0,0,0
2780,0,0,0,0,61,32,0,0,0,0,0
2800,0,1,0,0,16,82,0,0,0,0,0
2820,0,0,0,0,9,91,0,0,0,0,0
2840,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
