pointer,OP287812,KM068048,KM068050,KM068051,KY407744,MG009596,OM105002
101,1,1,1,1,1,1,1
121,1,1,1,1,1,1,1
141,1,1,1,1,1,1,1
161,1,1,1,1,1,1,1
181,1,1,1,1,1,1,1
201,1,1,1,1,1,1,1
221,1,1,1,1,1,1,1
241,1,1,1,1,1,1,1
261,1,1,1,1,1,1,1
281,1,1,1,1,1,1,1
301,1,1,1,1,1,1,1
321,1,1,1,1,1,1,1
341,1,1,1,1,1,1,1
361,1,1,1,1,1,1,1
381,1,1,1,1,1,1,1
401,1,1,1,1,1,1,1
421,1,1,1,1,1,1,1
441,1,1,1,1,1,1,1
461,1,1,1,1,1,1,1
481,1,1,1,1,1,1,1
501,1,1,1,1,1,1,1
521,1,1,1,1,1,1,1
541,1,1,1,1,1,1,1
561,1,1,1,1,1,1,1
581,1,1,1,1,1,1,1
601,1,1,1,1,1,1,1
621,1,1,1,1,1,1,1
641,1,1,1,1,1,1,1
661,1,1,1,1,1,1,1
681,1,1,1,1,1,1,1
701,1,1,1,1,1,1,1
721,1,1,1,1,1,1,1
741,1,1,1,1,1,1,1
761,1,1,1,1,1,1,1
781,1,1,1,1,1,1,1
801,1,1,1,1,1,1,1
821,1,1,1,1,1,1,1
841,1,1,1,1,1,1,1
861,1,1,1,1,1,1,1
881,1,1,1,1,1,1,1
901,1,1,1,1,1,1,1
921,1,1,1,1,1,1,1
941,1,1,1,1,1,1,1
961,1,1,1,1,1,1,1
981,1,1,1,1,1,1,1
1001,1,1,1,1,1,1,1
1021,1,1,1,1,1,1,1
1041,1,1,1,1,1,1,1
1061,1,1,1,1,1,1,1
1081,1,1,1,1,1,1,1
1101,1,1,1,1,1,1,1
1121,1,1,1,1,1,1,1
1141,1,1,1,1,1,1,1
1161,1,1,1,1,1,1,1
1181,1,1,1,1,1,1,1
1201,1,1,1,1,1,1,1
1221,1,1,1,1,1,1,1
1241,1,1,1,1,1,1,1
1261,1,1,1,1,1,1,1
1281,1,1,1,1,1,1,1
1301,1,1,1,1,1,1,1
1321,1,1,1,1,1,1,1
1341,1,1,1,1,1,1,1
1361,1,1,1,1,1,1,1
1381,1,1,1,1,1,1,1
1401,1,1,1,1,1,1,1
1421,1,1,1,1,1,1,1
1441,1,1,1,1,1,1,1
1461,1,1,1,1,1,1,1
1481,1,1,1,1,1,1,1
1501,1,1,1,1,1,1,1
1521,1,1,1,1,1,1,1
1541,1,1,1,1,1,1,1
1561,1,1,1,1,1,1,1
1581,1,1,1,1,1,1,1
1601,1,1,1,1,1,1,1
1621,1,1,1,1,1,1,1
1641,1,0.82,0.82,0.84,0.79,0.93,0.83
1661,1,0.83,0.83,0.84,0.79,0.93,0.85
1681,1,0.82,0.82,0.84,0.82,0.93,0.86
1701,1,0.84,0.81,0.84,0.84,0.92,0.86
1721,1,0.84,0.81,0.84,0.84,0.92,0.86
1741,1,0.84,0.81,0.84,0.84,0.92,0.86
1761,1,0.84,0.81,0.84,0.84,0.92,0.86
1781,1,0.84,0.81,0.84,0.84,0.92,0.86
1801,1,0.84,0.81,0.84,0.84,0.92,0.86
1821,1,0.84,0.81,0.84,0.84,0.92,0.86
1841,1,0.84,0.81,0.84,0.84,0.92,0.86
1861,1,0.84,0.81,0.84,0.84,0.92,0.86
1881,1,0.84,0.81,0.84,0.84,0.92,0.86
1901,1,0.83,0.83,0.83,0.72,0.76,0.7
1921,1,0.83,0.83,0.83,0.77,0.78,0.77
1941,1,0.83,0.83,0.83,0.76,0.81,0.77
1961,1,0.83,0.83,0.83,0.78,0.81,0.79
1981,1,0.83,0.83,0.83,0.78,0.81,0.79
2001,1,0.89,0.89,0.89,0.82,0.89,0.85
2021,1,0.89,0.89,0.89,0.8,0.91,0.84
2041,1,0.9,0.9,0.9,0.81,0.92,0.83
2061,1,0.91,0.91,0.91,0.84,0.96,0.85
2081,1,0.87,0.89,0.89,0.81,0.93,0.82
2101,1,0.87,0.88,0.87,0.76,0.91,0.78
2121,0.99,0.86,0.87,0.85,0.77,0.9,0.76
2141,0.99,0.8,0.82,0.79,0.7,0.83,0.7
2161,0.99,0.79,0.8,0.78,0.67,0.81,0.67
2181,0.99,0.75,0.77,0.74,0.69,0.76,0.69
2201,0.99,0.75,0.77,0.74,0.69,0.76,0.69
2221,0.99,0.75,0.77,0.74,0.69,0.76,0.69
2241,0.99,0.75,0.77,0.74,0.69,0.76,0.69
2261,0.99,0.75,0.77,0.74,0.69,0.76,0.69
2281,0.99,0.75,0.77,0.74,0.69,0.76,0.69
2301,0.99,0.75,0.77,0.74,0.69,0.76,0.69
2321,0.99,0.75,0.77,0.74,0.69,0.76,0.69
2341,0.99,0.75,0.77,0.74,0.69,0.76,0.69
2361,0.99,0.75,0.77,0.74,0.69,0.76,0.69
2381,0.99,0.75,0.77,0.74,0.69,0.76,0.69
2401,1,0.87,0.88,0.87,0.78,0.86,0.8
2421,1,0.89,0.91,0.89,0.74,0.88,0.79
2441,1,0.88,0.89,0.88,0.71,0.87,0.77
2461,1,0.89,0.89,0.88,0.74,0.87,0.77
2481,1,0.9,0.89,0.88,0.75,0.88,0.78
2501,1,0.9,0.89,0.88,0.73,0.88,0.76
2521,1,0.9,0.89,0.88,0.73,0.88,0.76
2541,1,0.9,0.89,0.88,0.73,0.88,0.76
2561,1,0.9,0.89,0.88,0.73,0.88,0.76
2581,1,0.9,0.89,0.88,0.73,0.88,0.76
2601,1,0.9,0.89,0.88,0.73,0.88,0.76
2621,1,0.9,0.89,0.88,0.73,0.88,0.76
2641,1,0.9,0.89,0.88,0.73,0.88,0.76
2661,1,0.9,0.89,0.88,0.73,0.88,0.76
2681,1,0.9,0.89,0.88,0.73,0.88,0.76
2701,1,0.9,0.89,0.88,0.73,0.88,0.76
2721,1,0.84,0.87,0.87,0.7,0.89,0.81
2741,1,0.82,0.86,0.86,0.64,0.89,0.77
2761,1,0.81,0.85,0.85,0.65,0.87,0.75
2781,1,0.8,0.81,0.81,0.7,0.89,0.71
2801,1,0.79,0.81,0.81,0.76,0.88,0.72
2821,1,0.8,0.82,0.82,0.79,0.88,0.73
2841,1,0.76,0.79,0.79,0.76,0.85,0.71
2861,1,0.76,0.79,0.79,0.72,0.88,0.69
2881,1,0.73,0.76,0.76,0.7,0.85,0.61
2901,1,0.73,0.76,0.76,0.68,0.83,0.56
2921,1,0.74,0.76,0.76,0.66,0.84,0.54
2941,1,0.77,0.77,0.77,0.7,0.83,0.56
2961,1,0.81,0.8,0.8,0.77,0.86,0.64
2981,1,0.85,0.85,0.85,0.74,0.88,0.62
3001,1,0.87,0.86,0.86,0.74,0.9,0.62
3021,1,0.85,0.84,0.84,0.73,0.87,0.55
3041,0.99,0.88,0.86,0.86,0.7,0.89,0.58
3061,0.99,0.87,0.87,0.87,0.69,0.9,0.6
3081,0.99,0.89,0.89,0.89,0.72,0.91,0.68
3101,0.99,0.89,0.89,0.89,0.73,0.91,0.7
3121,0.99,0.89,0.89,0.89,0.74,0.9,0.73
3141,0.99,0.9,0.9,0.9,0.77,0.9,0.75
3161,0.99,0.87,0.89,0.88,0.71,0.88,0.69
3181,0.99,0.85,0.88,0.87,0.75,0.86,0.71
3201,0.99,0.84,0.86,0.85,0.71,0.85,0.68
3221,0.99,0.85,0.88,0.87,0.68,0.85,0.71
3241,1,0.85,0.87,0.86,0.69,0.85,0.7
