FileName: D:\alignments_africa\sapelo.fasta
Window: 200 bp, Step: 20 bp, GapStrip: On, Reps: 100, Kimura (2-parameter), T/t: 2.0, Neighbor-Joining
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Query","OQ818320"
"Ref","OQ818321","OQ818321"
"Ref","OQ818329","OQ818329"
"Ref","LC508226","LC508226"
"Ref","NC_033820","NC_033820"
"Ref","OM104039","OM104039"


"CenterPos","OQ818321","OQ818329","LC508226","NC_033820","OM104039"
"100","0","2","0","97","0"
"120","0","2","0","86","0"
"140","0","0","0","98","0"
"160","0","2","0","94","0"
"180","0","0","0","98","0"
"200","0","0","0","100","0"
"220","0","0","0","100","0"
"240","0","0","0","100","0"
"260","0","0","0","100","0"
"280","0","0","0","100","0"
"300","0","0","0","100","0"
"320","0","0","0","100","0"
"340","0","0","0","100","0"
"360","0","0","0","100","0"
"380","0","0","0","97","0"
"400","1","0","0","97","0"
"420","0","0","0","100","0"
"440","0","0","0","100","0"
"460","0","0","0","100","0"
"480","0","0","0","100","0"
"500","0","0","0","100","0"
"520","0","0","0","100","0"
"540","0","0","0","100","0"
"560","1","0","0","99","0"
"580","0","0","0","98","0"
"600","0","0","0","100","0"
"620","0","0","0","99","0"
"640","0","0","0","100","0"
"660","0","0","0","100","0"
"680","0","0","0","100","0"
"700","0","0","0","99","0"
"720","0","0","0","92","0"
"740","0","0","0","99","0"
"760","0","0","0","100","0"
"780","0","0","0","100","0"
"800","0","0","0","100","0"
"820","0","0","0","98","0"
"840","0","0","0","100","0"
"860","0","0","0","100","0"
"880","0","0","0","98","0"
"900","0","0","0","100","0"
"920","1","1","0","98","0"
"940","0","0","0","100","0"
"960","0","0","0","100","0"
"980","0","0","0","89","0"
"1000","0","0","0","100","0"
"1020","0","0","0","99","0"
"1040","0","0","0","100","0"
"1060","0","0","0","99","0"
"1080","0","0","0","100","0"
"1100","0","0","0","100","0"
"1120","0","0","0","98","0"
"1140","0","0","0","100","0"
"1160","0","0","0","100","0"
"1180","0","0","0","100","0"
"1200","0","0","0","99","0"
"1220","0","0","0","100","0"
"1240","0","0","0","100","0"
"1260","0","0","0","100","0"
"1280","0","0","0","100","0"
"1300","0","0","0","100","0"
"1320","0","0","0","100","0"
"1340","0","0","0","100","0"
"1360","0","0","0","100","0"
"1380","0","0","0","100","0"
"1400","0","0","0","100","0"
"1420","1","0","0","99","0"
"1440","0","0","0","100","0"
"1460","0","0","0","100","0"
"1480","1","0","0","98","0"
"1500","4","0","0","95","0"
"1520","0","0","0","100","0"
"1540","0","0","0","99","0"
"1560","0","0","0","92","0"
"1580","0","0","0","97","0"
