pointer,OQ818325,KF040078,JX437642
100,100,0,0
120,100,0,0
140,99,0,1
160,99,0,1
180,100,0,0
200,99,0,1
220,94,1,5
240,91,1,8
260,91,0,9
280,94,0,6
300,92,0,8
320,90,2,8
340,93,5,2
360,74,21,5
380,93,2,5
400,96,1,3
420,93,3,4
440,88,6,6
460,78,13,9
480,91,4,5
500,93,3,4
520,92,2,6
540,97,1,2
560,100,0,0
580,100,0,0
600,100,0,0
620,100,0,0
640,100,0,0
660,100,0,0
680,100,0,0
700,100,0,0
720,100,0,0
740,100,0,0
760,100,0,0
780,93,4,3
800,65,9,26
820,64,7,29
840,94,0,6
860,100,0,0
880,99,0,1
900,100,0,0
920,100,0,0
940,100,0,0
960,100,0,0
980,100,0,0
1000,100,0,0
1020,100,0,0
1040,100,0,0
1060,97,1,2
1080,91,4,5
1100,100,0,0
1120,98,0,2
1140,98,0,2
1160,100,0,0
1180,91,2,7
1200,92,1,7
1220,100,0,0
1240,99,0,1
1260,100,0,0
1280,97,0,3
1300,83,3,14
1320,82,8,10
1340,80,3,17
1360,75,3,22
1380,66,9,25
1400,66,4,30
1420,59,2,39
1440,-1,-1,-1
1460,-1,-1,-1
1480,-1,-1,-1
1500,-1,-1,-1
1520,-1,-1,-1
1540,-1,-1,-1
1560,-1,-1,-1
1580,-1,-1,-1
1600,-1,-1,-1
1620,-1,-1,-1
1640,10,39,51
1660,6,42,52
1680,10,45,45
1700,14,32,54
1720,-1,-1,-1
1740,97,0,3
1760,97,2,1
1780,98,1,1
1800,98,1,1
1820,99,1,0
1840,100,0,0
1860,100,0,0
1880,100,0,0
1900,100,0,0
1920,100,0,0
1940,100,0,0
1960,100,0,0
1980,100,0,0
2000,100,0,0
2020,100,0,0
2040,100,0,0
2060,100,0,0
2080,100,0,0
2100,96,0,4
2120,76,10,14
2140,64,13,23
2160,73,15,12
2180,75,7,18
2200,87,8,5
2220,84,9,7
2240,79,4,17
2260,74,16,10
2280,100,0,0
2300,99,0,1
2320,100,0,0
2340,100,0,0
2360,100,0,0
2380,100,0,0
2400,98,2,0
2420,98,1,1
2440,97,2,1
2460,98,0,2
2480,55,24,21
2500,92,2,6
2520,100,0,0
2540,100,0,0
2560,98,1,1
2580,100,0,0
2600,100,0,0
2620,99,0,1
2640,100,0,0
2660,98,1,1
2680,99,1,0
2700,94,5,1
2720,50,22,28
2740,25,64,11
2760,45,11,44
2780,97,1,2
2800,100,0,0
2820,96,1,3
2840,97,3,0
2860,98,1,1
2880,99,1,0
2900,98,2,0
2920,96,3,1
