pointer,MG888045,JN867757,MN784123
100,88,5,7
120,91,5,4
140,82,7,11
160,86,6,8
180,90,3,7
200,93,4,3
220,89,1,10
240,91,4,5
260,89,3,8
280,88,11,1
300,-1,-1,-1
320,-1,-1,-1
340,-1,-1,-1
360,-1,-1,-1
380,-1,-1,-1
400,-1,-1,-1
420,-1,-1,-1
440,88,5,7
460,78,7,15
480,75,19,6
500,-1,-1,-1
520,-1,-1,-1
540,82,4,14
560,91,1,8
580,89,0,11
600,-1,-1,-1
620,-1,-1,-1
640,-1,-1,-1
660,49,3,48
680,45,2,53
700,45,2,53
720,52,4,44
740,45,6,49
760,51,3,46
780,49,6,45
800,42,6,52
820,51,5,44
840,86,3,11
860,-1,-1,-1
880,-1,-1,-1
900,-1,-1,-1
920,-1,-1,-1
940,-1,-1,-1
960,-1,-1,-1
980,-1,-1,-1
1000,-1,-1,-1
1020,-1,-1,-1
1040,54,43,3
1060,73,27,0
1080,80,20,0
1100,63,36,1
1120,66,33,1
1140,73,25,2
1160,74,25,1
1180,73,19,8
1200,80,19,1
1220,82,15,3
1240,83,14,3
1260,67,21,12
1280,63,20,17
1300,75,16,9
1320,55,19,26
1340,86,3,11
1360,80,12,8
1380,70,14,16
1400,95,0,5
1420,97,1,2
1440,95,3,2
1460,100,0,0
1480,96,4,0
1500,79,18,3
1520,97,3,0
1540,85,13,2
1560,83,14,3
1580,93,5,2
1600,85,13,2
1620,92,5,3
1640,98,2,0
1660,100,0,0
1680,99,1,0
1700,100,0,0
1720,100,0,0
1740,100,0,0
1760,100,0,0
1780,100,0,0
1800,100,0,0
1820,100,0,0
1840,100,0,0
1860,99,1,0
1880,100,0,0
1900,100,0,0
1920,100,0,0
1940,95,5,0
1960,95,5,0
1980,99,1,0
2000,100,0,0
2020,98,2,0
2040,100,0,0
2060,100,0,0
2080,100,0,0
2100,100,0,0
2120,100,0,0
2140,99,0,1
2160,96,4,0
2180,98,2,0
2200,95,5,0
2220,53,46,1
2240,51,48,1
2260,49,51,0
2280,76,23,1
2300,89,11,0
2320,92,8,0
2340,98,2,0
2360,95,4,1
2380,96,4,0
2400,95,4,1
2420,95,5,0
2440,90,9,1
2460,98,1,1
2480,100,0,0
2500,91,6,3
2520,84,5,11
2540,88,8,4
2560,96,2,2
2580,96,3,1
2600,98,1,1
2620,100,0,0
2640,100,0,0
2660,100,0,0
2680,99,1,0
2700,99,1,0
2720,100,0,0
2740,92,2,6
2760,89,2,9
2780,85,4,11
2800,85,4,11
2820,84,13,3
2840,98,0,2
2860,99,0,1
2880,99,0,1
2900,99,1,0
2920,100,0,0
2940,100,0,0
2960,100,0,0
2980,100,0,0
3000,100,0,0
