pointer,OQ818325,OQ818346,EF127241,JX437642,KF040078,KF040079
4460,-1,-1,-1,-1,-1,-1
4480,32,2,1,6,0,0
4500,59,0,0,1,0,0
4520,49,3,0,0,0,0
4540,29,1,0,0,0,0
4560,32,0,0,0,0,0
4580,26,0,0,0,0,0
4600,16,6,0,0,0,0
4620,40,11,0,0,0,0
4640,66,9,0,0,0,0
4660,72,16,0,0,0,0
4680,75,21,0,0,0,0
4700,95,5,0,0,0,0
4720,92,8,0,0,0,0
4740,92,8,0,0,0,0
4760,90,9,0,0,0,0
4780,82,15,0,0,0,0
4800,89,9,0,0,0,0
4820,84,8,0,0,0,0
4840,74,16,0,0,0,0
4860,71,7,0,0,0,0
4880,73,2,0,0,0,0
4900,34,26,0,0,0,0
4920,63,2,0,0,0,0
4940,79,3,0,0,0,0
4960,95,3,0,0,0,0
4980,98,1,0,0,0,0
5000,100,0,0,0,0,0
5020,96,4,0,0,0,0
5040,100,0,0,0,0,0
5060,99,1,0,0,0,0
5080,95,5,0,0,0,0
5100,97,3,0,0,0,0
5120,86,14,0,0,0,0
5140,76,24,0,0,0,0
5160,55,41,0,0,0,0
5180,41,59,0,0,0,0
5200,36,58,0,0,0,0
5220,42,48,0,0,0,0
5240,12,81,0,0,0,0
5260,36,55,0,0,0,0
5280,13,68,0,0,0,0
5300,11,65,0,0,0,0
5320,14,72,0,0,0,0
5340,26,45,0,0,0,0
5360,49,35,0,0,0,0
5380,70,10,0,0,0,0
5400,56,15,0,0,0,0
5420,82,2,0,0,0,0
5440,79,2,0,0,0,0
5460,81,0,0,0,0,0
5480,94,2,0,0,0,0
5500,94,4,0,0,0,0
5520,98,1,0,0,0,0
5540,99,1,0,0,0,0
5560,92,5,0,0,0,0
5580,95,5,0,0,0,0
5600,100,0,0,0,0,0
5620,96,4,0,0,0,0
5640,99,1,0,0,0,0
5660,94,6,0,0,0,0
5680,97,2,0,0,0,0
5700,95,1,0,0,0,0
5720,81,12,0,0,0,0
5740,50,3,0,0,0,0
5760,53,39,0,0,0,0
5780,-1,-1,-1,-1,-1,-1
