Accession,Organism_Name,Isolate,Species,Genus,Country,source,Host,Collection_Date,novel
NC_001366.1,Theilovirus,,Cardiovirus B,Cardiovirus,United Kingdom,Mus musculus,0,1990,0
NC_001430.1,Enterovirus D,,Enterovirus D,Enterovirus,USA,Homo sapiens,0,1990,0
NC_001472.1,Enterovirus B,,Enterovirus B,Enterovirus,USA,Homo sapiens,0,1987,0
NC_001479.1,Encephalomyocarditis virus,,Cardiovirus A,Cardiovirus,USA,Homo sapiens,0,1992,0
NC_001489.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,USA,Homo sapiens,0,1987,0
NC_001490.1,rhinovirus B14,,Rhinovirus B,Enterovirus,USA,Homo sapiens,0,1984,0
NC_001547.1,Sindbis virus,,Sindbis virus,Alphavirus,USA,Cell culture,0,1981,0
NC_001612.1,Enterovirus A,,Enterovirus A,Enterovirus,USA,Homo sapiens,0,1994,0
NC_001617.1,Rhinovirus A,,Rhinovirus A,Enterovirus,USA,Homo sapiens,0,1988,0
NC_001859.1,Enterovirus E,,Enterovirus E,Enterovirus,USA,Bos taurus,0,1988,0
NC_001897.1,Parechovirus A,,Parechovirus A,Parechovirus,USA,Homo sapiens,0,1998,0
NC_001918.1,Aichi virus 1,A846/88,Aichivirus A,Kobuvirus,Japan,Homo sapiens,0,1998,0
NC_002058.3,Enterovirus C,,Enterovirus C,Enterovirus,USA,Homo sapiens,0,1980,0
NC_003976.2,Ljungan virus,,Parechovirus B,Parechovirus,Sweden,Homo sapiens,0,2002,0
NC_003983.1,Equine rhinitis B virus 1,,Erbovirus A,Erbovirus,Austria,Equus caballus,0,1996,0
NC_003985.1,Teschovirus A,F65,Teschovirus A,Teschovirus,United Kingdom,Homo sapiens,0,1999,0
NC_003987.1,porcine sapelovirus 1,,Sapelovirus A,Sapelovirus,USA,Sus scrofa,0,2002,0
NC_003988.1,Enterovirus H,,Enterovirus H,Enterovirus,USA,Homo sapiens,0,1999,0
NC_003990.1,tremovirus A1,,Tremovirus A,Tremovirus,United Kingdom,Aves,0,1997,0
NC_004421.1,Aichivirus B,,Aichivirus B,Kobuvirus,Japan,Bos taurus,0,2003,0
NC_004441.1,Porcine enterovirus 9,,Enterovirus G,Enterovirus,Germany,Sus scrofa,0,2002,0
NC_004451.1,Simian sapelovirus 1,,Sapelovirus B,Sapelovirus,USA,Simiiformes,0,2003,0
NC_006553.1,anativirus A1,TW90A,Anativirus A,Anativirus,Taiwan,Simiiformes,0,2004,0
