Accession,Isolate,Species,Genus,Family,Length,Country,Host,bat_Host,Collection_Date,novel
NC_033776.1,Bat-SaV/Limbe65/CAM/2014,Bat sapovirus,Sapovirus,Caliciviridae,7475,Cameroon,Eidolon helvum,,Jan-14,
NC_017936.1,,Bat sapovirus TLC58/HK,Sapovirus,Caliciviridae,7696,Hong Kong,Chiroptera,,,
MF373609.1,NPIH26,Norwalk virus,Norovirus,Caliciviridae,7368,China,Rhinolophus affinis,,Jun-16,
JN899075.1,,Bat sapovirus TLC58/HK,Sapovirus,Caliciviridae,7696,Hong Kong,Chiroptera,,,
NC_076039.1,BtRf-PicoV-1/YN2012,Shanbavirus A,Shanbavirus,Picornaviridae,6624,China,Rhinolophus ferrumequinum,,Dec-10,
NC_076040.1,BtNv-PicoV/SC2013,Shanbavirus A,Shanbavirus,Picornaviridae,7048,China,Nyctalus velutinus,,Mar-13,
NC_043071.1,BtMr-PicoV/JX2010,Shanbavirus A,Shanbavirus,Picornaviridae,7555,China,Myotis ricketti,,Oct-10,
NC_043072.1,,Mischivirus B,Mischivirus,Picornaviridae,6855,Hungary,Miniopterus schreibersii,,2013,
NC_038313.1,SMG18520Minmav2014,Hepatovirus C,Hepatovirus,Picornaviridae,7570,Madagascar,Miniopterus,,2014,
NC_038316.1,BUO2BF86Colafr2010,Hepatovirus G,Hepatovirus,Picornaviridae,7399,Ghana,Coleura afra,,2010,
NC_038961.1,BtMf-PicoV-1/SAX2011,Shanbavirus A,Shanbavirus,Picornaviridae,7264,China,Miniopterus fuliginosus,,Sep-11,
NC_034381.1,,Mischivirus A,Mischivirus,Picornaviridae,8468,China,Miniopterus schreibersii,,Dec-10,
NC_033818.1,,Kunsagivirus B,Kunsagivirus,Picornaviridae,7092,Cameroon,Eidolon helvum,,Dec-13,
NC_033819.1,,Crohivirus B,Crohivirus,Picornaviridae,7085,Cameroon,Eidolon helvum,,Dec-13,
NC_033820.1,,Bat sapelovirus,Sapelovirus,Picornaviridae,7746,Cameroon,Eidolon helvum,,Dec-13,
NC_028366.1,M32Eidhel2010,Hepatovirus H,Hepatovirus,Picornaviridae,7333,Ghana,Eidolon helvum,,2010,
NC_026470.1,PREDICT-06105,Mischivirus C,Mischivirus,Picornaviridae,8096,Democratic Republic of the Congo,Macronycteris gigas,,2013,
NC_015934.1,,Bat picornavirus 3,Unclassified,Picornaviridae,7749,Hong Kong,Rhinolophus sinicus,,2008-09-12,
NC_015940.1,,Bat picornavirus 1,Unclassified,Picornaviridae,7753,Hong Kong,Miniopterus pusillus,,2008-12-19,
NC_015941.1,,Bat picornavirus 2,Unclassified,Picornaviridae,7693,Hong Kong,Miniopterus magnater,,2005-09-06,
OQ363751.1,GD/L117.18d/2022,Bat picornavirus 5,Unclassified,Picornaviridae,11211,China,Miniopterus pusillus,,Jul-22,
OQ363752.1,GD/L117.18e/2022,Bat picornavirus 5,Unclassified,Picornaviridae,11207,China,Miniopterus pusillus,,Jul-22,
OQ363753.1,GD/L117.18b/2022,Bat picornavirus 5,Unclassified,Picornaviridae,11198,China,Miniopterus pusillus,,Jul-22,
OQ363754.1,GD/L117.18f/2022,Bat picornavirus 5,Unclassified,Picornaviridae,11194,China,Miniopterus pusillus,,Jul-22,
OQ363755.1,GD/L117.18g/2022,Bat picornavirus 5,Unclassified,Picornaviridae,11008,China,Miniopterus pusillus,,Jul-22,
OQ363758.1,GD/L12.18a/2020,Bat picornavirus 6,Unclassified,Picornaviridae,10663,China,Miniopterus pusillus,,Nov-20,
OQ363759.1,GD/L117.18a/2022,Bat picornavirus 5,Unclassified,Picornaviridae,9826,China,Miniopterus pusillus,,Jul-22,
OQ363761.1,GD/L12.18b/2020,Bat picornavirus 6,Unclassified,Picornaviridae,8524,China,Miniopterus pusillus,,Nov-20,
OQ363764.1,GD/L96.21/2022,Bat picornavirus 3,Unclassified,Picornaviridae,7970,China,Rhinolophus sinicus,,Apr-22,
OQ363766.1,CQ/L77.18b/2021,Bat picornavirus 3,Unclassified,Picornaviridae,7897,China,Rhinolophus pusillus,,Dec-21,
OQ363767.1,GD/L91.18/2022,Bat picornavirus 3,Unclassified,Picornaviridae,7886,China,Rhinolophus pusillus,,Jan-22,
OQ363768.1,GD/L95.21/2022,Bat picornavirus 3,Unclassified,Picornaviridae,7886,China,Rhinolophus sinicus,,Apr-22,
OQ363769.1,GD/L23.18/2020,Bat picornavirus 3,Unclassified,Picornaviridae,7882,China,Rhinolophus sinicus,,Dec-20,
OQ363770.1,GD/L24.18/2020,Bat picornavirus 3,Unclassified,Picornaviridae,7881,China,Rhinolophus sinicus,,Dec-20,
OQ363771.1,GD/L20.18/2020,Bat picornavirus 3,Unclassified,Picornaviridae,7880,China,Rhinolophus sinicus,,Dec-20,
OQ363772.1,GD/L67.18/2021,Bat picornavirus 7,Unclassified,Picornaviridae,7880,China,Taphozous melanopogon,,Nov-21,
OQ363773.1,GD/L25.18/2020,Bat picornavirus 3,Unclassified,Picornaviridae,7875,China,Rhinolophus sinicus,,Dec-20,
OQ363775.1,CQ/L77.18a/2021,Bat picornavirus 3,Unclassified,Picornaviridae,7853,China,Rhinolophus pusillus,,Dec-21,
OQ363777.1,GD/L8.18/2020,Shanbavirus A,Shanbavirus,Picornaviridae,7743,China,Rhinolophus sinicus,,Nov-20,
OQ363779.1,GD/L58.18/2021,Rhinolophus bat shanbavirus,Shanbavirus,Picornaviridae,7080,China,Rhinolophus pusillus,,Oct-21,
OQ363780.1,GD/L4.18/2020,Rhinolophus bat shanbavirus,Shanbavirus,Picornaviridae,7018,China,Rhinolophus pusillus,,Nov-20,
OQ363781.1,GD/L15.18/2020,Rhinolophus bat shanbavirus,Shanbavirus,Picornaviridae,7009,China,Rhinolophus pearsonii,,Nov-20,
