#Skyline assuming 50.0 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
-1866.054	4.330e+04	1.661e+04	1.129e+05
-1661.561	4.855e+04	2.475e+04	9.525e+04
-1457.068	6.586e+04	3.345e+04	1.297e+05
-1252.576	9.169e+04	4.793e+04	1.754e+05
-1048.083	1.212e+05	9.814e+04	1.497e+05
-843.590	1.224e+05	1.001e+05	1.497e+05
-639.097	1.243e+05	1.022e+05	1.512e+05
-434.605	1.227e+05	1.010e+05	1.490e+05
-230.112	1.315e+05	1.006e+05	1.720e+05
-25.619	3.096e+05	2.093e+05	4.579e+05
178.874	6.843e+05	4.719e+05	9.923e+05
383.366	1.214e+06	8.446e+05	1.745e+06
587.859	1.792e+06	1.260e+06	2.549e+06
792.352	2.655e+06	1.896e+06	3.720e+06
996.845	3.141e+06	2.293e+06	4.302e+06
1201.337	4.800e+06	3.610e+06	6.383e+06
1405.830	7.242e+06	5.418e+06	9.680e+06
1610.323	1.068e+07	7.896e+06	1.445e+07
1814.815	1.872e+07	1.340e+07	2.615e+07
2019.308	2.259e+07	1.264e+07	4.039e+07
