pointer,Rhinolophus_kobuvirus - NC_034971.1,Rhinolophus_kobuvirus - OP287812.1,NC_034971.1 - OP287812.1
20,0,0,0
40,0,0,0
60,0,0,0
80,0,0,0
100,0,0,0
120,0,0,0
140,0,0,0
160,0,0,0
180,0,0,0
200,0,0,0
220,0,0,0
240,0,0,0
260,0,0,0
280,0,0,0
300,0,0,0
320,0,0,0
340,0,0,0
360,0,0,0
380,0,0,0
400,0,0,0
420,0,0,0
440,0,0,0
460,0,0,0
480,0,0,0
500,0,0,0
520,13,0,67
540,72,0,27
560,72,1,27
580,72,3,25
600,76,2,20
620,89,4,7
640,90,2,8
660,87,3,10
680,91,9,0
700,86,11,3
720,94,5,0
740,91,6,3
760,87,12,1
780,95,4,0
800,92,7,0
820,96,3,1
840,96,1,1
860,97,2,1
880,100,0,0
900,98,0,2
920,99,1,0
940,100,0,0
960,100,0,0
980,99,0,1
1000,100,0,0
1020,99,0,1
1040,100,0,0
1060,100,0,0
1080,98,2,0
1100,100,0,0
1120,100,0,0
1140,99,0,1
1160,99,1,0
1180,94,6,0
1200,80,11,1
1220,99,0,0
1240,86,12,0
1260,83,15,1
1280,94,3,1
1300,77,18,0
1320,83,12,0
1340,84,15,0
1360,69,25,0
1380,45,49,0
1400,81,16,0
1420,63,29,0
1440,98,2,0
1460,94,5,0
1480,99,1,0
1500,96,2,2
1520,74,19,4
1540,97,2,1
1560,94,0,6
1580,78,0,22
1600,77,1,22
1620,98,1,1
1640,99,1,0
1660,99,0,1
1680,90,7,3
1700,81,18,0
1720,60,39,1
1740,48,52,0
1760,45,53,0
1780,39,53,0
1800,35,55,0
1820,71,23,0
1840,75,18,0
1860,71,20,0
1880,99,1,0
1900,99,1,0
1920,98,2,0
1940,98,2,0
1960,92,6,0
1980,98,1,0
2000,100,0,0
2020,92,6,0
2040,70,25,1
2060,78,19,0
2080,41,47,5
2100,29,59,1
2120,81,10,0
2140,54,39,0
2160,80,16,0
2180,73,23,0
2200,77,16,0
2220,86,11,0
2240,92,5,0
2260,85,8,3
2280,89,8,1
2300,76,16,1
2320,68,27,1
2340,100,0,0
2360,83,14,0
2380,74,21,0
2400,52,32,1
2420,78,7,6
2440,90,7,0
2460,96,1,3
2480,92,4,2
2500,91,4,3
2520,88,2,8
2540,50,24,21
2560,70,4,24
2580,93,0,6
2600,94,2,3
2620,86,5,7
2640,77,18,1
2660,78,14,0
2680,85,12,0
2700,96,4,0
2720,92,7,0
2740,93,5,0
2760,85,13,0
2780,79,17,0
2800,60,34,0
2820,86,7,0
2840,96,4,0
2860,96,2,0
2880,99,0,0
2900,96,2,0
2920,100,0,0
2940,98,0,2
2960,93,5,1
2980,88,2,6
3000,79,0,21
3020,78,12,9
3040,33,46,15
3060,21,68,4
3080,9,73,13
3100,6,88,5
3120,5,93,1
3140,29,60,7
3160,22,61,11
3180,6,81,6
3200,6,76,18
3220,27,51,16
3240,57,12,29
3260,45,34,16
3280,53,31,9
3300,56,32,4
3320,23,73,1
3340,4,95,0
3360,11,87,0
3380,14,80,0
3400,17,79,0
3420,13,84,0
3440,1,99,0
3460,11,85,0
3480,2,96,0
3500,1,96,1
3520,4,94,0
3540,4,94,0
3560,2,98,0
3580,1,98,0
3600,3,97,0
3620,6,92,0
3640,12,82,0
3660,21,74,0
3680,68,31,0
3700,45,53,0
3720,71,26,2
3740,95,5,0
3760,98,2,0
3780,95,2,3
3800,98,0,2
3820,94,4,2
3840,97,1,2
3860,85,2,13
3880,81,5,14
3900,97,1,2
3920,96,2,2
3940,98,1,1
3960,99,1,0
3980,95,5,0
4000,96,4,0
4020,98,2,0
4040,89,4,2
4060,86,10,1
4080,66,27,4
4100,52,41,2
4120,62,33,0
4140,70,17,10
4160,56,27,15
4180,63,21,10
4200,50,22,22
4220,37,46,6
4240,55,39,5
4260,72,21,0
4280,81,17,0
4300,93,6,0
4320,93,5,0
4340,79,11,0
4360,74,21,0
4380,75,15,0
4400,62,27,0
4420,60,34,0
4440,61,35,0
4460,65,28,0
4480,34,61,0
4500,19,79,0
4520,15,81,0
4540,16,81,0
4560,7,89,0
4580,15,84,0
4600,22,68,0
4620,39,55,0
4640,44,50,0
4660,39,50,0
4680,34,59,0
4700,78,16,0
4720,100,0,0
4740,100,0,0
4760,100,0,0
4780,100,0,0
4800,100,0,0
4820,100,0,0
4840,100,0,0
4860,100,0,0
4880,100,0,0
4900,100,0,0
4920,100,0,0
4940,100,0,0
4960,99,0,1
4980,100,0,0
5000,96,1,2
5020,100,0,0
5040,100,0,0
5060,100,0,0
5080,100,0,0
5100,100,0,0
5120,100,0,0
5140,99,1,0
5160,100,0,0
5180,100,0,0
5200,100,0,0
5220,99,1,0
5240,100,0,0
5260,100,0,0
5280,100,0,0
5300,85,11,0
5320,73,15,0
5340,86,7,1
5360,92,4,0
5380,93,2,4
5400,89,4,3
5420,95,1,1
5440,98,0,2
5460,100,0,0
5480,100,0,0
5500,100,0,0
5520,100,0,0
5540,100,0,0
5560,100,0,0
5580,100,0,0
5600,100,0,0
5620,99,0,0
5640,97,2,1
5660,89,5,0
5680,69,27,0
5700,74,22,0
5720,34,57,0
5740,46,40,2
5760,55,35,1
5780,72,27,1
5800,84,15,0
5820,99,1,0
5840,99,1,0
5860,100,0,0
5880,100,0,0
5900,98,2,0
5920,100,0,0
5940,100,0,0
5960,100,0,0
5980,98,2,0
6000,100,0,0
6020,100,0,0
6040,98,1,0
6060,98,2,0
6080,100,0,0
6100,100,0,0
6120,100,0,0
6140,96,4,0
6160,100,0,0
6180,98,1,1
6200,100,0,0
6220,91,1,8
6240,90,1,8
6260,98,0,1
6280,99,0,1
6300,98,1,1
6320,96,0,4
6340,97,0,3
6360,92,3,2
6380,93,2,1
6400,95,3,0
6420,98,2,0
6440,98,0,0
6460,59,28,5
6480,49,39,1
6500,34,57,1
6520,41,48,0
6540,87,9,0
6560,71,22,0
6580,84,13,0
6600,47,41,1
6620,71,25,0
6640,66,30,0
6660,81,17,0
6680,89,10,0
6700,88,8,0
6720,78,20,0
6740,45,48,0
