pointer,OQ818324 - LC386158.1,OQ818324 - OQ818318,LC386158.1 - OQ818318
20,0,0,0
40,0,0,0
60,0,0,0
80,0,0,0
100,0,0,0
120,0,0,0
140,0,0,0
160,0,0,0
180,0,0,0
200,1,0,0
220,31,0,37
240,42,0,27
260,32,0,37
280,29,0,46
300,29,0,36
320,35,0,34
340,46,0,35
360,37,0,31
380,32,0,36
400,0,26,47
420,0,32,0
440,43,24,19
460,17,72,7
480,53,41,3
500,42,55,3
520,7,92,1
540,7,90,3
560,5,88,7
580,2,80,18
600,1,34,65
620,0,43,55
640,0,38,62
660,3,11,86
680,1,7,90
700,1,14,85
720,3,3,94
740,5,1,94
760,4,4,91
780,11,26,63
800,5,41,53
820,1,21,77
840,1,53,46
860,0,36,64
880,0,81,19
900,0,42,57
920,0,33,66
940,0,47,53
960,0,40,60
980,3,24,73
1000,1,43,56
1020,1,84,15
1040,4,85,11
1060,4,85,11
1080,2,74,24
1100,3,66,31
1120,0,70,30
1140,2,92,5
1160,0,96,4
1180,0,97,3
1200,0,98,2
1220,0,97,3
1240,0,90,10
1260,0,86,14
1280,0,89,11
1300,3,93,4
1320,4,96,0
1340,14,84,2
1360,12,68,18
1380,35,56,8
1400,57,38,4
1420,45,55,0
1440,20,80,0
1460,16,84,0
1480,4,96,0
1500,0,100,0
1520,1,99,0
1540,4,96,0
1560,1,99,0
1580,18,82,0
1600,5,95,0
1620,13,86,0
1640,27,71,2
1660,44,52,4
1680,79,21,0
1700,85,14,1
1720,78,21,1
1740,31,65,0
1760,52,47,1
1780,21,79,0
1800,32,66,0
1820,14,86,0
1840,8,86,0
1860,6,93,0
1880,3,96,0
1900,2,98,0
1920,3,96,0
1940,8,92,0
1960,1,99,0
1980,0,100,0
2000,0,100,0
2020,0,100,0
2040,0,100,0
2060,0,99,1
2080,0,98,2
2100,0,96,4
2120,0,98,2
2140,0,92,6
2160,0,86,14
2180,0,74,26
2200,0,70,27
2220,0,51,49
2240,0,76,24
2260,0,83,16
2280,0,92,8
2300,0,99,1
2320,0,85,15
2340,1,90,8
2360,0,77,21
2380,2,98,0
2400,1,94,5
2420,0,100,0
2440,0,100,0
2460,0,100,0
2480,0,95,5
2500,1,86,13
2520,0,96,4
2540,1,97,2
2560,0,98,2
2580,0,95,5
2600,1,99,0
2620,0,89,11
2640,2,77,21
2660,0,76,23
2680,1,85,13
2700,0,93,7
2720,0,96,4
2740,0,97,3
2760,1,94,5
2780,3,83,13
2800,6,79,13
2820,17,63,18
2840,12,83,3
2860,18,72,8
2880,1,90,5
2900,7,81,7
2920,10,45,39
2940,10,59,25
2960,15,62,17
2980,22,62,13
3000,19,78,3
3020,7,81,10
3040,4,93,3
3060,4,89,7
3080,24,52,21
3100,30,60,10
3120,16,80,4
3140,7,93,0
3160,8,92,0
3180,1,99,0
3200,1,97,2
3220,1,99,0
3240,1,95,3
3260,4,94,2
3280,1,99,0
3300,0,100,0
3320,1,99,0
3340,3,97,0
3360,2,95,2
3380,5,90,5
3400,10,84,6
3420,8,91,1
3440,5,94,0
3460,26,72,2
3480,26,70,4
3500,28,65,7
3520,18,60,22
3540,18,64,16
3560,49,33,17
3580,51,27,22
3600,21,72,7
3620,15,59,26
3640,9,42,49
3660,7,72,20
3680,8,73,19
3700,4,87,9
3720,4,96,0
3740,0,100,0
3760,0,100,0
3780,0,100,0
3800,1,98,1
3820,0,100,0
3840,2,98,0
3860,0,99,1
3880,0,100,0
3900,0,100,0
3920,0,100,0
3940,3,96,0
3960,2,98,0
3980,9,91,0
4000,1,99,0
4020,6,94,0
4040,0,100,0
4060,5,94,0
4080,1,99,0
4100,8,92,0
4120,3,97,0
4140,0,94,6
4160,0,98,2
4180,0,100,0
4200,0,99,1
4220,0,100,0
4240,0,100,0
4260,0,100,0
4280,0,100,0
4300,0,100,0
4320,0,100,0
4340,0,100,0
4360,0,100,0
4380,0,98,1
4400,2,95,2
4420,0,99,1
4440,0,97,2
4460,1,93,5
4480,0,98,1
4500,0,100,0
4520,0,99,0
4540,0,100,0
4560,1,99,0
4580,0,100,0
4600,0,100,0
4620,0,100,0
4640,0,100,0
4660,0,100,0
4680,0,100,0
4700,5,94,0
4720,0,98,2
4740,1,97,0
4760,0,100,0
4780,0,100,0
4800,0,96,2
4820,0,100,0
4840,0,99,0
4860,0,96,2
4880,0,99,1
4900,0,100,0
4920,0,100,0
4940,0,100,0
4960,0,97,3
4980,1,88,11
5000,3,48,49
5020,0,80,20
5040,0,93,7
5060,0,100,0
5080,1,98,1
5100,1,95,4
5120,1,84,15
5140,3,92,3
5160,0,99,1
5180,0,99,1
5200,0,100,0
5220,0,99,1
5240,4,96,0
5260,1,98,1
5280,0,100,0
5300,5,95,0
5320,9,90,1
5340,6,82,12
5360,21,67,12
5380,33,34,33
5400,58,26,15
5420,70,21,9
5440,84,16,0
5460,87,13,0
5480,80,13,7
5500,46,51,3
5520,4,96,0
5540,1,99,0
5560,3,97,0
5580,0,100,0
5600,0,100,0
5620,0,100,0
5640,0,100,0
5660,0,100,0
5680,0,100,0
5700,0,100,0
5720,0,100,0
5740,0,100,0
5760,0,100,0
5780,0,100,0
5800,0,100,0
5820,0,100,0
5840,1,99,0
5860,1,99,0
5880,1,99,0
5900,1,99,0
5920,7,93,0
5940,2,98,0
5960,0,100,0
5980,3,97,0
6000,0,100,0
6020,2,97,0
6040,0,100,0
6060,0,100,0
6080,0,100,0
6100,0,100,0
6120,1,99,0
6140,0,100,0
6160,1,99,0
6180,0,100,0
6200,0,100,0
6220,0,100,0
6240,0,100,0
6260,1,99,0
6280,0,99,1
6300,1,98,1
6320,0,91,6
6340,0,96,2
6360,0,97,3
6380,0,98,2
6400,0,77,19
6420,0,55,41
6440,1,81,13
6460,0,78,15
6480,0,87,13
6500,0,99,1
6520,0,88,12
6540,0,91,9
6560,0,92,8
6580,1,92,7
6600,1,96,3
6620,1,99,0
6640,1,98,1
6660,0,98,2
6680,0,98,2
6700,0,99,1
6720,1,96,2
6740,0,93,7
6760,0,88,7
6780,1,67,26
