Position in alignment,PP766471 - OQ818325,PP766471 - PP766469,OQ818325 - PP766469
20,0,25,67
40,20,23,54
60,12,42,35
80,7,93,0
100,39,58,2
120,36,61,2
140,66,34,0
160,54,45,1
180,49,51,0
200,53,47,0
220,53,44,1
240,61,35,1
260,38,61,0
280,34,60,0
300,12,87,0
320,28,70,0
340,37,61,0
360,45,53,0
380,54,41,2
400,60,31,0
420,53,43,0
440,37,61,1
460,68,30,2
480,93,5,1
500,90,6,4
520,89,10,0
540,68,19,10
560,18,71,7
580,14,76,10
600,9,84,4
620,53,34,9
640,54,27,9
660,40,48,4
680,37,53,4
700,62,29,4
720,25,51,11
740,22,68,7
760,58,27,10
780,60,18,17
800,42,11,34
820,55,14,26
840,34,45,16
860,28,31,28
880,34,21,36
900,15,52,22
920,48,28,13
940,70,7,14
960,32,53,3
980,40,56,0
1000,26,68,0
1020,22,71,0
1040,46,46,1
1060,50,46,0
1080,40,50,0
1100,58,38,0
1120,49,47,0
1140,34,55,0
1160,62,33,0
1180,81,11,2
1200,86,6,5
1220,96,1,2
1240,94,0,3
1260,95,2,1
1280,80,3,12
1300,73,0,22
1320,46,0,50
1340,36,0,57
1360,28,0,67
1380,32,0,63
1400,39,1,55
1420,16,0,80
1440,9,0,91
1460,6,1,90
1480,11,3,84
1500,12,3,82
1520,6,8,83
1540,24,48,18
1560,65,29,4
1580,54,31,6
1600,55,38,3
1620,41,52,0
1640,70,22,0
1660,55,35,2
1680,61,31,2
1700,49,29,10
1720,59,30,6
1740,43,32,13
1760,38,25,25
1780,35,31,25
1800,20,46,19
1820,11,46,35
1840,8,57,19
1860,10,75,11
1880,3,68,24
1900,2,89,7
1920,3,97,0
1940,3,92,3
1960,0,91,6
1980,0,98,1
2000,0,100,0
2020,0,95,4
2040,0,96,3
2060,0,85,12
2080,2,84,8
2100,3,80,8
2120,4,50,38
2140,2,56,40
2160,0,71,22
2180,5,44,44
2200,5,34,54
2220,9,32,51
2240,11,11,72
2260,41,0,54
2280,51,0,40
2300,57,1,38
2320,77,3,16
2340,99,0,0
2360,91,0,7
2380,96,0,4
2400,99,0,1
2420,99,0,0
2440,98,0,2
2460,99,0,0
2480,89,4,5
2500,83,1,10
2520,64,1,32
2540,43,5,42
2560,37,13,37
2580,23,17,47
2600,10,16,67
2620,5,25,66
2640,5,39,49
