Position in alignment,KX420938.1 - OQ818324,KX420938.1 - Pteropodidae_bat_teschovirus,OQ818324 - Pteropodidae_bat_teschovirus
20,0,0,100
40,0,1,99
60,0,0,100
80,0,0,98
100,0,1,98
120,0,0,99
140,0,0,100
160,0,0,100
180,0,2,91
200,0,4,87
220,0,1,96
240,0,3,94
260,0,5,93
280,0,2,96
300,0,37,51
320,0,60,30
340,0,64,29
360,0,78,17
380,0,95,2
400,0,98,1
420,0,97,3
440,0,99,1
460,0,97,3
480,0,99,1
500,0,96,2
520,0,86,7
540,0,96,1
560,0,96,4
580,0,90,10
600,0,83,17
620,0,80,20
640,0,92,7
660,0,87,12
680,0,74,26
700,0,82,17
720,0,92,8
740,0,74,25
760,0,46,52
780,0,33,61
800,0,30,66
820,0,32,63
840,0,38,59
860,0,51,44
880,0,33,64
900,0,23,70
920,0,15,85
940,0,6,94
960,0,19,81
980,0,16,84
1000,0,20,79
1020,0,14,86
1040,0,9,91
1060,0,6,94
1080,0,11,88
1100,0,14,86
1120,0,50,42
1140,0,89,5
1160,0,95,3
1180,0,85,10
1200,0,35,55
1220,0,60,32
1240,0,68,25
1260,0,66,24
1280,0,66,27
1300,0,82,10
1320,0,56,38
1340,0,31,62
1360,0,63,31
1380,0,70,22
1400,0,100,0
1420,0,99,1
1440,0,97,1
1460,0,100,0
1480,0,99,0
1500,0,54,34
1520,0,11,77
1540,0,3,93
1560,0,0,100
1580,0,0,100
1600,0,0,100
1620,0,0,100
1640,0,0,100
1660,0,0,100
1680,0,0,99
1700,0,0,100
1720,0,1,98
1740,0,4,90
1760,0,4,92
1780,0,6,90
1800,0,10,79
1820,0,9,85
1840,0,4,94
1860,0,7,88
1880,0,22,66
1900,0,73,14
1920,0,50,38
1940,0,14,81
1960,0,13,79
1980,0,10,84
2000,0,11,87
2020,0,5,90
2040,0,1,99
2060,0,0,100
2080,0,0,100
2100,0,0,100
2120,0,0,100
2140,0,0,99
2160,0,5,90
2180,0,3,93
2200,0,5,87
2220,0,13,84
2240,0,67,23
2260,0,71,18
2280,0,66,29
2300,0,36,55
2320,0,36,49
2340,0,26,64
2360,0,13,78
2380,0,5,88
2400,0,5,94
2420,0,0,100
2440,0,0,100
2460,0,0,100
2480,0,0,100
2500,0,1,94
2520,0,2,96
2540,0,3,96
2560,0,2,98
2580,0,9,85
2600,0,3,97
2620,0,2,96
2640,0,2,96
2660,0,6,93
2680,0,7,91
2700,0,3,96
2720,0,0,100
2740,0,1,98
2760,0,0,100
2780,0,0,100
2800,0,0,100
2820,0,0,100
2840,0,0,100
2860,0,0,100
2880,0,0,100
2900,0,0,100
2920,0,0,100
2940,0,1,99
2960,0,0,100
2980,0,0,100
3000,0,0,100
3020,5,2,93
3040,15,0,84
3060,44,3,53
3080,41,5,53
3100,25,8,63
3120,29,9,58
3140,1,0,99
3160,0,0,100
3180,0,0,100
3200,0,0,100
3220,0,0,100
