Position in alignment,Mischivirus_B - NC_026470.1,Mischivirus_B - OQ818316,NC_026470.1 - OQ818316
20,60,27,13
40,74,16,10
60,55,30,8
80,0,0,0
100,0,0,0
120,0,0,0
140,0,0,0
160,0,0,0
180,0,0,0
200,0,0,0
220,0,0,0
240,0,0,0
260,15,68,0
280,19,59,1
300,18,69,0
320,18,73,0
340,13,76,0
360,49,38,1
380,38,48,3
400,46,40,2
420,47,46,0
440,41,45,0
460,78,15,0
480,91,5,0
500,87,6,1
520,84,11,1
540,97,0,1
560,64,0,4
580,62,0,0
600,61,0,8
620,66,0,12
640,58,0,6
660,48,0,23
680,0,0,52
700,0,0,0
720,0,0,0
740,0,0,0
760,0,0,0
780,0,0,0
800,59,0,5
820,62,0,3
840,57,0,11
860,27,30,10
880,27,34,9
900,26,26,14
920,31,27,15
940,24,36,13
960,5,66,19
980,7,25,66
1000,0,20,80
1020,2,8,90
1040,0,0,100
1060,0,0,100
1080,0,0,100
1100,0,0,100
1120,0,0,100
1140,0,0,100
1160,0,0,100
1180,0,1,99
1200,1,0,99
1220,0,1,99
1240,1,7,89
1260,2,19,79
1280,6,16,78
1300,3,7,90
1320,2,15,83
1340,6,7,85
1360,9,1,82
1380,13,4,80
1400,20,6,70
1420,19,13,66
1440,43,4,50
1460,77,4,16
1480,81,3,16
1500,91,4,5
1520,92,3,5
1540,88,9,3
1560,78,21,1
1580,80,14,6
1600,55,15,30
1620,58,15,27
1640,53,19,27
1660,67,19,14
1680,72,23,4
1700,54,18,28
1720,63,30,7
1740,66,22,12
1760,77,17,6
1780,91,9,0
1800,97,3,0
1820,88,12,0
1840,89,11,0
1860,82,17,0
1880,49,41,10
1900,54,40,6
1920,68,18,13
1940,48,46,5
1960,38,43,18
1980,23,48,27
2000,43,27,29
2020,43,27,29
2040,53,25,21
2060,63,28,7
2080,92,3,4
2100,93,7,0
2120,77,19,3
2140,87,9,2
2160,66,31,2
2180,39,57,4
2200,24,75,0
2220,57,40,1
2240,41,58,0
2260,76,23,1
2280,51,49,0
2300,81,17,2
2320,81,14,5
2340,77,18,5
2360,70,25,5
2380,94,3,3
2400,86,11,3
2420,69,23,5
2440,55,34,5
2460,34,55,4
2480,17,77,2
2500,2,96,0
2520,21,72,2
2540,28,60,8
2560,42,50,1
2580,24,72,0
2600,31,58,4
2620,72,27,0
2640,91,9,0
2660,100,0,0
2680,97,2,1
2700,100,0,0
2720,96,3,1
2740,99,1,0
2760,96,1,3
2780,81,1,18
2800,89,2,9
2820,71,22,7
2840,81,15,4
2860,62,38,0
2880,81,14,5
2900,60,38,2
2920,65,30,4
2940,12,84,4
2960,42,55,3
2980,42,57,0
3000,7,92,0
3020,22,75,0
3040,23,77,0
3060,7,90,0
3080,10,87,0
3100,14,83,0
3120,32,64,0
3140,32,65,0
3160,34,61,0
3180,29,65,0
3200,78,19,0
3220,65,32,0
3240,54,40,1
3260,75,9,13
3280,52,35,9
3300,46,38,11
3320,28,51,18
3340,37,47,15
3360,25,44,30
3380,13,46,41
3400,6,64,30
3420,7,63,30
3440,22,53,25
3460,23,74,3
3480,0,88,12
3500,0,97,3
3520,1,89,10
3540,0,83,17
3560,0,88,12
3580,19,67,14
3600,46,42,12
3620,34,63,3
3640,28,70,1
3660,29,71,0
3680,73,26,0
3700,76,24,0
3720,91,9,0
3740,90,10,0
3760,63,37,0
3780,66,34,0
3800,33,67,0
3820,32,67,1
3840,28,71,1
3860,21,78,1
3880,16,84,0
3900,44,51,5
3920,7,80,12
3940,1,86,13
3960,1,83,16
3980,0,65,35
4000,1,75,24
4020,6,88,6
4040,7,84,9
4060,13,71,16
4080,7,79,14
4100,14,71,15
4120,31,56,12
4140,55,28,17
4160,66,24,10
4180,62,38,0
4200,52,44,4
4220,71,27,2
4240,45,47,8
4260,18,65,17
4280,34,42,23
4300,26,63,11
4320,7,92,1
4340,10,89,1
4360,4,96,0
4380,3,93,4
4400,4,95,1
4420,13,86,1
4440,8,91,0
4460,17,83,0
4480,7,93,0
4500,25,74,1
4520,55,41,3
4540,50,45,5
4560,46,53,0
4580,67,28,5
4600,39,57,4
4620,52,48,0
4640,55,45,0
4660,51,49,0
4680,59,37,3
4700,31,65,4
4720,21,76,3
4740,22,75,3
4760,11,84,2
4780,3,95,1
4800,18,76,4
4820,15,68,16
4840,3,57,40
4860,8,56,36
4880,11,42,47
4900,27,50,23
4920,18,31,51
4940,11,64,25
4960,16,5,78
4980,8,1,90
5000,8,2,90
5020,25,5,68
5040,55,3,42
5060,53,4,42
5080,53,13,33
5100,39,4,57
5120,62,2,35
5140,55,1,44
5160,83,5,12
5180,59,2,39
5200,49,4,47
5220,56,3,41
5240,73,8,19
5260,93,0,7
5280,90,0,10
5300,92,1,7
5320,79,10,11
5340,90,6,4
5360,88,2,10
5380,92,8,0
5400,91,8,0
5420,90,10,0
5440,82,15,0
5460,24,71,1
5480,54,38,0
5500,51,43,0
5520,86,11,0
5540,88,10,1
5560,69,30,0
5580,63,32,1
5600,70,24,6
5620,90,7,0
5640,85,12,0
5660,98,0,1
5680,90,4,4
5700,75,7,15
5720,47,22,27
5740,11,46,38
5760,12,61,27
5780,20,39,36
5800,45,22,33
5820,68,10,20
5840,83,4,12
5860,96,3,1
5880,100,0,0
5900,97,2,0
5920,100,0,0
5940,100,0,0
5960,100,0,0
5980,100,0,0
6000,99,1,0
6020,90,10,0
6040,78,17,4
6060,41,41,18
6080,45,31,23
6100,70,12,18
6120,71,18,11
6140,63,20,16
6160,92,1,7
6180,97,0,2
6200,99,0,1
6220,97,1,2
6240,100,0,0
6260,99,0,1
6280,100,0,0
6300,99,0,1
6320,99,0,1
6340,100,0,0
6360,94,4,2
6380,99,1,0
6400,91,2,7
6420,99,0,1
6440,95,0,5
6460,95,3,2
6480,80,14,5
6500,66,24,10
6520,77,16,7
6540,73,7,20
6560,83,3,14
6580,71,3,26
6600,87,2,11
6620,84,0,16
6640,71,1,28
6660,52,1,47
6680,44,0,55
6700,58,0,41
6720,34,0,66
6740,55,0,45
6760,70,5,22
6780,82,2,12
6800,33,2,64
6820,42,8,48
6840,49,16,32
6860,77,6,14
6880,81,11,7
6900,92,6,1
6920,91,7,1
6940,90,3,6
6960,88,2,10
6980,67,13,16
7000,78,8,12
7020,64,10,23
7040,56,17,23
7060,43,15,41
7080,28,17,53
7100,15,42,43
7120,10,52,38
7140,9,71,20
7160,16,46,38
7180,16,55,29
7200,17,81,1
7220,37,60,3
7240,44,50,6
7260,66,34,0
7280,38,60,1
7300,36,64,0
7320,38,61,1
7340,70,29,1
7360,58,30,5
7380,56,34,3
7400,60,26,3
7420,72,24,2
7440,60,33,0
7460,27,65,2
7480,51,42,0
7500,61,35,0
7520,64,33,0
7540,30,61,2
7560,16,80,0
7580,17,80,1
7600,27,65,2
7620,5,93,0
7640,4,94,0
7660,4,77,18
7680,4,72,21
7700,5,90,5
7720,10,88,1
7740,2,93,0
7760,2,95,0
7780,6,93,0
7800,3,96,1
7820,2,97,1
7840,9,70,19
7860,9,81,10
7880,5,80,13
7900,0,91,9
7920,0,76,24
7940,0,50,50
7960,0,33,66
7980,0,25,75
8000,0,78,22
8020,0,74,26
8040,0,94,6
8060,0,100,0
8080,0,100,0
8100,0,100,0
8120,0,99,1
8140,0,100,0
8160,1,99,0
8180,6,93,0
8200,14,81,1
8220,23,70,1
8240,42,45,6
8260,42,43,8
8280,34,54,10
8300,51,34,12
8320,21,57,17
8340,32,37,27
8360,16,66,14
8380,17,70,9
8400,9,80,10
8420,3,93,4
8440,1,94,4
8460,3,92,5
8480,29,66,3
8500,13,80,0
8520,60,34,1
8540,52,48,0
8560,53,47,0
8580,42,58,0
8600,73,25,2
8620,86,4,9
8640,84,0,16
8660,85,0,15
8680,87,0,13
8700,92,0,8
8720,82,1,17
8740,88,1,11
8760,81,0,19
8780,92,0,8
8800,96,0,4
8820,100,0,0
8840,95,2,3
8860,97,2,1
8880,95,3,2
