accession,Position,Coverage,rPM,virus,species,type
PP766449,1,1,0.01381559,Eidolon dupreanum kobuvirus,Eidolon dupreanum,partial
PP766449,2,4,0.055262358,Eidolon dupreanum kobuvirus,Eidolon dupreanum,partial
PP766449,3,11,0.151971485,Eidolon dupreanum kobuvirus,Eidolon dupreanum,partial
PP766449,4,14,0.193418253,Eidolon dupreanum kobuvirus,Eidolon dupreanum,partial
PP766449,5,23,0.317758559,Eidolon dupreanum kobuvirus,Eidolon dupreanum,partial
PP766449,6,32,0.442098864,Eidolon dupreanum kobuvirus,Eidolon dupreanum,partial
PP766449,7,36,0.497361222,Eidolon dupreanum kobuvirus,Eidolon dupreanum,partial
PP766449,8,46,0.635517118,Eidolon dupreanum kobuvirus,Eidolon dupreanum,partial
PP766449,9,65,0.898013318,Eidolon dupreanum kobuvirus,Eidolon dupreanum,partial
PP766449,10,81,1.11906275,Eidolon dupreanum kobuvirus,Eidolon dupreanum,partial
PP766449,11,97,1.340112183,Eidolon dupreanum kobuvirus,Eidolon dupreanum,partial
PP766449,12,102,1.40919013,Eidolon dupreanum kobuvirus,Eidolon dupreanum,partial
PP766449,13,115,1.588792794,Eidolon dupreanum kobuvirus,Eidolon dupreanum,partial
PP766449,14,138,1.906551353,Eidolon dupreanum kobuvirus,Eidolon dupreanum,partial
PP766449,15,278,3.840733884,Eidolon dupreanum kobuvirus,Eidolon dupreanum,partial
PP766449,16,303,4.186123622,Eidolon dupreanum kobuvirus,Eidolon dupreanum,partial
PP766449,17,418,5.774916416,Eidolon dupreanum kobuvirus,Eidolon dupreanum,partial
PP766449,18,452,6.244646459,Eidolon dupreanum kobuvirus,Eidolon dupreanum,partial
PP766449,19,467,6.451880302,Eidolon dupreanum kobuvirus,Eidolon dupreanum,partial
PP766449,20,494,6.824901219,Eidolon dupreanum kobuvirus,Eidolon dupreanum,partial
PP766449,21,517,7.142659777,Eidolon dupreanum kobuvirus,Eidolon dupreanum,partial
