accession,Position,Coverage,rPM,virus,species,type
OQ818342,1,1,0.025435584,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
OQ818342,2,1,0.025435584,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
OQ818342,3,1,0.025435584,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
OQ818342,4,1,0.025435584,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
OQ818342,5,1,0.025435584,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
OQ818342,6,1,0.025435584,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
OQ818342,7,1,0.025435584,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
OQ818342,8,1,0.025435584,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
OQ818342,9,1,0.025435584,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
OQ818342,10,1,0.025435584,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
OQ818342,11,1,0.025435584,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
OQ818342,12,1,0.025435584,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
OQ818342,13,1,0.025435584,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
OQ818342,14,1,0.025435584,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
OQ818342,15,1,0.025435584,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
OQ818342,16,1,0.025435584,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
OQ818342,17,1,0.025435584,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
OQ818342,18,1,0.025435584,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
OQ818342,19,1,0.025435584,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
OQ818342,20,1,0.025435584,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
OQ818342,21,1,0.025435584,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
OQ818342,22,1,0.025435584,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
OQ818342,23,1,0.025435584,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
OQ818342,24,1,0.025435584,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
OQ818342,25,1,0.025435584,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
OQ818342,26,1,0.025435584,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
OQ818342,27,1,0.025435584,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
OQ818342,28,1,0.025435584,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
OQ818342,29,1,0.025435584,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
OQ818342,30,1,0.025435584,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
OQ818342,31,1,0.025435584,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
OQ818342,32,1,0.025435584,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
