accession,Position,Coverage,rPM,virus,species,type
PP766466,1,2,0.131010088,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
PP766466,2,2,0.131010088,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
PP766466,3,2,0.131010088,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
PP766466,4,2,0.131010088,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
PP766466,5,2,0.131010088,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
PP766466,6,2,0.131010088,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
PP766466,7,2,0.131010088,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
PP766466,8,2,0.131010088,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
PP766466,9,2,0.131010088,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
PP766466,10,4,0.262020176,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
PP766466,11,4,0.262020176,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
PP766466,12,4,0.262020176,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
PP766466,13,4,0.262020176,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
PP766466,14,4,0.262020176,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
PP766466,15,4,0.262020176,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
PP766466,16,4,0.262020176,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
PP766466,17,4,0.262020176,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
PP766466,18,4,0.262020176,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
PP766466,19,4,0.262020176,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
PP766466,20,4,0.262020176,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
PP766466,21,4,0.262020176,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
PP766466,22,4,0.262020176,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
PP766466,23,4,0.262020176,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
PP766466,24,4,0.262020176,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
PP766466,25,4,0.262020176,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
PP766466,26,4,0.262020176,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
PP766466,27,4,0.262020176,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
PP766466,28,4,0.262020176,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
PP766466,29,4,0.262020176,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
PP766466,30,4,0.262020176,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
PP766466,31,4,0.262020176,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
PP766466,32,4,0.262020176,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial
