accession,Position,Coverage,rPM,virus,species,type
OQ818340,1,2,0.022482267,Eidolon dupreanum sapovirus 2,Eidolon dupreanum,partial
OQ818340,2,2,0.022482267,Eidolon dupreanum sapovirus 2,Eidolon dupreanum,partial
OQ818340,3,2,0.022482267,Eidolon dupreanum sapovirus 2,Eidolon dupreanum,partial
OQ818340,4,2,0.022482267,Eidolon dupreanum sapovirus 2,Eidolon dupreanum,partial
OQ818340,5,2,0.022482267,Eidolon dupreanum sapovirus 2,Eidolon dupreanum,partial
OQ818340,6,2,0.022482267,Eidolon dupreanum sapovirus 2,Eidolon dupreanum,partial
OQ818340,7,2,0.022482267,Eidolon dupreanum sapovirus 2,Eidolon dupreanum,partial
OQ818340,8,2,0.022482267,Eidolon dupreanum sapovirus 2,Eidolon dupreanum,partial
OQ818340,9,2,0.022482267,Eidolon dupreanum sapovirus 2,Eidolon dupreanum,partial
OQ818340,10,2,0.022482267,Eidolon dupreanum sapovirus 2,Eidolon dupreanum,partial
OQ818340,11,2,0.022482267,Eidolon dupreanum sapovirus 2,Eidolon dupreanum,partial
OQ818340,12,2,0.022482267,Eidolon dupreanum sapovirus 2,Eidolon dupreanum,partial
OQ818340,13,2,0.022482267,Eidolon dupreanum sapovirus 2,Eidolon dupreanum,partial
OQ818340,14,2,0.022482267,Eidolon dupreanum sapovirus 2,Eidolon dupreanum,partial
OQ818340,15,2,0.022482267,Eidolon dupreanum sapovirus 2,Eidolon dupreanum,partial
OQ818340,16,2,0.022482267,Eidolon dupreanum sapovirus 2,Eidolon dupreanum,partial
OQ818340,17,2,0.022482267,Eidolon dupreanum sapovirus 2,Eidolon dupreanum,partial
OQ818340,18,2,0.022482267,Eidolon dupreanum sapovirus 2,Eidolon dupreanum,partial
OQ818340,19,2,0.022482267,Eidolon dupreanum sapovirus 2,Eidolon dupreanum,partial
OQ818340,20,2,0.022482267,Eidolon dupreanum sapovirus 2,Eidolon dupreanum,partial
OQ818340,21,2,0.022482267,Eidolon dupreanum sapovirus 2,Eidolon dupreanum,partial
OQ818340,22,2,0.022482267,Eidolon dupreanum sapovirus 2,Eidolon dupreanum,partial
OQ818340,23,2,0.022482267,Eidolon dupreanum sapovirus 2,Eidolon dupreanum,partial
OQ818340,24,2,0.022482267,Eidolon dupreanum sapovirus 2,Eidolon dupreanum,partial
OQ818340,25,2,0.022482267,Eidolon dupreanum sapovirus 2,Eidolon dupreanum,partial
OQ818340,26,2,0.022482267,Eidolon dupreanum sapovirus 2,Eidolon dupreanum,partial
OQ818340,27,2,0.022482267,Eidolon dupreanum sapovirus 2,Eidolon dupreanum,partial
OQ818340,28,2,0.022482267,Eidolon dupreanum sapovirus 2,Eidolon dupreanum,partial
OQ818340,29,2,0.022482267,Eidolon dupreanum sapovirus 2,Eidolon dupreanum,partial
OQ818340,30,2,0.022482267,Eidolon dupreanum sapovirus 2,Eidolon dupreanum,partial
OQ818340,31,2,0.022482267,Eidolon dupreanum sapovirus 2,Eidolon dupreanum,partial
OQ818340,32,2,0.022482267,Eidolon dupreanum sapovirus 2,Eidolon dupreanum,partial
OQ818340,33,2,0.022482267,Eidolon dupreanum sapovirus 2,Eidolon dupreanum,partial
OQ818340,34,2,0.022482267,Eidolon dupreanum sapovirus 2,Eidolon dupreanum,partial
OQ818340,35,2,0.022482267,Eidolon dupreanum sapovirus 2,Eidolon dupreanum,partial
