accession,Position,Coverage,rPM,virus,species,type
PP766460,1,1,0.011241134,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,2,1,0.011241134,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,3,1,0.011241134,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,4,1,0.011241134,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,5,1,0.011241134,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,6,1,0.011241134,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,7,1,0.011241134,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,8,1,0.011241134,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,9,1,0.011241134,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,10,1,0.011241134,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,11,4,0.044964534,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,12,4,0.044964534,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,13,4,0.044964534,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,14,4,0.044964534,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,15,4,0.044964534,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,16,4,0.044964534,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,17,4,0.044964534,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,18,4,0.044964534,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,19,4,0.044964534,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,20,4,0.044964534,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,21,4,0.044964534,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,22,4,0.044964534,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,23,4,0.044964534,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,24,4,0.044964534,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,25,4,0.044964534,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,26,4,0.044964534,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,27,4,0.044964534,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,28,4,0.044964534,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,29,4,0.044964534,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,30,4,0.044964534,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,31,4,0.044964534,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,32,4,0.044964534,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,33,4,0.044964534,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,34,5,0.056205668,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,35,5,0.056205668,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,36,5,0.056205668,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,37,5,0.056205668,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,38,5,0.056205668,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,39,5,0.056205668,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,40,5,0.056205668,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,41,5,0.056205668,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,42,5,0.056205668,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,43,5,0.056205668,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,44,5,0.056205668,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,45,5,0.056205668,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,46,5,0.056205668,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,47,5,0.056205668,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,48,5,0.056205668,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,49,5,0.056205668,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,50,5,0.056205668,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,51,5,0.056205668,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,52,5,0.056205668,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,53,5,0.056205668,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,54,5,0.056205668,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,55,5,0.056205668,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,56,5,0.056205668,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,57,5,0.056205668,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,58,5,0.056205668,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,59,5,0.056205668,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,60,6,0.067446801,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,61,6,0.067446801,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,62,6,0.067446801,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,63,6,0.067446801,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,64,6,0.067446801,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,65,6,0.067446801,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,66,6,0.067446801,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,67,6,0.067446801,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,68,6,0.067446801,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
PP766460,69,6,0.067446801,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial
