pointer,NC_028366 - KT452729,NC_028366 - PP766457,KT452729 - PP766457
20,0,0,0
40,0,0,0
60,0,0,0
80,0,0,0
100,9,86,0
120,7,90,0
140,8,87,0
160,5,90,0
180,8,88,0
200,5,92,0
220,2,92,0
240,16,81,0
260,0,100,0
280,4,95,0
300,24,76,0
320,8,92,0
340,0,100,0
360,0,100,0
380,0,100,0
400,0,100,0
420,0,100,0
440,0,100,0
460,0,100,0
480,0,100,0
500,0,100,0
520,0,100,0
540,0,100,0
560,0,100,0
580,0,100,0
600,0,100,0
620,0,100,0
640,0,100,0
660,0,100,0
680,0,100,0
700,0,100,0
720,0,100,0
740,0,100,0
760,0,100,0
780,0,100,0
800,4,96,0
820,0,100,0
840,0,100,0
860,0,100,0
880,0,100,0
900,0,100,0
920,0,100,0
940,0,100,0
960,0,100,0
980,0,100,0
1000,0,100,0
1020,0,98,1
1040,4,96,0
1060,1,98,0
1080,0,100,0
1100,0,99,0
1120,10,88,0
1140,26,61,5
1160,22,71,2
1180,7,68,12
1200,20,30,39
1220,2,65,24
1240,0,32,64
1260,0,29,68
1280,5,10,82
1300,19,6,68
1320,6,26,62
1340,11,19,60
1360,5,48,35
1380,8,61,23
1400,0,72,23
1420,0,55,40
1440,2,74,18
1460,1,72,22
1480,1,88,7
1500,2,89,7
1520,0,95,4
1540,0,98,1
1560,9,81,7
1580,2,92,4
1600,8,91,0
1620,26,69,0
1640,5,95,0
1660,0,100,0
1680,0,100,0
1700,0,100,0
1720,1,99,0
1740,0,100,0
1760,0,100,0
1780,0,100,0
1800,0,99,1
1820,0,98,1
1840,0,98,2
1860,0,92,5
1880,0,74,19
1900,1,37,58
1920,0,19,70
1940,2,6,90
1960,2,7,89
1980,0,10,86
2000,2,24,70
2020,2,24,71
2040,3,24,64
2060,14,9,68
2080,18,25,50
2100,9,62,18
2120,26,56,8
2140,7,87,3
2160,9,83,3
2180,7,89,0
2200,3,97,0
2220,0,97,1
2240,3,97,0
2260,0,100,0
2280,0,100,0
2300,0,100,0
2320,0,100,0
2340,0,100,0
2360,0,100,0
2380,0,100,0
2400,0,100,0
2420,0,100,0
2440,0,99,0
2460,3,93,0
2480,1,98,0
2500,0,100,0
2520,1,99,0
2540,0,100,0
2560,0,100,0
2580,0,100,0
2600,0,100,0
2620,0,100,0
2640,0,100,0
2660,0,100,0
2680,0,100,0
2700,0,100,0
2720,0,100,0
2740,0,100,0
2760,0,98,1
2780,0,100,0
2800,0,100,0
2820,0,100,0
2840,0,100,0
2860,0,100,0
2880,0,100,0
2900,1,99,0
2920,0,100,0
2940,0,100,0
2960,0,100,0
2980,0,100,0
3000,0,100,0
3020,0,100,0
3040,0,100,0
3060,0,100,0
3080,0,100,0
3100,0,100,0
3120,0,100,0
3140,1,98,1
3160,0,100,0
3180,1,99,0
3200,0,100,0
3220,0,100,0
3240,0,100,0
3260,0,100,0
3280,0,100,0
3300,0,100,0
3320,0,100,0
3340,0,100,0
3360,0,100,0
3380,0,100,0
3400,0,100,0
3420,0,100,0
3440,0,100,0
3460,0,100,0
3480,0,100,0
3500,0,100,0
3520,0,100,0
3540,0,100,0
3560,0,100,0
3580,0,100,0
3600,0,100,0
3620,0,100,0
3640,0,100,0
3660,0,100,0
3680,0,100,0
3700,0,100,0
3720,0,100,0
3740,0,100,0
3760,0,100,0
3780,0,100,0
3800,0,100,0
3820,0,100,0
3840,0,100,0
3860,0,100,0
3880,0,100,0
3900,0,100,0
3920,0,100,0
3940,0,100,0
3960,0,100,0
3980,0,100,0
4000,0,100,0
4020,0,100,0
4040,0,100,0
4060,0,100,0
4080,0,100,0
4100,0,100,0
4120,0,100,0
4140,0,100,0
4160,0,100,0
4180,0,100,0
4200,0,100,0
4220,0,100,0
4240,0,100,0
4260,0,100,0
4280,0,95,4
4300,0,100,0
4320,0,100,0
4340,0,100,0
4360,0,100,0
4380,0,100,0
4400,0,100,0
4420,0,100,0
4440,0,100,0
4460,0,100,0
4480,0,100,0
4500,0,100,0
4520,0,100,0
4540,0,100,0
4560,0,100,0
4580,0,100,0
4600,0,100,0
4620,0,100,0
4640,0,100,0
4660,0,100,0
4680,0,99,1
4700,1,94,2
4720,3,94,0
4740,2,98,0
4760,0,100,0
4780,2,98,0
4800,0,100,0
4820,1,99,0
4840,4,94,0
4860,1,98,0
4880,7,85,4
4900,3,87,5
4920,1,93,5
4940,0,90,4
4960,0,95,3
4980,0,99,1
5000,0,99,0
5020,0,100,0
5040,0,100,0
5060,0,100,0
5080,0,100,0
5100,0,100,0
5120,0,100,0
5140,0,100,0
5160,0,100,0
5180,0,100,0
5200,0,100,0
5220,0,100,0
5240,0,100,0
5260,0,100,0
5280,0,100,0
5300,0,100,0
5320,0,100,0
5340,0,100,0
5360,0,100,0
5380,0,100,0
5400,0,100,0
5420,0,100,0
5440,0,100,0
5460,0,100,0
5480,0,100,0
5500,0,100,0
5520,0,100,0
5540,0,100,0
5560,0,100,0
5580,0,100,0
5600,0,100,0
5620,13,86,1
5640,11,88,0
5660,7,92,1
5680,1,98,0
5700,0,100,0
5720,1,98,0
5740,0,100,0
5760,0,100,0
5780,0,100,0
5800,0,100,0
5820,0,100,0
5840,0,100,0
5860,0,100,0
5880,0,100,0
5900,0,100,0
5920,0,100,0
5940,0,100,0
5960,0,100,0
5980,0,100,0
6000,0,100,0
6020,0,100,0
6040,0,100,0
6060,0,100,0
6080,0,100,0
6100,0,100,0
6120,0,99,0
6140,0,100,0
6160,0,100,0
6180,0,99,0
6200,0,100,0
6220,0,100,0
6240,1,99,0
6260,0,100,0
6280,0,100,0
6300,0,100,0
6320,0,100,0
6340,0,100,0
6360,0,100,0
6380,0,100,0
6400,0,100,0
6420,0,100,0
6440,0,100,0
6460,0,100,0
6480,0,100,0
6500,0,100,0
6520,0,100,0
6540,0,100,0
6560,0,100,0
6580,0,100,0
6600,0,100,0
6620,0,100,0
6640,0,100,0
6660,0,100,0
6680,0,100,0
6700,0,97,2
6720,1,94,4
6740,13,86,0
6760,5,95,0
6780,5,88,5
6800,7,78,7
