pointer,r_aegypticus_kenya - PP766459,r_aegypticus_kenya - e_helvum_cameroon,PP766459 - e_helvum_cameroon
20,17,8,74
40,4,10,86
60,1,5,93
80,1,5,93
100,1,3,96
120,1,3,96
140,1,4,95
160,0,9,91
180,4,18,78
200,2,16,82
220,1,19,78
240,2,32,66
260,6,77,16
280,1,97,1
300,2,96,1
320,3,97,0
340,2,98,0
360,0,99,0
380,2,97,1
400,1,98,1
420,0,100,0
440,0,100,0
460,3,93,4
480,0,71,29
500,0,74,26
520,0,88,12
540,1,91,8
560,1,94,4
580,1,92,7
600,2,88,9
620,2,94,4
640,23,67,9
660,4,96,0
680,11,88,1
700,9,91,0
720,0,99,1
740,0,100,0
760,1,81,17
780,1,86,13
800,0,97,3
820,1,49,50
840,0,76,23
860,0,51,49
880,0,50,50
900,0,61,38
920,0,64,34
940,1,71,27
960,7,75,18
980,11,52,37
1000,7,63,30
1020,4,76,20
1040,2,53,44
1060,0,48,52
1080,0,68,32
1100,1,30,69
1120,0,14,86
1140,0,45,54
1160,0,52,48
1180,0,65,35
1200,0,92,8
1220,0,93,7
1240,0,94,6
1260,1,96,3
1280,2,90,8
1300,0,95,5
1320,0,100,0
1340,0,99,1
1360,0,100,0
1380,0,99,1
1400,0,100,0
1420,0,100,0
1440,0,100,0
1460,0,100,0
1480,0,100,0
1500,0,100,0
1520,0,100,0
1540,0,100,0
1560,0,100,0
1580,0,100,0
1600,0,95,0
1620,0,95,0
1640,0,100,0
1660,0,100,0
1680,0,100,0
1700,0,100,0
1720,0,100,0
1740,0,99,0
1760,0,100,0
1780,0,100,0
1800,0,100,0
1820,0,100,0
1840,0,100,0
1860,0,100,0
1880,0,100,0
1900,0,100,0
1920,0,100,0
1940,0,100,0
1960,0,100,0
1980,0,99,1
2000,0,100,0
2020,0,91,9
2040,0,96,4
2060,0,87,12
2080,0,61,39
2100,1,66,33
2120,0,56,44
2140,1,47,51
2160,1,67,32
2180,0,62,37
2200,0,53,45
2220,0,21,79
2240,0,9,90
2260,0,11,89
2280,0,11,88
2300,0,22,78
2320,0,30,69
2340,0,14,86
2360,0,7,93
2380,0,6,94
2400,0,5,95
2420,0,27,71
2440,0,49,50
2460,0,9,91
2480,0,6,94
2500,0,0,100
2520,0,1,99
2540,0,0,100
2560,0,0,100
2580,0,3,96
2600,0,2,98
2620,0,5,95
2640,0,4,96
2660,0,23,77
2680,0,21,78
2700,0,56,44
2720,1,94,5
2740,0,90,9
2760,0,100,0
2780,0,96,4
2800,0,100,0
2820,0,100,0
2840,0,100,0
2860,0,100,0
2880,0,100,0
2900,0,100,0
2920,0,100,0
2940,0,100,0
2960,0,93,7
2980,0,96,4
3000,0,87,13
3020,0,92,8
3040,0,70,28
3060,0,61,39
3080,0,48,52
3100,0,24,75
3120,0,43,57
3140,0,39,61
3160,0,75,25
3180,0,75,24
3200,0,85,15
3220,0,82,18
3240,0,92,8
3260,0,92,8
3280,0,99,1
3300,0,100,0
3320,0,100,0
3340,0,100,0
3360,0,100,0
3380,0,100,0
3400,0,100,0
3420,0,92,8
3440,0,49,51
3460,0,33,67
3480,0,36,63
3500,0,45,55
3520,0,45,55
3540,0,21,79
3560,0,48,50
3580,0,72,28
3600,0,43,57
3620,0,82,18
3640,0,100,0
3660,0,100,0
3680,0,100,0
3700,0,99,1
3720,0,99,1
3740,0,100,0
3760,0,100,0
3780,0,99,1
3800,0,99,1
3820,0,98,2
3840,0,100,0
3860,0,99,1
3880,0,99,1
3900,0,100,0
3920,0,100,0
3940,0,99,1
3960,0,100,0
3980,1,93,6
4000,0,96,4
4020,4,81,15
4040,2,76,22
4060,7,93,0
4080,3,97,0
4100,18,78,3
4120,14,82,3
4140,29,65,5
4160,50,40,8
4180,5,94,0
4200,7,92,0
4220,10,86,1
4240,3,95,1
4260,1,98,0
4280,0,99,1
4300,0,100,0
4320,0,99,0
4340,1,99,0
4360,2,98,0
4380,2,98,0
4400,2,98,0
4420,4,95,1
4440,2,98,0
4460,7,93,0
4480,8,92,0
4500,14,86,0
4520,11,86,3
4540,2,91,3
4560,0,90,0
4580,0,99,0
4600,0,100,0
4620,0,100,0
4640,0,98,0
4660,0,100,0
4680,0,100,0
4700,0,100,0
4720,0,100,0
4740,0,100,0
4760,0,100,0
4780,0,100,0
4800,0,100,0
4820,0,100,0
4840,0,100,0
4860,0,100,0
4880,0,100,0
4900,0,100,0
4920,0,100,0
4940,0,100,0
4960,0,100,0
4980,0,100,0
5000,0,100,0
5020,0,100,0
5040,0,100,0
5060,0,100,0
5080,0,100,0
5100,0,100,0
5120,0,100,0
5140,0,100,0
5160,0,100,0
5180,0,99,0
5200,0,100,0
5220,0,100,0
5240,0,100,0
5260,0,100,0
5280,0,100,0
5300,0,100,0
5320,0,100,0
5340,0,100,0
5360,0,100,0
5380,0,99,1
5400,0,99,1
5420,0,100,0
5440,0,98,2
5460,1,98,1
5480,1,98,1
5500,0,97,3
5520,0,93,7
5540,0,88,11
5560,0,71,29
5580,0,55,44
5600,0,15,85
5620,0,8,92
5640,0,0,100
5660,0,0,100
5680,0,0,100
5700,0,0,100
5720,0,4,96
5740,1,0,99
5760,0,20,80
5780,0,38,62
5800,0,70,29
5820,0,96,4
5840,0,100,0
5860,0,100,0
5880,1,99,0
5900,0,100,0
5920,0,100,0
5940,0,100,0
5960,0,100,0
5980,0,100,0
6000,0,100,0
6020,0,100,0
6040,0,100,0
6060,0,100,0
6080,0,100,0
6100,0,100,0
6120,0,100,0
6140,0,100,0
6160,0,100,0
6180,0,100,0
6200,0,100,0
6220,0,100,0
6240,0,100,0
6260,0,100,0
6280,0,100,0
6300,0,100,0
6320,0,100,0
6340,0,100,0
6360,0,100,0
6380,0,100,0
6400,0,99,1
6420,0,99,1
6440,0,100,0
6460,0,99,1
6480,0,98,1
6500,0,99,1
6520,0,92,8
6540,0,98,2
6560,0,96,4
6580,0,94,6
6600,0,100,0
6620,0,95,5
6640,0,85,14
6660,0,44,55
6680,0,59,41
6700,2,49,48
6720,2,40,57
6740,8,49,43
6760,0,14,85
6780,3,32,65
6800,7,41,49
6820,2,74,24
6840,4,52,43
6860,0,96,4
6880,0,78,22
6900,0,93,7
