pointer,JN699046,NC_033776,OM105025
1000,24,75,1
1020,28,70,2
1040,33,57,10
1060,37,53,10
1080,27,61,12
1100,24,45,31
1120,30,51,19
1140,18,70,12
1160,6,82,12
1180,3,95,2
1200,8,69,23
1220,12,74,14
1240,7,90,3
1260,5,88,7
1280,1,97,2
1300,2,92,6
1320,2,96,2
1340,3,85,12
1360,9,89,2
1380,10,90,0
1400,10,89,1
1420,13,85,2
1440,15,84,1
1460,14,86,0
1480,1,91,8
1500,0,81,19
1520,1,89,10
1540,2,96,2
1560,0,95,5
1580,0,67,33
1600,0,66,34
1620,0,45,55
1640,1,38,61
1660,0,17,83
1680,19,11,70
1700,13,13,74
1720,23,1,76
1740,28,2,70
1760,36,1,63
1780,38,6,56
1800,27,32,41
1820,48,15,37
1840,49,12,39
1860,60,18,22
1880,41,34,25
1900,31,52,17
1920,21,72,7
1940,23,69,8
1960,9,83,8
1980,11,75,14
2000,34,17,49
2020,67,5,28
2040,57,3,40
2060,66,4,30
2080,47,17,36
2100,25,9,66
2120,26,21,53
2140,7,24,69
2160,18,18,64
2180,7,8,85
2200,11,10,79
2220,6,28,66
2240,21,21,58
2260,13,24,63
2280,41,32,27
2300,56,39,5
2320,64,34,2
2340,84,15,1
2360,79,21,0
2380,66,34,0
2400,72,27,1
2420,51,48,1
2440,37,57,6
2460,49,50,1
2480,20,79,1
2500,16,69,15
2520,20,47,33
2540,4,54,42
2560,8,46,46
2580,14,32,54
2600,30,44,26
2620,50,15,35
2640,48,18,34
2660,37,41,22
2680,54,23,23
2700,42,19,39
2720,82,5,13
2740,74,19,7
2760,66,24,10
2780,51,32,17
2800,46,25,29
2820,8,23,69
2840,5,40,55
2860,4,30,66
2880,8,28,64
2900,3,25,72
2920,3,23,74
2940,3,13,84
2960,7,21,72
2980,4,12,84
3000,6,16,78
3020,18,37,45
3040,1,15,84
3060,-1,-1,-1
3080,0,16,84
3100,-1,-1,-1
3120,-1,-1,-1
3140,-1,-1,-1
3160,-1,-1,-1
3180,0,59,41
3200,2,35,63
3220,2,52,46
3240,3,52,45
3260,14,43,43
3280,3,21,76
3300,6,17,77
3320,7,19,74
3340,4,11,85
3360,5,10,85
3380,14,2,84
3400,32,1,67
3420,42,2,56
3440,70,0,30
3460,54,7,39
3480,81,3,16
3500,85,4,11
3520,78,5,17
3540,84,3,13
3560,95,3,2
3580,99,1,0
3600,86,2,12
3620,84,2,14
3640,49,5,46
3660,67,4,29
3680,88,1,11
3700,87,0,13
3720,77,0,23
3740,66,1,33
3760,45,0,55
3780,57,2,41
3800,69,4,27
3820,70,3,27
3840,72,6,22
3860,45,3,52
3880,24,15,61
3900,28,16,56
3920,27,24,49
3940,28,21,51
3960,46,39,15
3980,28,7,65
4000,9,4,87
4020,18,1,81
4040,25,2,73
4060,41,2,57
4080,52,2,46
4100,72,5,23
4120,67,0,33
4140,58,0,42
4160,36,4,60
4180,58,11,31
4200,53,31,16
4220,56,21,23
4240,53,21,26
4260,38,51,11
4280,18,69,13
4300,12,53,35
4320,12,65,23
4340,45,31,24
4360,50,32,18
4380,67,3,30
4400,54,1,45
4420,57,1,42
4440,79,0,21
4460,68,0,32
4480,77,0,23
4500,87,0,13
4520,97,0,3
4540,74,4,22
4560,85,9,6
4580,70,28,2
4600,75,25,0
4620,79,21,0
4640,20,80,0
4660,2,98,0
4680,3,97,0
4700,4,96,0
4720,7,93,0
4740,2,98,0
4760,4,82,14
4780,1,58,41
4800,1,60,39
4820,3,47,50
4840,0,26,74
4860,2,18,80
4880,3,31,66
4900,2,35,63
4920,1,25,74
4940,5,33,62
4960,9,46,45
4980,51,27,22
5000,49,19,32
5020,46,33,21
5040,72,13,15
5060,74,10,16
5080,56,5,39
5100,91,1,8
5120,81,18,1
5140,76,21,3
5160,66,34,0
5180,67,33,0
5200,70,30,0
5220,80,19,1
5240,60,39,1
5260,75,24,1
5280,74,19,7
5300,61,37,2
5320,67,28,5
5340,71,25,4
5360,86,13,1
5380,66,28,6
5400,69,27,4
5420,50,43,7
5440,79,16,5
5460,67,29,4
5480,91,9,0
5500,86,13,1
5520,94,6,0
5540,71,24,5
5560,73,15,12
5580,64,29,7
5600,79,11,10
5620,93,4,3
5640,64,20,16
5660,40,30,30
5680,32,32,36
5700,25,31,44
5720,8,41,51
5740,24,40,36
5760,23,39,38
5780,24,50,26
5800,3,93,4
5820,3,87,10
5840,9,87,4
5860,20,64,16
5880,36,46,18
5900,55,37,8
5920,50,45,5
5940,32,54,14
5960,42,50,8
5980,29,53,18
6000,42,55,3
6020,55,44,1
6040,47,52,1
6060,7,93,0
6080,3,97,0
6100,1,99,0
6120,6,94,0
6140,1,99,0
6160,4,96,0
6180,3,97,0
6200,2,98,0
6220,0,100,0
6240,0,100,0
6260,6,94,0
6280,3,97,0
6300,13,87,0
6320,3,93,4
6340,29,48,23
6360,36,52,12
