pointer,KT452729,NC_028366,NC_038313,NC_038314
100,-1,-1,-1,-1
120,-1,-1,-1,-1
140,-1,-1,-1,-1
160,-1,-1,-1,-1
180,-1,-1,-1,-1
200,10,90,0,0
220,42,57,0,0
240,60,40,0,0
260,46,45,0,0
280,44,51,0,0
300,32,66,0,0
320,26,72,0,0
340,10,90,0,0
360,5,95,0,0
380,1,98,0,0
400,6,87,0,0
420,10,80,0,0
440,5,90,0,0
460,11,80,1,0
480,12,77,2,1
500,18,73,1,1
520,7,73,3,4
540,25,31,2,14
560,15,65,1,4
580,36,39,1,1
600,15,74,0,2
620,31,62,0,3
640,31,54,0,0
660,30,40,0,1
680,23,45,0,0
700,20,46,0,0
720,7,72,0,0
740,6,91,0,0
760,28,57,0,0
780,6,94,0,0
800,4,90,0,0
820,8,87,0,0
840,0,99,0,0
860,0,98,1,0
880,0,96,2,0
900,0,99,0,0
920,0,99,0,0
940,0,100,0,0
960,0,100,0,0
980,0,97,0,1
1000,0,93,1,2
1020,1,98,0,1
1040,1,91,0,0
1060,2,89,1,0
1080,2,94,0,0
1100,3,96,0,0
1120,1,97,0,0
1140,5,75,0,1
1160,7,57,1,1
1180,11,45,0,2
1200,7,80,0,0
1220,25,40,1,5
1240,28,45,2,5
1260,32,37,2,4
1280,41,29,6,5
1300,35,10,8,17
1320,41,3,3,32
1340,32,5,5,10
1360,8,8,8,40
1380,2,28,15,22
1400,5,27,15,18
1420,1,73,1,11
1440,6,68,1,15
1460,7,52,1,17
1480,0,49,0,41
1500,3,59,0,32
1520,0,89,0,5
1540,1,91,0,5
1560,2,79,2,8
1580,5,85,0,4
1600,2,73,2,7
1620,0,48,13,1
1640,0,37,10,17
1660,0,56,9,10
1680,0,72,11,2
1700,0,88,7,0
1720,0,90,6,0
1740,0,87,6,0
1760,0,90,7,0
1780,0,75,23,0
1800,0,86,14,0
1820,10,85,4,0
1840,5,89,5,0
1860,3,85,7,0
1880,11,72,15,0
1900,25,65,7,0
1920,30,57,4,0
1940,45,30,17,0
1960,20,47,24,0
1980,30,59,8,0
2000,26,73,0,0
2020,12,78,8,0
2040,8,81,6,0
2060,18,71,6,0
2080,25,52,9,0
2100,20,66,7,0
2120,3,83,7,0
2140,4,94,0,0
2160,2,98,0,0
2180,2,95,0,0
2200,2,95,1,0
2220,0,100,0,0
2240,0,99,0,0
2260,0,99,0,0
2280,0,100,0,0
2300,0,100,0,0
2320,0,100,0,0
2340,0,98,2,0
2360,0,99,1,0
2380,0,100,0,0
2400,0,99,0,0
2420,0,92,8,0
2440,0,97,2,0
2460,0,97,1,0
2480,0,95,1,0
2500,0,88,0,1
2520,0,98,0,0
2540,0,99,1,0
2560,0,100,0,0
2580,0,100,0,0
2600,0,100,0,0
2620,0,100,0,0
2640,0,100,0,0
2660,0,100,0,0
2680,0,100,0,0
2700,0,100,0,0
2720,0,100,0,0
2740,0,100,0,0
2760,0,100,0,0
2780,0,100,0,0
2800,1,97,0,1
2820,0,100,0,0
2840,3,95,0,0
2860,3,91,2,1
2880,1,88,4,1
2900,1,89,4,0
2920,3,75,3,4
2940,1,91,1,1
2960,2,76,3,1
2980,1,78,4,7
3000,0,54,6,19
3020,0,44,11,28
3040,1,62,3,28
3060,3,95,0,2
3080,0,100,0,0
3100,0,99,0,1
3120,0,100,0,0
3140,4,92,0,0
3160,5,87,0,0
3180,9,90,0,0
3200,1,98,0,0
3220,4,96,0,0
3240,2,97,0,0
3260,1,96,0,0
3280,6,79,0,0
3300,11,71,1,0
3320,8,80,0,0
3340,12,83,0,0
3360,24,68,0,0
3380,12,78,0,0
3400,5,94,0,0
3420,11,80,0,0
3440,12,71,0,0
3460,2,84,0,0
3480,13,74,0,2
3500,2,87,0,3
3520,0,84,0,1
3540,0,91,0,0
3560,3,80,0,0
3580,1,90,0,2
3600,6,93,0,0
3620,7,89,0,0
3640,4,93,0,1
3660,16,84,0,0
3680,8,92,0,0
3700,12,88,0,0
3720,4,96,0,0
3740,4,96,0,0
3760,3,97,0,0
3780,1,98,0,0
3800,2,98,0,0
3820,1,97,0,0
3840,3,97,0,0
3860,12,88,0,0
3880,10,90,0,0
3900,19,81,0,0
3920,22,78,0,0
3940,18,78,0,0
3960,8,90,0,0
3980,4,96,0,0
4000,3,97,0,0
4020,11,89,0,0
4040,15,85,0,0
4060,6,93,0,0
4080,2,97,0,0
4100,1,99,0,0
4120,6,90,0,0
4140,6,85,0,0
4160,15,79,0,0
4180,19,56,0,0
4200,14,80,0,0
4220,3,80,0,0
4240,3,79,0,1
4260,9,75,0,0
4280,21,58,0,0
4300,29,27,0,0
4320,5,51,0,0
4340,4,79,0,0
4360,9,76,0,0
4380,1,90,0,0
4400,9,79,0,0
4420,3,91,0,0
4440,0,98,0,0
4460,0,100,0,0
4480,0,100,0,0
4500,0,100,0,0
4520,0,100,0,0
4540,0,100,0,0
4560,0,99,0,0
4580,1,99,0,0
4600,0,100,0,0
4620,0,100,0,0
4640,0,99,0,0
4660,1,97,0,0
4680,0,98,0,0
4700,0,97,0,0
4720,0,97,0,0
4740,0,99,0,0
4760,0,100,0,0
4780,0,92,2,0
4800,0,88,0,0
4820,0,99,1,0
4840,0,96,1,0
4860,0,95,0,0
4880,0,98,1,0
4900,0,94,0,0
4920,0,50,1,0
4940,0,33,6,6
4960,3,23,8,25
4980,0,71,5,11
5000,6,49,7,18
5020,7,41,19,9
5040,5,70,2,2
5060,0,77,5,0
5080,0,83,1,0
5100,0,87,0,0
5120,1,78,0,0
5140,0,83,0,0
5160,0,98,0,0
5180,0,100,0,0
5200,0,100,0,0
5220,0,99,0,0
5240,0,100,0,0
5260,0,100,0,0
5280,0,100,0,0
5300,0,100,0,0
5320,0,100,0,0
5340,1,99,0,0
5360,0,99,0,0
5380,0,100,0,0
5400,0,99,0,1
5420,0,99,0,0
5440,0,98,0,1
5460,4,93,0,1
5480,13,84,0,0
5500,15,83,0,0
5520,13,80,0,0
5540,10,83,0,1
5560,7,84,0,0
5580,1,92,0,0
5600,6,88,0,0
5620,1,94,0,0
5640,0,88,0,1
5660,0,76,0,2
5680,0,58,2,13
5700,0,54,9,9
5720,0,70,12,4
5740,0,58,20,0
5760,0,87,5,1
5780,0,94,0,2
5800,0,89,8,0
5820,1,80,11,0
5840,0,92,4,0
5860,0,98,1,0
5880,2,97,0,0
5900,0,100,0,0
5920,0,100,0,0
5940,0,100,0,0
5960,2,98,0,0
5980,5,94,0,0
6000,2,98,0,0
6020,2,98,0,0
6040,5,95,0,0
6060,2,98,0,0
6080,2,98,0,0
6100,1,99,0,0
6120,0,100,0,0
6140,2,97,0,0
6160,2,98,0,0
6180,0,99,0,0
6200,0,98,0,0
6220,0,100,0,0
6240,0,100,0,0
6260,1,99,0,0
6280,1,83,8,6
6300,6,56,13,13
6320,18,3,2,46
6340,-1,-1,-1,-1
