pointer,OQ818325,OQ818346,KF040078,JX437642
4460,-1,-1,-1,-1
4480,6,8,50,9
4500,25,5,14,5
4520,24,0,1,0
4540,54,0,0,0
4560,52,0,0,0
4580,84,0,0,0
4600,89,2,0,0
4620,93,2,0,0
4640,81,4,0,0
4660,94,3,0,0
4680,89,5,0,0
4700,92,1,0,0
4720,99,1,0,0
4740,95,1,0,0
4760,90,3,0,0
4780,62,11,0,0
4800,51,5,0,0
4820,62,6,0,0
4840,85,2,0,0
4860,77,7,0,0
4880,98,0,0,0
4900,84,4,0,0
4920,95,2,0,0
4940,96,2,0,0
4960,93,7,0,0
4980,89,11,0,0
5000,94,6,0,0
5020,89,6,0,0
5040,79,16,0,0
5060,94,4,0,0
5080,82,13,0,0
5100,79,13,0,0
5120,80,10,0,0
5140,87,3,0,0
5160,91,1,0,0
5180,82,0,0,0
5200,82,1,0,0
5220,81,3,0,0
5240,81,1,0,0
5260,57,1,0,0
5280,89,0,0,0
5300,88,0,0,0
5320,93,1,0,0
5340,89,0,0,0
5360,93,0,0,0
5380,97,0,0,0
5400,99,0,0,0
5420,100,0,0,0
5440,96,3,0,0
5460,100,0,0,0
5480,59,36,0,0
5500,35,31,0,0
5520,65,16,0,0
5540,38,25,0,0
5560,22,31,0,0
5580,6,57,0,0
5600,5,66,0,0
5620,7,47,0,0
5640,25,28,0,0
5660,15,41,0,0
5680,20,18,0,0
5700,51,37,0,0
5720,21,62,0,0
5740,-1,-1,-1,-1
