pointer,OQ818340,OQ818347,OQ818348,NC_033776,OM105025,OQ818345
2600,-1,-1,-1,-1,-1,-1
2620,23,8,4,0,3,0
2640,49,1,5,0,0,4
2660,32,0,5,1,3,3
2680,40,1,2,0,4,3
2700,31,1,1,0,4,1
2720,22,1,1,0,27,0
2740,17,2,4,0,15,3
2760,31,5,8,0,7,7
2780,20,3,3,0,23,8
2800,26,2,0,0,13,7
2820,10,0,0,0,16,37
2840,24,0,0,0,10,13
2860,53,0,0,0,13,4
2880,43,1,0,3,11,0
2900,49,0,0,2,8,2
2920,64,0,0,3,3,1
2940,49,0,0,1,5,0
2960,41,0,0,1,1,3
2980,59,0,0,3,2,2
3000,90,2,0,1,2,0
3020,97,0,0,1,0,0
3040,97,0,0,0,1,0
3060,96,0,0,0,0,0
3080,93,0,0,0,1,0
3100,97,0,0,0,1,0
3120,96,0,0,0,0,2
3140,100,0,0,0,0,0
3160,100,0,0,0,0,0
3180,97,0,0,0,0,0
3200,99,0,0,1,0,0
3220,83,0,3,6,0,0
3240,93,0,0,5,0,0
3260,90,0,0,8,0,0
3280,91,0,0,7,0,0
3300,95,0,0,0,0,0
3320,85,0,0,4,0,0
3340,78,0,0,8,1,1
3360,65,0,0,13,1,0
3380,90,0,0,7,0,0
3400,89,0,0,6,1,0
3420,95,0,0,1,1,1
3440,93,0,0,1,0,3
3460,91,0,0,2,0,2
3480,90,0,0,1,0,1
3500,87,0,0,12,0,0
3520,85,0,0,7,1,0
3540,93,0,0,5,0,0
3560,100,0,0,0,0,0
3580,99,0,0,0,0,0
3600,95,3,0,0,0,0
3620,96,3,0,0,0,0
3640,98,0,0,0,0,0
3660,99,1,0,0,0,0
3680,100,0,0,0,0,0
3700,100,0,0,0,0,0
3720,100,0,0,0,0,0
3740,99,0,0,0,0,1
3760,99,0,0,0,0,1
3780,98,0,0,0,0,0
3800,99,0,0,0,0,0
3820,99,0,0,0,0,0
3840,81,0,0,13,0,2
3860,66,0,0,23,0,2
3880,58,0,0,29,0,2
3900,37,0,0,44,0,3
3920,31,0,0,39,0,13
3940,20,0,0,55,1,0
3960,7,7,0,36,3,3
3980,0,20,0,48,3,0
4000,0,9,1,64,2,0
4020,0,22,1,43,5,0
4040,2,15,3,20,7,0
4060,8,9,6,20,8,0
4080,6,16,5,9,1,0
4100,6,8,0,10,1,0
4120,19,22,0,13,0,0
4140,22,11,1,11,0,0
4160,36,4,3,2,0,1
4180,86,0,0,0,0,0
4200,82,0,0,0,0,0
4220,81,1,0,0,0,0
4240,91,0,0,0,0,0
4260,79,1,0,0,0,0
4280,85,0,0,0,0,3
4300,72,0,0,1,1,0
4320,34,0,0,0,0,0
4340,-1,-1,-1,-1,-1,-1
