pointer,OQ818318,OQ818324,OM105029,OM966657
100,3,63,0,0
120,2,78,0,0
140,1,80,0,0
160,5,79,0,0
180,0,92,0,0
200,6,91,0,0
220,4,94,0,0
240,8,91,0,0
260,12,83,0,0
280,5,95,0,0
300,3,96,0,0
320,11,88,0,0
340,4,96,0,0
360,1,99,0,0
380,0,100,0,0
400,1,99,0,0
420,10,90,0,0
440,10,90,0,0
460,3,97,0,0
480,16,84,0,0
500,39,61,0,0
520,26,74,0,0
540,51,49,0,0
560,52,48,0,0
580,53,47,0,0
600,74,26,0,0
620,57,41,0,0
640,51,43,0,0
660,52,46,0,0
680,28,53,0,0
700,21,71,0,0
720,9,65,0,0
740,6,66,0,0
760,7,62,0,0
780,6,84,0,0
800,3,91,0,0
820,0,100,0,0
840,1,98,0,0
860,2,97,0,0
880,1,99,0,0
900,3,97,0,0
920,3,97,0,0
940,6,94,0,0
960,1,99,0,0
980,0,99,0,0
1000,1,95,0,0
1020,3,97,0,0
1040,2,97,0,0
1060,1,97,0,0
1080,6,94,0,0
1100,0,99,0,0
1120,1,93,0,0
1140,2,94,0,0
1160,1,96,0,0
1180,2,94,0,0
1200,2,92,0,0
1220,4,90,0,0
1240,12,84,0,0
1260,11,83,0,0
1280,17,58,0,0
1300,12,67,0,0
1320,14,86,0,0
1340,33,64,0,0
1360,28,70,0,0
1380,31,43,0,0
1400,31,61,0,0
1420,27,58,0,0
1440,23,54,0,0
1460,3,37,0,0
1480,17,67,0,0
1500,30,37,1,0
1520,32,22,1,0
1540,36,19,0,0
1560,33,25,0,0
1580,27,70,0,0
1600,40,44,0,0
1620,37,40,0,0
1640,26,66,0,0
1660,24,75,0,0
1680,26,68,0,0
1700,8,91,0,0
1720,0,100,0,0
1740,0,100,0,0
1760,0,100,0,0
1780,0,99,0,0
1800,0,100,0,0
1820,0,96,0,0
1840,1,94,0,0
1860,2,80,0,0
1880,12,66,0,0
1900,17,29,0,0
1920,25,31,0,0
1940,36,30,0,0
1960,14,27,0,0
1980,6,51,0,0
2000,8,58,0,0
2020,12,82,0,0
2040,4,86,0,0
2060,0,96,0,0
2080,0,97,0,0
2100,0,98,0,0
2120,0,96,0,0
2140,0,99,0,0
2160,2,98,0,0
2180,3,94,0,0
2200,1,99,0,0
2220,2,98,0,0
2240,2,98,0,0
2260,3,97,0,0
2280,1,99,0,0
2300,0,100,0,0
2320,1,99,0,0
2340,0,100,0,0
2360,0,99,0,0
2380,1,99,0,0
2400,2,98,0,0
2420,1,99,0,0
2440,1,99,0,0
2460,0,100,0,0
2480,1,99,0,0
2500,2,98,0,0
2520,2,98,0,0
2540,2,98,0,0
2560,4,96,0,0
2580,1,98,0,0
2600,5,95,0,0
2620,3,97,0,0
2640,13,86,0,0
2660,7,93,0,0
2680,14,85,0,0
2700,10,86,0,0
2720,15,84,0,0
2740,8,91,0,0
2760,7,93,0,0
2780,6,94,0,0
2800,2,97,0,0
2820,3,97,0,0
2840,0,100,0,0
2860,0,100,0,0
2880,0,100,0,0
2900,0,100,0,0
2920,0,100,0,0
2940,1,99,0,0
2960,2,98,0,0
2980,5,95,0,0
3000,2,96,0,0
3020,0,100,0,0
3040,3,93,0,0
3060,4,87,0,0
3080,8,74,0,0
3100,3,93,0,0
3120,0,98,0,0
3140,1,93,0,0
3160,5,93,0,0
3180,7,85,0,0
3200,2,90,0,0
3220,14,73,0,0
3240,22,76,0,0
3260,9,91,0,0
3280,1,99,0,0
3300,4,95,0,0
3320,1,99,0,0
3340,0,97,0,0
3360,2,98,0,0
3380,1,99,0,0
3400,2,98,0,0
3420,0,100,0,0
3440,0,100,0,0
3460,0,100,0,0
3480,0,100,0,0
3500,2,98,0,0
3520,0,100,0,0
3540,0,100,0,0
3560,0,100,0,0
3580,0,100,0,0
3600,0,100,0,0
3620,0,100,0,0
3640,0,100,0,0
3660,0,100,0,0
3680,2,98,0,0
3700,0,100,0,0
3720,3,97,0,0
3740,2,98,0,0
3760,0,100,0,0
3780,1,99,0,0
3800,6,94,0,0
3820,2,98,0,0
3840,7,92,0,0
3860,22,76,0,0
3880,19,75,0,0
3900,3,97,0,0
3920,2,98,0,0
3940,4,96,0,0
3960,9,91,0,0
3980,18,81,0,0
4000,5,95,0,0
4020,1,99,0,0
4040,2,98,0,0
4060,1,99,0,0
4080,0,100,0,0
4100,9,82,0,0
4120,17,62,0,0
4140,4,79,0,0
4160,9,66,0,0
4180,2,85,0,0
4200,2,80,0,0
4220,7,83,0,0
4240,0,85,0,0
4260,0,91,0,0
4280,0,85,0,0
4300,4,92,0,0
4320,0,95,0,0
4340,3,90,0,0
4360,0,97,0,0
4380,3,96,0,0
4400,0,97,0,0
4420,0,80,0,0
4440,9,76,0,0
4460,15,66,0,0
4480,10,70,0,0
4500,5,83,0,0
4520,6,73,0,0
4540,7,80,0,0
4560,14,74,0,0
4580,5,82,0,0
4600,11,74,0,0
4620,12,73,0,0
4640,5,76,0,0
4660,2,68,0,0
4680,2,95,0,0
4700,6,86,0,0
4720,0,90,0,0
4740,0,100,0,0
4760,3,85,0,0
4780,0,91,0,0
4800,0,90,0,0
4820,0,99,0,0
4840,0,98,0,0
4860,0,100,0,0
4880,0,100,0,0
4900,0,98,0,0
4920,0,96,0,0
4940,0,100,0,0
4960,1,99,0,0
4980,1,99,0,0
5000,0,100,0,0
5020,4,96,0,0
5040,2,98,0,0
5060,8,91,0,0
5080,23,74,0,0
5100,3,95,0,0
5120,0,99,0,0
5140,0,96,0,0
5160,4,95,0,0
5180,0,98,0,0
5200,1,96,0,0
5220,0,100,0,0
5240,9,89,0,0
5260,20,73,0,0
5280,24,67,0,0
5300,45,46,0,0
5320,55,37,0,0
5340,59,39,0,0
5360,40,49,0,0
5380,43,52,0,0
5400,40,51,0,0
5420,36,63,0,0
5440,3,88,0,0
5460,6,91,0,0
5480,0,96,0,0
5500,0,95,0,0
5520,0,91,0,0
5540,3,70,0,0
5560,7,76,0,0
5580,18,63,0,0
5600,10,67,0,0
5620,18,41,0,0
5640,21,42,0,0
5660,17,43,0,0
5680,24,69,0,0
5700,31,61,0,0
5720,34,53,0,0
5740,27,67,0,0
5760,27,56,0,0
5780,30,54,0,0
5800,47,46,0,0
5820,25,75,0,0
5840,16,78,0,0
5860,18,80,0,0
5880,47,48,0,0
5900,29,68,0,0
5920,24,76,0,0
5940,12,88,0,0
5960,7,93,0,0
5980,1,99,0,0
6000,7,93,0,0
6020,0,99,0,0
6040,0,99,0,0
6060,0,100,0,0
6080,0,100,0,0
6100,0,100,0,0
6120,1,99,0,0
6140,0,100,0,0
6160,0,100,0,0
6180,0,98,0,0
6200,1,93,0,0
6220,1,98,0,0
6240,0,100,0,0
6260,0,98,0,0
6280,0,99,0,0
6300,7,86,0,0
6320,0,96,0,0
6340,1,89,0,0
6360,1,91,0,0
6380,0,98,0,0
6400,0,100,0,0
6420,0,100,0,0
6440,0,85,0,0
6460,0,82,0,0
6480,0,80,0,0
6500,0,94,0,0
6520,0,93,0,0
6540,0,93,0,0
6560,0,97,0,0
6580,0,93,0,0
6600,0,92,0,0
6620,2,85,0,0
6640,6,91,0,0
6660,6,89,0,0
6680,3,91,0,0
6700,6,80,0,0
6720,15,78,0,0
6740,1,92,0,0
6760,0,92,0,0
6780,1,88,0,0
6800,0,80,0,0
6820,3,68,0,0
6840,6,85,0,0
6860,2,93,0,0
6880,1,99,0,0
6900,2,95,0,0
6920,0,95,0,0
6940,0,99,0,0
6960,2,97,0,0
6980,0,100,0,0
7000,0,100,0,0
7020,0,100,0,0
7040,0,100,0,0
7060,0,100,0,0
7080,0,100,0,0
7100,0,100,0,0
7120,0,100,0,0
7140,7,93,0,0
7160,0,100,0,0
7180,0,100,0,0
7200,0,100,0,0
7220,1,99,0,0
7240,0,100,0,0
7260,0,98,0,0
7280,0,100,0,0
7300,0,98,0,0
7320,0,100,0,0
7340,0,98,0,0
7360,0,95,0,0
