Accession,Organism_Name,Isolate,Species,Genus,Country,source,Host,Collection_Date,novel
NC_033776.1,Bat sapovirus,Bat-SaV/Limbe65/CAM/2014,Bat sapovirus,Sapovirus,Cameroon,Eidolon helvum,1,2014,0
NC_017936.1,Bat sapovirus TLC58/HK,,Bat sapovirus TLC58/HK,Sapovirus,Hong Kong,Chiroptera,1,2012,0
JN899075.1,Bat sapovirus TLC58/HK,,Bat sapovirus TLC58/HK,Sapovirus,Hong Kong,Chiroptera,1,2012,0
NC_000940.1,Cowden I virus,,Sapporo virus,Sapovirus,USA,Sus scrofa,0,1999,0
DQ058829.1,Ehime virus,Ehime1107,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2005,0
AY646856.2,Nongkhai virus,,Sapporo virus,Sapovirus,Thailand,Sus scrofa,0,2004,0
PP388958.1,Porcine enteric sapovirus,SHCM Mega2023,Sapporo virus,Sapovirus,China,Sus scrofa,0,2023,0
JX678943.1,Porcine enteric sapovirus,,Sapporo virus,Sapovirus,China,Sus scrofa,0,2009,0
LC469052.1,Porcine sapovirus,,Sapporo virus,Sapovirus,Japan,Sus scrofa,0,2018,0
MW316755.1,Porcine sapovirus,,Sapporo virus,Sapovirus,USA,Sus scrofa,0,2019,0
MK965900.1,Porcine sapovirus,,Sapporo virus,Sapovirus,USA,Sus scrofa,0,2019,0
MK965901.1,Porcine sapovirus,,Sapporo virus,Sapovirus,USA,Sus scrofa,0,2015,0
MK962337.1,Porcine sapovirus,,Sapporo virus,Sapovirus,Spain,Sus scrofa,0,2017,0
MK962338.1,Porcine sapovirus,,Sapporo virus,Sapovirus,Spain,Sus scrofa,0,2017,0
MK962339.1,Porcine sapovirus,,Sapporo virus,Sapovirus,Spain,Sus scrofa,0,2017,0
MK962340.1,Porcine sapovirus,,Sapporo virus,Sapovirus,Spain,Sus scrofa,0,2017,0
KT922087.1,Porcine sapovirus,,Sapporo virus,Sapovirus,USA,Sus scrofa,0,1979,0
KT922088.1,Porcine sapovirus,,Sapporo virus,Sapovirus,USA,Sus scrofa,0,2010,0
KT945133.1,Porcine sapovirus,,Sapporo virus,Sapovirus,USA,Sus scrofa,0,2002,0
MW316752.1,Porcine sapovirus,,Sapporo virus,Sapovirus,USA,Sus scrofa,0,2019,0
MW316756.1,Porcine sapovirus,,Sapporo virus,Sapovirus,USA,Sus scrofa,0,2019,0
MW316744.1,Porcine sapovirus,,Sapporo virus,Sapovirus,USA,Sus scrofa,0,2020,0
MW316751.1,Porcine sapovirus,,Sapporo virus,Sapovirus,USA,Sus scrofa,0,2020,0
MW316743.1,Porcine sapovirus,,Sapporo virus,Sapovirus,USA,Sus scrofa,0,2019,0
MW316750.1,Porcine sapovirus,,Sapporo virus,Sapovirus,USA,Sus scrofa,0,2020,0
MK965904.1,Porcine sapovirus,,Sapporo virus,Sapovirus,USA,Sus scrofa,0,2019,0
MK965898.1,Porcine sapovirus,,Sapporo virus,Sapovirus,USA,Sus scrofa,0,2019,0
MW316759.1,Porcine sapovirus,,Sapporo virus,Sapovirus,USA,Sus scrofa,0,2019,0
KT922089.1,Porcine sapovirus,,Sapporo virus,Sapovirus,USA,Sus scrofa,0,2015,0
NC_006554.1,Sapovirus C12,,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,2005,0
AY646854.2,Sapovirus Chanthaburi-74/Thailand,,Sapporo virus,Sapovirus,Thailand,Homo sapiens,0,2004,0
AB522397.2,Sapovirus D1737-A/Jun2008/JPN,,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,2008,0
MK250983.1,Sapovirus GI,Hu/BRA/2015/GI.2/TO-65,Sapporo virus,Sapovirus,Brazil,Homo sapiens,0,2015,0
MK250984.1,Sapovirus GI,Hu/BRA/2014/GI.2/TO-31,Sapporo virus,Sapovirus,Brazil,Homo sapiens,0,2014,0
LC504312.1,Sapovirus GI,,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,2013,0
LC504315.1,Sapovirus GI,,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,2013,0
LC504341.1,Sapovirus GI,,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,2010,0
OR672557.1,Sapovirus GI,QD-F-22007,Sapporo virus,Sapovirus,China,Homo sapiens,0,2022,0
OR672555.1,Sapovirus GI,QD-F-22010,Sapporo virus,Sapovirus,China,Homo sapiens,0,2022,0
