Accession,Organism_Name,Isolate,Species,Genus,Country,Host,Collection_Date
NC_037654.1,Sichuan takin enterovirus,LLT03,Sichuan takin enterovirus,Enterovirus,China,Budorcas taxicolor tibetana,2013
NC_012798.1,Cosavirus E,,Cosavirus E,Cosavirus,Australia,Homo sapiens,1981
NC_076039.1,Bat picornavirus,BtRf-PicoV-1/YN2012,Shanbavirus A,Shanbavirus,China,Rhinolophus ferrumequinum,2010
NC_034385.1,Cosavirus F,,Cosavirus F,Cosavirus,Pakistan,Homo sapiens,2007
NC_009891.1,Seal picornavirus type 1,HO.02.21,Aquamavirus A,Aquamavirus,Canada,Pusa hispida,2008
NC_076404.1,Burpengary virus,1,Marsupivirus A,Marsupivirus,Australia,Phascolarctos cinereus,2016
NC_043072.1,Bat picornavirus BatPV/V1/13 Hun,,Mischivirus B,Mischivirus,Hungary,Miniopterus schreibersii,2013
NC_018226.1,Pasivirus A1,,Pasivirus A,Pasivirus,France,Sus scrofa,2010
NC_028365.1,Hedgehog hepatovirus Igel8Erieur2014,Igel8Erieur2014,Hepatovirus H,Hepatovirus,Germany,Erinaceus europaeus,2014
NC_075980.1,Teschovirus A,HuN41,Teschovirus A,Teschovirus,China,Sus scrofa,2017
NC_038878.1,Human rhinovirus NAT001,NAT001,Rhinovirus C,Enterovirus,USA,Homo sapiens,2001
NC_038318.1,Mouse Mosavirus,,Mosavirus A,Mosavirus,USA,Peromyscus crinitus,2010
NC_026249.1,Bovine picornavirus,TCH6,Bopivirus A,Bopivirus,USA,Bos taurus,2013
NC_025432.1,Chicken orivirus 1,,Orivirus A,Orivirus,Hungary,Gallus gallus,2013
NC_076040.1,Bat picornavirus,BtNv-PicoV/SC2013,Shanbavirus A,Shanbavirus,China,Nyctalus velutinus,2013
NC_003990.1,tremovirus A1,,Tremovirus A,Tremovirus,United Kingdom,Aves,1997
NC_055159.1,tottorivirus A1,,Tottorivirus A,Tottorivirus,Japan,Sus scrofa domesticus,2015
NC_034453.1,Ferret parechovirus,MpPeV1,Parechovirus D,Parechovirus,Netherlands,Mustela putorius furo,2013
NC_075987.1,gruhelivirus A1,yc-2,Gruhelivirus A,Gruhelivirus,China,Grus japonensis,2014
NC_033819.1,Crohivirus B,,Crohivirus B,Crohivirus,Cameroon,Eidolon helvum,2013
NC_033818.1,Kunsagivirus B,,Kunsagivirus B,Kunsagivirus,Cameroon,Eidolon helvum,2013
NC_025890.1,torchivirus A1,,Torchivirus A,Torchivirus,Germany,Testudo hermanni,2004
NC_009996.1,Rhinovirus C,,Rhinovirus C,Enterovirus,Hong Kong,Homo sapiens,2007
NC_075282.1,grusopivirus B1,yc-6,Grusopivirus B,Grusopivirus,China,Grus japonensis,2014
NC_055160.1,Rabovirus D1,MPV/NYC/2014/M005/0074,Rabovirus D,Rabovirus,USA,Mus musculus,2014
NC_003985.1,Teschovirus A,F65,Teschovirus A,Teschovirus,United Kingdom,Homo sapiens,1999
NC_038311.1,rhinovirus A1,,Rhinovirus A,Enterovirus,USA,Homo sapiens,2009
NC_001617.1,Rhinovirus A,,Rhinovirus A,Enterovirus,USA,Homo sapiens,1988
NC_024767.1,Chicken picornavirus 3,45C,Avisivirus C,Avisivirus,Hong Kong,Gallus gallus,2008
NC_023988.1,Tortoise rafivirus A,UF4,Tortoise rafivirus A,,USA,Indotestudo forstenii,2009
NC_012801.1,Human cosavirus B,2263,Cosavirus B,Cosavirus,Pakistan,Homo sapiens,2008
