Accession,Organism_Name,Isolate,Species,Genus,Country,Host,Collection_Date
NC_038316.1,Bat hepatovirus BUO2BF86Colafr2010,BUO2BF86Colafr2010,Hepatovirus G,Hepatovirus,Ghana,Coleura afra,2010
NC_038313.1,Bat hepatovirus SMG18520Minmav2014,SMG18520Minmav2014,Hepatovirus C,Hepatovirus,Madagascar,Miniopterus,2014
MG181943.1,Didelphis aurita hepatitis A virus,,Hepatovirus A,Hepatovirus,Brazil,Didelphis aurita,15-Aug
KT452695.1,Hedgehog hepatovirus,Igel75Erieur2014,Hepatovirus H,Hepatovirus,Germany,Erinaceus europaeus,2014
KT452698.1,Hedgehog hepatovirus,Igel68Erieur2014,Hepatovirus H,Hepatovirus,Germany,Erinaceus europaeus,2014
NC_028365.1,Hedgehog hepatovirus Igel8Erieur2014,Igel8Erieur2014,Hepatovirus H,Hepatovirus,Germany,Erinaceus europaeus,2014
AB909123.1,Hepatovirus A,HAJHM-PapTok11,Hepatovirus A,Hepatovirus,Japan,Homo sapiens,2011-10-18
KT819575.1,Hepatovirus A,KibOB-1,Hepatovirus A,Hepatovirus,Uganda,Papio anubis,2010-09-14
MN832785.1,Hepatovirus A,18IRL46925,Hepatovirus A,Hepatovirus,Ireland,Homo sapiens,2018-11-09
KC182587.1,Hepatovirus A,A2,Hepatovirus A,Hepatovirus,Mexico,Homo sapiens,2009
LC515199.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,Gabon,Homo sapiens,2016-11-03
LC515200.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,Gabon,Homo sapiens,2016-11-09
MN832786.1,Hepatovirus A,18IRL89195,Hepatovirus A,Hepatovirus,Ireland,Homo sapiens,2018-08-07
KY003229.1,Hepatovirus A,20160920,Hepatovirus A,Hepatovirus,South Africa,,2011
JQ655151.1,Hepatovirus A,Kor-HAV-F,Hepatovirus A,Hepatovirus,South Korea,Homo sapiens,2011-10-01
KF569906.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,China,Homo sapiens,2012-04-18
KJ427799.1,Hepatovirus A,253042/2013,Hepatovirus A,Hepatovirus,Italy,,13-Sep
LC515197.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,Gabon,Homo sapiens,2016-01-28
LC515202.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,Gabon,Homo sapiens,2016-12-27
LC515201.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,Gabon,Homo sapiens,2016-12-13
LC515198.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,Gabon,Homo sapiens,2016-05-03
LC128713.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,Thailand,Homo sapiens,2000-08-01
AY644670.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,Sierra Leone,Homo sapiens,
LC515196.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,Gabon,Homo sapiens,2016-01-08
HQ246217.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,,Pan troglodytes,May-80
X83302.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,,,
MT181522.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,United Kingdom,,19-Sep
AY644676.1,Hepatovirus A,CF53/Berne,Hepatovirus A,Hepatovirus,France,,
MH577314.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,USA,Homo sapiens,2018
EF207320.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,Thailand,,
OQ161772.2,Hepatovirus A,HAV/Pecs/HUN-A394/2022/HUN,Hepatovirus A,Hepatovirus,Hungary,Homo sapiens,22-Jul
OR261026.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,Australia,Homo sapiens,2023-04-03
OR261027.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,Australia,Homo sapiens,2023-02-10
MN062167.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,USA,Homo sapiens,2018
EU526088.1,Hepatovirus A,HAV6,Hepatovirus A,Hepatovirus,Uruguay,,
EU526089.1,Hepatovirus A,HAV12,Hepatovirus A,Hepatovirus,Uruguay,Homo sapiens,
EU011791.1,Hepatovirus A,PN-IND,Hepatovirus A,Hepatovirus,India,,
AB618529.1,Hepatovirus A,HAJIH-Fukuo10,Hepatovirus A,Hepatovirus,Japan,Homo sapiens,2010-04-12
MN062165.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,USA,Homo sapiens,2018
MH577312.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,USA,Homo sapiens,2017
JQ425480.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,USA,Homo sapiens,
AB623053.1,Hepatovirus A,HA286-Aki1957,Hepatovirus A,Hepatovirus,Japan,Homo sapiens,1957-10-04
MN062166.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,USA,Homo sapiens,2018
MG049743.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,Brazil,Homo sapiens,2017
MH577313.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,USA,Homo sapiens,2017
AB425339.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,Japan,,1979
MH577309.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,USA,Homo sapiens,2017
AB300205.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,Japan,,1977
FJ360731.1,Hepatovirus A,IND-HAV-07F,Hepatovirus A,Hepatovirus,India,Homo sapiens,2007-01-01
MH577308.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,USA,Homo sapiens,2017
FJ360735.1,Hepatovirus A,IND-HAV-97F,Hepatovirus A,Hepatovirus,India,Homo sapiens,1997-08-29
KX523680.1,Hepatovirus A,LV8,Hepatovirus A,Hepatovirus,China,Homo sapiens,1988
