Accession,Organism_Name,Isolate,Species,Genus,Country,Host,Collection_Date
NC_033776.1,Bat sapovirus,Bat-SaV/Limbe65/CAM/2014,Bat sapovirus,Sapovirus,Cameroon,Eidolon helvum,14-Jan
NC_017936.1,Bat sapovirus TLC58/HK,,Bat sapovirus TLC58/HK,Sapovirus,Hong Kong,Chiroptera,
JN899075.1,Bat sapovirus TLC58/HK,,Bat sapovirus TLC58/HK,Sapovirus,Hong Kong,Chiroptera,
NC_000940.1,Cowden I virus,,Sapporo virus,Sapovirus,,,
DQ058829.1,Ehime virus,Ehime1107,Sapporo virus,Sapovirus,Japan,,
AY646856.2,Nongkhai virus,,Sapporo virus,Sapovirus,Thailand,,
PP388958.1,Porcine enteric sapovirus,SHCM Mega2023,Sapporo virus,Sapovirus,China,Sus scrofa,2023-02-15
JX678943.1,Porcine enteric sapovirus,,Sapporo virus,Sapovirus,China,Sus scrofa,2009
LC469052.1,Porcine sapovirus,,Sapporo virus,Sapovirus,Japan,Sus scrofa,2018-06-27
MW316755.1,Porcine sapovirus,,Sapporo virus,Sapovirus,USA,Sus scrofa,2019-06-18
MK965900.1,Porcine sapovirus,,Sapporo virus,Sapovirus,USA,Sus scrofa,2019
MK965901.1,Porcine sapovirus,,Sapporo virus,Sapovirus,USA,Sus scrofa,2015
MK962337.1,Porcine sapovirus,,Sapporo virus,Sapovirus,Spain,Sus scrofa,2017-05-30
MK962338.1,Porcine sapovirus,,Sapporo virus,Sapovirus,Spain,Sus scrofa,2017-09-22
MK962339.1,Porcine sapovirus,,Sapporo virus,Sapovirus,Spain,Sus scrofa,2017-07-04
MK962340.1,Porcine sapovirus,,Sapporo virus,Sapovirus,Spain,Sus scrofa,2017-01-19
KT922087.1,Porcine sapovirus,,Sapporo virus,Sapovirus,USA,,1979-11-15
KT922088.1,Porcine sapovirus,,Sapporo virus,Sapovirus,USA,,2010-05-20
KT945133.1,Porcine sapovirus,,Sapporo virus,Sapovirus,USA,,2002-03-27
MW316752.1,Porcine sapovirus,,Sapporo virus,Sapovirus,USA,Sus scrofa,2019-05-01
