Accession,Organism_Name,Isolate,Species,Genus,Country,source,Host,Collection_Date,novel
NC_075428.1,Canine picornavirus,A128thr,Mischivirus D,Mischivirus,USA,Canis lupus familiaris,0,1968,0
NC_043072.1,Bat picornavirus BatPV/V1/13 Hun,,Mischivirus B,Mischivirus,Hungary,Miniopterus schreibersii,1,2013,0
NC_034381.1,mischivirus A1,,Mischivirus A,Mischivirus,China,Miniopterus schreibersii,1,2010,0
NC_026470.1,mischivirus C1,PREDICT-06105,Mischivirus C,Mischivirus,Democratic Republic of the Congo,Macronycteris gigas,1,2013,0
NC_016964.1,Canine picornavirus,325,Mischivirus D,Mischivirus,Hong Kong,Canis lupus familiaris,0,2008,0
JN831355.1,Canine picornavirus,244,Mischivirus D,Mischivirus,Hong Kong,Canis lupus familiaris,0,2008,0
KU871312.1,Canine picornavirus,,Mischivirus D,Mischivirus,Hong Kong,Canis lupus familiaris,0,2008,0
KU871313.1,Canine picornavirus,,Mischivirus D,Mischivirus,United Arab Emirates,Canis lupus familiaris,0,2013,0
KP100644.1,mischivirus C1,PREDICT-06105,Mischivirus C,Mischivirus,Democratic Republic of the Congo,Macronycteris gigas,1,2013,0
JQ814851.1,mischivirus A1,,Mischivirus A,Mischivirus,China,Miniopterus schreibersii,1,2010,0
JN831356.1,Canine picornavirus,325,Mischivirus D,Mischivirus,Hong Kong,Canis lupus familiaris,0,2008,0
NC_001547.1,Sindbis virus,,Sindbis virus,Alphavirus,USA,Cell culture,0,1981,0
OQ818316,Pteropus rufus mischivirus,AMB150,Pteropus rufus mischivirus,Mischivirus,Madagascar,Pteropus rufus,1,2018,1
