#Skyline assuming 50.0 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
1951.254	2.019e+02	7.826e+01	5.211e+02
1955.010	3.405e+02	1.774e+02	6.535e+02
1958.767	5.270e+02	2.633e+02	1.055e+03
1962.523	8.181e+02	4.345e+02	1.540e+03
1966.279	1.493e+03	8.279e+02	2.692e+03
1970.035	2.466e+03	2.029e+03	2.997e+03
1973.791	2.483e+03	2.024e+03	3.046e+03
1977.547	2.958e+03	1.713e+03	5.109e+03
1981.303	3.958e+03	2.310e+03	6.782e+03
1985.059	5.337e+03	3.194e+03	8.920e+03
1988.815	7.048e+03	4.304e+03	1.154e+04
1992.572	9.709e+03	5.964e+03	1.581e+04
1996.328	1.479e+04	9.221e+03	2.372e+04
2000.084	1.791e+04	1.139e+04	2.816e+04
2003.840	2.253e+04	1.457e+04	3.483e+04
2007.596	3.866e+04	2.668e+04	5.603e+04
2011.352	1.428e+04	1.093e+04	1.865e+04
2015.108	8.138e+03	6.166e+03	1.074e+04
2018.864	6.097e+03	3.950e+03	9.412e+03
2022.621	1.539e+03	6.805e+02	3.483e+03
