Accession,Organism_Name,Isolate,Species,Genus,Country,source,Host,Collection_Date,Date,novel
KJ641684.1,Bat picornavirus,BtRf-PicoV-2/YN2012,Shanbavirus A,Shanbavirus,China,Rhinolophus ferrumequinum,1,2010,2010,0
KJ641687.1,Bat picornavirus,BtMf-PicoV/FJ2012,Shanbavirus A,Shanbavirus,China,Miniopterus fuliginosus,1,2012,2012,0
KJ641688.1,Bat picornavirus,BtRlep-PicoV/FJ2012,Shanbavirus A,Shanbavirus,China,Rhinolophus lepidus,1,2012,2012,0
KJ641689.1,Bat picornavirus,BtMa-PicoV/FJ2012,Shanbavirus A,Shanbavirus,China,Myotis altarium,1,2012,2012,0
KJ641690.1,Bat picornavirus,BtMf-PicoV-1/GD2012,Shanbavirus A,Shanbavirus,China,Miniopterus fuliginosus,1,2012,2012,0
KJ641692.1,Bat picornavirus,BtRa-PicoV/JS2013,Shanbavirus A,Shanbavirus,China,Rhinolophus affinis,1,2013,2013,0
KJ641693.1,Bat picornavirus,BtRh-PicoV/SC2013,Shanbavirus A,Shanbavirus,China,Rhinolophus hipposideros,1,2013,2013,0
KJ641694.1,Bat picornavirus,BtRs-PicoV/YN2010,Shanbavirus A,Shanbavirus,China,Rhinolophus sinicus,1,2010,2010,0
KJ641696.1,Bat picornavirus,BtVs-PicoV/SC2013,Shanbavirus A,Shanbavirus,China,Vespertilio sinensis,1,2013,2013,0
KJ641699.1,Bat picornavirus,BtMf-PicoV-2/SAX2011,Shanbavirus A,Shanbavirus,China,Miniopterus fuliginosus,1,2011,2011,0
KP054274.1,Bat picornavirus,,Shanbavirus A,Shanbavirus,Hungary,Miniopterus schreibersii,1,2013,2013,0
MN602325.1,Bat picornavirus,,Shanbavirus A,Shanbavirus,Italy,Pipistrellus pipistrellus,1,2017,2017,0
MZ218061.1,Bat picornavirus,BtPV/13585-58/M.dau/DK/2014,Shanbavirus A,Shanbavirus,Denmark,Myotis daubentonii,1,2014,2014,0
NC_001547.1,Sindbis virus,,Sindbis virus,Alphavirus,USA,Cell culture,0,1981,1981,0
NC_043071.1,Bat picornavirus,BtMr-PicoV/JX2010,Shanbavirus A,Shanbavirus,China,Myotis ricketti,1,2010,2010,0
NC_076039.1,Bat picornavirus,BtRf-PicoV-1/YN2012,Shanbavirus A,Shanbavirus,China,Rhinolophus ferrumequinum,1,2010,2010,0
NC_076040.1,Bat picornavirus,BtNv-PicoV/SC2013,Shanbavirus A,Shanbavirus,China,Nyctalus velutinus,1,2013,2013,0
ON375332.1,Bat picornavirus,BtPp-PicoV/F-HS1/SWE/2020,Shanbavirus A,Shanbavirus,Sweden,Pipistrellus pygmaeus,1,2020,2020,0
ON375333.1,Bat picornavirus,BtPp-PicoV/F-HS2/SWE/2020,Shanbavirus A,Shanbavirus,Sweden,Pipistrellus pygmaeus,1,2020,2020,0
OQ363777.1,Bat picornavirus,GD/L8.18/2020,Shanbavirus A,Shanbavirus,China,Rhinolophus sinicus,1,2020,2020,0
OR951221.1,Bat picornavirus,HI2018,Shanbavirus A,Shanbavirus,China,Pipistrellus abramus,1,2018,2018,0
OR951224.1,Bat picornavirus,YN2020,Shanbavirus A,Shanbavirus,China,Hipposideros pomona,1,2020,2020,0
OR951227.1,Bat picornavirus,GX2016,Shanbavirus A,Shanbavirus,China,Rhinolophus pusillus,1,2016,2016,0
OR951297.1,Bat picornavirus,GD2016_228_5814,Shanbavirus A,Shanbavirus,China,Miniopterus pusillus,1,2016,2016,0
OR951337.1,Bat picornavirus,YN2017,Shanbavirus A,Shanbavirus,China,Rousettus leschenaultii,1,2017,2017,0
OR951350.1,Bat picornavirus,YN2016,Shanbavirus A,Shanbavirus,China,Chaerephon plicatus,1,2016,2016,0
PP711912.1,Rousettus bat picornavirus,8A/Uganda/UGR5/2019,Rousettus bat picornavirus,Unclassified bat picornavirus,Uganda,Rousettus aegypticus,1,2019,2019,0
PP711945.1,Rousettus bat picornavirus,8A/Uganda/UGR5/2019,Rousettus bat picornavirus,Unclassified bat picornavirus,Uganda,Rousettus aegypticus,1,2019,2019,0
PP711913.1,Rousettus bat picornavirus,11B/Kenya/BAT1828/2015,Rousettus bat picornavirus,Unclassified bat picornavirus,Kenya,Rousettus aegypticus,1,2015,2015,0
PP711930.1,Rousettus bat picornavirus,25C/Kenya/BAT6/2015,Rousettus bat picornavirus,Unclassified bat picornavirus,Kenya,Rousettus aegypticus,1,2015,2015,0
PP711928.1,Rousettus bat picornavirus,24A/Uganda/UR13/2018,Rousettus bat picornavirus,Unclassified bat picornavirus,Uganda,Rousettus aegypticus,1,2018,2018,0
PP711946.1,Chaerephon bat picornavirus,9A/Kenya/BAT1462/2015,Chaerephon bat picornavirus,Unclassified bat picornavirus,Kenya,Chaerephon leucogaster,1,2015,2015,0
