family,genus,virus,species,type,num_genome,
Picornaviridae,Mischivirus,Pteropus rufus mischivirus,Pteropus rufus,,,OQ818316
Picornaviridae,Kunsagivirus,Eidolon dupreanum kunsagivirus,Eidolon dupreanum,,,OQ818317
Picornaviridae,Teschovirus,Eidolon dupreanum teschovirus 1,Eidolon dupreanum,,,OQ818318
Caliciviridae,Sapovirus,Eidolon dupreanum sapovirus 1,Eidolon dupreanum,,,OQ818319
Picornaviridae,Sapelovirus,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,,,OQ818320
Picornaviridae,Sapelovirus,Eidolon dupreanum sapelovirus 2,Eidolon dupreanum,,,OQ818321
Picornaviridae,Kobuvirus,Eidolon dupreanum kobuvirus,Eidolon dupreanum,,,OQ818322
Picornaviridae,Teschovirus,Rousettus madagascariensis teschovirus 1,Rousettus madagascariensis,,,OQ818323
Picornaviridae,Teschovirus,Rousettus madagascariensis teschovirus 2,Rousettus madagascariensis,,,OQ818324
Picornaviridae,Unclassified picornavirus,Rousettus madagascariensis picornavirus 1,Rousettus madagascariensis,,,OQ818325
Picornaviridae,Unclassified picornavirus,Rousettus madagascariensis picornavirus 1,Rousettus madagascariensis,,,OQ818328
Picornaviridae,Sapelovirus,Rousettus madagascariensis sapelovirus 1,Rousettus madagascariensis,,,OQ818329
Picornaviridae,Hepatovirus,Eidolon dupreanum hepatovirus,Eidolon dupreanum,,,OQ818337
Caliciviridae,Sapovirus,Eidolon dupreanum sapovirus 2,Eidolon dupreanum,,,OQ818340
Picornaviridae,Sapelovirus,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,,,OQ818342
Picornaviridae,Sapelovirus,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,,,OQ818343
Picornaviridae,Sapelovirus,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,,,OQ818344
Caliciviridae,Sapovirus,Rousettus madagascariensis sapovirus 1,Rousettus madagascariensis,,,OQ818345
Picornaviridae,Unclassified picornavirus,Rousettus madagascariensis picornavirus 2,Rousettus madagascariensis,,,OQ818346
Caliciviridae,Sapovirus,Rousettus madagascariensis sapovirus 2,Rousettus madagascariensis,,,OQ818347
Caliciviridae,Sapovirus,Rousettus madagascariensis sapovirus 3,Rousettus madagascariensis,,,OQ818348
Picornaviridae,Kobuvirus,Eidolon dupreanum kobuvirus,Eidolon dupreanum,,,PP766449
Picornaviridae,Kobuvirus,Eidolon dupreanum kobuvirus 2,Eidolon dupreanum,,,PP766450
Picornaviridae,Kobuvirus,Eidolon dupreanum kobuvirus,Eidolon dupreanum,,,PP766451
Picornaviridae,Kobuvirus,Eidolon dupreanum kobuvirus,Eidolon dupreanum,,,PP766452
Picornaviridae,Kobuvirus,Eidolon dupreanum kobuvirus,Eidolon dupreanum,,,PP766453
Picornaviridae,Kobuvirus,Eidolon dupreanum kobuvirus,Eidolon dupreanum,,,PP766454
Picornaviridae,Hepatovirus,Eidolon dupreanum hepatovirus,Eidolon dupreanum,,,PP766455
Picornaviridae,Kobuvirus,Eidolon dupreanum kobuvirus,Eidolon dupreanum,,,PP766456
Picornaviridae,Hepatovirus,Eidolon dupreanum hepatovirus,Eidolon dupreanum,,,PP766457
Picornaviridae,Hepatovirus,Eidolon dupreanum hepatovirus,Eidolon dupreanum,,,PP766458
Caliciviridae,Sapovirus,Eidolon dupreanum sapovirus 1,Eidolon dupreanum,,,PP766459
Caliciviridae,Sapovirus,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,,,PP766460
Caliciviridae,Sapovirus,Eidolon dupreanum sapovirus 3,Eidolon dupreanum,,,PP766461
Picornaviridae,Sapelovirus,Eidolon dupreanum sapelovirus 2,Eidolon dupreanum,,,PP766462
Picornaviridae,Sapelovirus,Eidolon dupreanum sapelovirus 2,Eidolon dupreanum,,,PP766463
Picornaviridae,Sapelovirus,Eidolon dupreanum sapelovirus 2,Eidolon dupreanum,,,PP766464
Picornaviridae,Sapelovirus,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,,,PP766465
Picornaviridae,Sapelovirus,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,,,PP766466
Picornaviridae,Cardiovirus,Eidolon dupreanum cardiovirus,Eidolon dupreanum,,,PP766467
Caliciviridae,Sapovirus,Rousettus madagascariensis sapovirus 3,Rousettus madagascariensis,,,PP766468
Picornaviridae,Unclassified picornavirus,Rousettus madagascariensis picornavirus 3,Rousettus madagascariensis,,,PP766469
Caliciviridae,Sapovirus,Rousettus madagascariensis sapovirus 2,Rousettus madagascariensis,,,PP766470
Picornaviridae,Unclassified picornavirus,Rousettus madagascariensis picornavirus 3,Rousettus madagascariensis,,,PP766471
Picornaviridae,Unclassified picornavirus,Rousettus madagascariensis picornavirus 3,Rousettus madagascariensis,,,PP766472
Caliciviridae,Sapovirus,Rousettus madagascariensis sapovirus 2,Rousettus madagascariensis,,,PP766473
Caliciviridae,Sapovirus,Rousettus madagascariensis sapovirus 2,Rousettus madagascariensis,,,PP766474
Picornaviridae,Unclassified picornavirus,Rousettus madagascariensis picornavirus 3,Rousettus madagascariensis,,,PP766475
Caliciviridae,Sapovirus,Rousettus madagascariensis sapovirus 2,Rousettus madagascariensis,,,PP766476
Caliciviridae,Sapovirus,Rousettus madagascariensis sapovirus 2,Rousettus madagascariensis,,,PP766477
