,OQ818340,OQ818345,OQ818347,OQ818348,KX759618.1,KX759619.1,KX759621.1,KX759622.1,KX759623.1,KX759624.1,NC_033776.1
OQ818340,,13.824,41.136,26.600,43.456,47.286,43.434,42.931,46.371,12.648,42.931
OQ818345,13.824,,18.356,16.263,9.503,9.506,9.503,9.378,9.634,14.324,9.378
OQ818347,41.136,18.356,,53.105,31.937,32.729,31.983,30.752,32.449,14.748,30.752
OQ818348,26.600,16.263,53.105,,23.345,23.413,23.345,23.227,23.534,12.384,23.227
KX759618.1,43.456,9.503,31.937,23.345,,58.223,99.732,72.394,57.844,12.886,72.394
KX759619.1,47.286,9.506,32.729,23.413,58.223,,58.207,59.407,73.382,13.731,59.407
KX759621.1,43.434,9.503,31.983,23.345,99.732,58.207,,72.210,57.575,12.886,72.210
KX759622.1,42.931,9.378,30.752,23.227,72.394,59.407,72.210,,58.052,13.122,99.987
KX759623.1,46.371,9.634,32.449,23.534,57.844,73.382,57.575,58.052,,13.544,58.052
KX759624.1,12.648,14.324,14.748,12.384,12.886,13.731,12.886,13.122,13.544,,13.122
NC_033776.1,42.931,9.378,30.752,23.227,72.394,59.407,72.210,99.987,58.052,13.122,
