Accession,old_tip_label,Isolate,Species,Genus,Family,Country,source,Host,Collection_Date,novel
NC_030886.1,NC_030886.1,GCCDC1 356,Rousettus bat coronavirus GCCDC1,Coronavirus,Coronaviridae,China,Rousettus leschenaulti,1,2018,0
NC_002066.1,NC_002066.1,,Sacbrood virus,Iflavirus,Iflaviridae,USA,Apis,0,2000,0
NC_003113.1,NC_003113.1,,Perina nuda virus,Iflavirus,Iflaviridae,China,Perina nuda,0,2000,0
NC_003781.1,NC_003781.1,,Infectious flacherie virus,Iflavirus,Iflaviridae,Japan,Bombyx mori,0,1997,0
NC_004830.2,NC_004830.2,,Deformed wing virus,Iflavirus,Iflaviridae,Italy,Apis mellifera,0,2002,0
NC_005092.1,NC_005092.1,,Ectropis obliqua virus,Iflavirus,Iflaviridae,China,Ectropis obliqua,0,2003,0
NC_006494.1,NC_006494.1,,Varroa destructor virus 1,Iflavirus,Iflaviridae,Netherlands,Varroa destructor,0,2003,0
NC_009530.1,NC_009530.1,,Brevicoryne brassicae virus,Iflavirus,Iflaviridae,United Kingdom,Brevicoryne brassicae,0,2007,0
NC_014137.1,NC_014137.1,,Slow bee paralysis virus,Iflavirus,Iflaviridae,United Kingdom,Apis mellifera,0,2010,0
NC_016405.1,NC_016405.1,,Spodoptera exigua iflavirus 1,Iflavirus,Iflaviridae,Spain,Spodoptera exigua,0,2011,0
NC_021566.1,NC_021566.1,Izumo,Nilaparvata lugens honeydew virus-2,Iflavirus,Iflaviridae,Japan,Nilaparvata lugens,0,2012,0
NC_021567.1,NC_021567.1,Kagoshima,Nilaparvata lugens honeydew virus-3,Iflavirus,Iflaviridae,Japan,Nilaparvata lugens,0,2012,0
NC_022611.1,NC_022611.1,Beltsville,Halyomorpha halys virus,Iflavirus,Iflaviridae,USA,Halyomorpha halys,0,2012,0
NC_023022.1,NC_023022.1,Fex2,Formica exsecta virus 2,Iflavirus,Iflaviridae,Finland,Formica exsecta,0,2013,0
NC_023483.1,NC_023483.1,LnApIV-02,Antheraea pernyi iflavirus,Iflavirus,Iflaviridae,China,Antheraea pernyi,0,2014,0
NC_023627.1,NC_023627.1,Nanjing,Laodelphax striatella honeydew virus 1,Iflavirus,Iflaviridae,China,Laodelphax striatellus,0,2013,0
NC_023676.1,NC_023676.1,Korean,Spodoptera exigua iflavirus 2,Iflavirus,Iflaviridae,South Korea,Spodoptera exigua,0,2010,0
NC_024016.1,NC_024016.1,,Heliconius erato iflavirus,Iflavirus,Iflaviridae,Costa Rica,Heliconius erato,0,2011,0
NC_024497.1,NC_024497.1,Ames,Lymantria dispar iflavirus 1,Iflavirus,Iflaviridae,USA,Lymantria,0,2011,0
NC_025788.1,NC_025788.1,LsPV2,Laodelphax striatellus picorna-like virus 2,Iflavirus,Iflaviridae,South Korea,Laodelphax striatellus,0,2011,0
NC_025835.1,NC_025835.1,,Dinocampus coccinellae paralysis virus,Iflavirus,Iflaviridae,Canada,Dinocampus coccinellae,0,2009,0
NC_026250.1,NC_026250.1,,Thaumetopoea pityocampa iflavirus 1,Iflavirus,Iflaviridae,Turkey,Thaumetopoea pityocampa,0,2014,0
NC_026733.1,NC_026733.1,Ohio,Graminella nigrifrons virus 1,Iflavirus,Iflaviridae,USA,Graminella nigrifrons,0,2014,0
NC_027128.1,NC_027128.1,MAT03,La Jolla virus,Iflavirus,Iflaviridae,Ghana,Insecta,0,2010,0
NC_027713.1,NC_027713.1,,Bombyx mori iflavirus,Iflavirus,Iflaviridae,Japan,Bombyx mori,0,2014,0
NC_027917.1,NC_027917.1,Brazilian/2012,Opsiphanes invirae iflavirus 1,Iflavirus,Iflaviridae,Brazil,Opsiphanes invirae,0,2012,0
NC_031338.1,NC_031338.1,Big Island,Moku virus,Iflavirus,Iflaviridae,USA,Vespula pensylvanica,0,2016,0
NC_031749.1,NC_031749.1,,King virus,Unclassified,Iflaviridae,USA,Chiroptera,1,2016,0
NC_032087.1,NC_032087.1,to-1,Euscelidius variegatus virus 1,Iflavirus,Iflaviridae,Italy,Euscelidius variegatus,0,2016,0
NC_033619.1,NC_033619.1,,Helicoverpa armigera iflavirus,Iflavirus,Iflaviridae,China,Helicoverpa armigera,0,2013,0
NC_033823.1,NC_033823.1,,Bat iflavirus,Iflavirus,Iflaviridae,Cameroon,Eidolon helvum,1,2013,0
NC_034217.1,NC_034217.1,UW1,Pityohyphantes rubrofasciatus iflavirus,Iflavirus,Iflaviridae,USA,Pityohyphantes rubrofasciatus,0,2016,0
NC_034384.1,NC_034384.1,Guangzhou,Diamondback moth iflavirus,Iflavirus,Iflaviridae,China,Plutella xylostella,0,2016,0
NC_036389.1,NC_036389.1,A14-49.4,Chequa iflavirus,Iflavirus,Iflaviridae,Australia,Cherax quadricarinatus,0,2014,0
NC_036585.1,NC_036585.1,,Armigeres iflavirus,Iflavirus,Iflaviridae,Philippines,Armigeres,0,2010,0
NC_038301.1,NC_038301.1,LlV-1,Lygus lineolaris virus 1,Iflavirus,Iflaviridae,USA,Lygus lineolaris,0,2008,0
NC_038302.1,NC_038302.1,Izumo,Nilaparvata lugens honeydew virus 1,Iflavirus,Iflaviridae,Japan,Nilaparvata lugens,0,2012,0
NC_040574.1,NC_040574.1,,Culex Iflavi-like virus 4,Unclassified,Iflaviridae,USA,Culex,0,2016,0
NC_040587.1,NC_040587.1,,Yongsan iflavirus 1,Iflavirus,Iflaviridae,South Korea,Culex pipiens,0,2016,0
NC_040601.1,NC_040601.1,VDV-2,Varroa destructor iflavirus 1,Iflavirus,Iflaviridae,Israel,Varroa destructor,0,2014,0
NC_040646.1,NC_040646.1,,Culex Iflavi-like virus 1,Iflavirus,Iflaviridae,USA,Culex,0,2016,0
NC_040675.1,NC_040675.1,,Nesidiocoris tenuis iflavirus 1,Iflavirus,Iflaviridae,China,Nesidiocoris tenuis,0,2015,0
NC_040716.1,NC_040716.1,,Culex Iflavi-like virus 4,Unclassified,Iflaviridae,USA,Culex,0,2016,0
NC_040724.1,NC_040724.1,,Psammotettix alienus iflavirus 1,Iflavirus,Iflaviridae,China,Psammotettix alienus,0,2017,0
NC_040832.1,NC_040832.1,,Culex Iflavi-like virus 4,Unclassified,Iflaviridae,USA,Culex,0,2016,0
OQ818335,OQ818335,,Unclassified,Felisavirus,Iflaviridae,Madagascar,Pteropus rufus,1,2018,1
