viruses,host,event
NC_033820.1_Bat sapelovirus_Cameroon_Eidolon_helvum,Eidolon_helvum,A
OR951325.1_Pteropodidae_bat_sapelovirus_China_Eonycteris_spelaea,Eonycteris_spelaea,B
OR951332.1_Pteropodidae_bat_sapelovirus_China_Rousettus_leschenaultii,Rousettus_leschenaultii,C
PP711911.1_Rousettus_bat_sapelovirus_Kenya_Rousettus aegypticus,Rousettus aegypticus,D
PP711921.1_Eidolon_bat_sapelovirus_Kenya_Eidolon_helvum,Eidolon_helvum,A
PP711943.1_Eidolon_bat_sapelovirus_Kenya_Eidolon_helvum,Eidolon_helvum,A
OR951326.1_Pteropodidae_bat_sapelovirus_China_Eonycteris_spelaea,Eonycteris_spelaea,B
OR951327.1_Pteropodidae_bat_sapelovirus_China_Eonycteris_spelaea,Eonycteris_spelaea,B
OQ818320_E_dupreanum_sapelovirus_1_Madagascar_Eidolon_dupreanum,Eidolon_dupreanum,E
OQ818321_E_dupreanum_sapelovirus_2_Madagascar_Eidolon_dupreanum,Eidolon_dupreanum,E
OQ818329_R_madagascariensis_sapelovirus_1_Madagascar_Rousettus_madagascariensis,Rousettus_madagascariensis,F
