virus,host,event
PP711909.1_Rousettus_bat_picornavirus_Uganda_Rousettus_aegypticus,Rousettus_aegypticus,A
PP711912.1_Rousettus_bat_picornavirus_Uganda_Rousettus_aegypticus,Rousettus_aegypticus,A
PP711913.1_Rousettus_bat_picornavirus_Kenya_Rousettus_aegypticus,Rousettus_aegypticus,A
PP711928.1_Rousettus_bat_picornavirus_Uganda_Rousettus_aegypticus,Rousettus_aegypticus,A
PP711930.1_Rousettus_bat_picornavirus_Kenya_Rousettus_aegypticus,Rousettus_aegypticus,A
PP711945.1_Rousettus_bat_picornavirus_Uganda_Rousettus_aegypticus,Rousettus_aegypticus,A
PP711946.1_Chaerephon_bat_picornavirus_Kenya_Chaerephon_leucogaster,Chaerephon_leucogaster,B
PP745912.1_Bat_picornavirus_7_China_Taphozous_melanopogon,Taphozous_melanopogon,C
PP746000.1_Bat picornavirus_BtSY4_China_Rhinolophus_sinicus,Rhinolophus_sinicus,D
OQ818325_R_madagascariensis_picornavirus_1_Madagascar_Rousettus_madagascariensis,Rousettus_madagascariensis,E
OQ818328_R_madagascariensis_picornavirus_1_Madagascar_Rousettus_madagascariensis,Rousettus_madagascariensis,E
PP766469_R_madagascariensis_picornavirus_3_Madagascar_Rousettus_madagascariensis,Rousettus_madagascariensis,E
PP766472_R_madagascariensis_picornavirus_3_Madagascar_Rousettus_madagascariensis,Rousettus_madagascariensis,E
PV788825_R_madagascariensis_picornavirus_4_Madagascar_Rousettus_madagascariensis,Rousettus_madagascariensis,E
