tree_name,full_name
1,KX420938.1_Teschovirus_sp_Saudi_Arabia_Eidolon_helvum
2,OR951324.1_Pteropodidae_bat_teschovirus_China_Eonycteris_spelaea
3,OR951333.1_Pteropodidae_bat_teschovirus_China_Rousettus_leschenaultii
4,OR951334.1_Pteropodidae_bat_teschovirus_China_Rousettus_leschenaultii
5,OR951335.1_Pteropodidae_bat_teschovirus_China_Rousettus_leschenaultii
6,PP711934.1_Rousettus_bat_teschovirus_Kenya_Rousettus_aegyptiacus
7,PP711948.1_Rousettus_bat_teschovirus_Uganda_Rousettus_aegyptiacus
8,OQ818318_E_dupreanum_teschovirus_1_Madagascar_Eidolon_dupreanum
9,OQ818323_R_madagascariensis_teschovirus_1_Madagascar_Rousettus_madagascariensis
10,OQ818324_R_madagascariensis_teschovirus_2_Madagascar_Rousettus_madagascariensis
11,PV788826_R_madagascariensis_teschovirus_2_Madagascar_Rousettus_madagascariensis
